episode,timesteps,reward,success,outcome,steps,wall_time_s
1,14,0.0,0,hole,14,0.00316
2,31,0.0,0,hole,17,0.003598
3,35,0.0,0,hole,4,0.00372
4,51,0.0,0,hole,16,0.004117
5,67,0.0,0,hole,16,0.004611
6,99,0.0,0,hole,32,0.005354
7,176,0.0,0,hole,77,0.020676
8,196,0.0,0,hole,20,0.025014
9,225,0.0,0,hole,29,0.031919
10,242,0.0,0,hole,17,0.035463
11,310,0.0,0,hole,68,0.049321
12,328,0.0,0,hole,18,0.052398
13,435,0.0,0,hole,107,0.073783
14,447,0.0,0,hole,12,0.076191
15,462,0.0,0,hole,15,0.07918
16,471,0.0,0,hole,9,0.080666
17,503,0.0,0,hole,32,0.087057
18,515,0.0,0,hole,12,0.089648
19,534,0.0,0,hole,19,0.0938
20,547,0.0,0,hole,13,0.096198
21,599,0.0,0,hole,52,0.107138
22,657,0.0,0,hole,58,0.119674
23,698,0.0,0,hole,41,0.127694
24,736,0.0,0,hole,38,0.134938
25,751,0.0,0,hole,15,0.137786
26,763,0.0,0,hole,12,0.140217
27,849,0.0,0,hole,86,0.15872
28,916,0.0,0,hole,67,0.171378
29,932,0.0,0,hole,16,0.174982
30,970,0.0,0,hole,38,0.182446
31,1017,0.0,0,hole,47,0.192583
32,1022,0.0,0,hole,5,0.193274
33,1031,0.0,0,hole,9,0.195088
34,1080,0.0,0,hole,49,0.204383
35,1132,0.0,0,hole,52,0.215154
36,1268,0.0,0,hole,136,0.241342
37,1292,0.0,0,hole,24,0.246059
38,1325,0.0,0,hole,33,0.253362
39,1334,0.0,0,hole,9,0.254918
40,1355,0.0,0,hole,21,0.259353
41,1380,0.0,0,hole,25,0.264228
42,1435,0.0,0,hole,55,0.275443
43,1475,0.0,0,hole,40,0.282972
44,1484,0.0,0,hole,9,0.28466
45,1524,0.0,0,hole,40,0.29314
46,1562,0.0,0,hole,38,0.301359
47,1596,0.0,0,hole,34,0.307912
48,1601,0.0,0,hole,5,0.309584
49,1667,0.0,0,hole,66,0.322683
50,1703,0.0,0,hole,36,0.330769
51,1832,0.0,0,hole,129,0.356943
52,1905,0.0,0,hole,73,0.372582
53,1972,0.0,0,hole,67,0.385249
54,2020,0.0,0,hole,48,0.395688
55,2037,0.0,0,hole,17,0.399154
56,2071,0.0,0,hole,34,0.405326
57,2082,0.0,0,hole,11,0.407965
58,2089,0.0,0,hole,7,0.409482
59,2117,0.0,0,hole,28,0.415509
60,2171,0.0,0,hole,54,0.42734
61,2196,0.0,0,hole,25,0.432244
62,2221,0.0,0,hole,25,0.437954
63,2311,0.0,0,hole,90,0.455681
64,2364,0.0,0,hole,53,0.465781
65,2427,0.0,0,hole,63,0.478709
66,2438,0.0,0,hole,11,0.481174
67,2485,0.0,0,hole,47,0.490679
68,2524,0.0,0,hole,39,0.497927
69,2584,0.0,0,hole,60,0.510584
70,2598,0.0,0,hole,14,0.513691
71,2663,0.0,0,hole,65,0.526495
72,2690,0.0,0,hole,27,0.531947
73,2712,0.0,0,hole,22,0.53654
74,2722,0.0,0,hole,10,0.538561
75,2780,0.0,0,hole,58,0.550397
76,2887,0.0,0,hole,107,0.57407
77,2940,0.0,0,hole,53,0.584561
78,2978,0.0,0,hole,38,0.592425
79,3024,0.0,0,hole,46,0.60169
80,3071,0.0,0,hole,47,0.610937
81,3125,0.0,0,hole,54,0.621914
82,3158,0.0,0,hole,33,0.628815
83,3168,0.0,0,hole,10,0.630726
84,3212,0.0,0,hole,44,0.639414
85,3351,0.0,0,hole,139,0.668147
86,3551,0.0,0,timeout,200,0.708697
87,3652,0.0,0,hole,101,0.728839
88,3683,0.0,0,hole,31,0.73468
89,3823,0.0,0,hole,140,0.763675
90,4022,0.0,0,hole,199,0.803968
91,4041,0.0,0,hole,19,0.807739
92,4154,0.0,0,hole,113,0.830519
93,4175,0.0,0,hole,21,0.834772
94,4184,0.0,0,hole,9,0.836369
95,4239,0.0,0,hole,55,0.848122
96,4271,0.0,0,hole,32,0.854239
97,4340,0.0,0,hole,69,0.868481
98,4390,0.0,0,hole,50,0.878773
99,4406,0.0,0,hole,16,0.882132
100,4456,0.0,0,hole,50,0.892117
101,4468,0.0,0,hole,12,0.894691
102,4531,0.0,0,hole,63,0.907393
103,4569,0.0,0,hole,38,0.916816
104,4600,0.0,0,hole,31,0.922825
105,4620,0.0,0,hole,20,0.92742
106,4649,0.0,0,hole,29,0.933654
107,4714,0.0,0,hole,65,0.946424
108,4728,0.0,0,hole,14,0.948934
109,4732,0.0,0,hole,4,0.94991
110,4799,0.0,0,hole,67,0.965162
111,4882,0.0,0,hole,83,0.982547
112,4900,0.0,0,hole,18,0.985812
113,4927,0.0,0,hole,27,0.991995
114,4956,0.0,0,hole,29,0.997551
115,4990,1.0,1,success,34,1.004238
116,5097,0.0,0,hole,107,1.025591
117,5153,0.0,0,hole,56,1.037389
118,5192,0.0,0,hole,39,1.045093
119,5198,0.0,0,hole,6,1.046379
120,5249,0.0,0,hole,51,1.056824
121,5329,0.0,0,hole,80,1.073396
122,5418,0.0,0,hole,89,1.091784
123,5574,0.0,0,hole,156,1.124408
124,5634,0.0,0,hole,60,1.135797
125,5818,0.0,0,hole,184,1.173432
126,5846,0.0,0,hole,28,1.179185
127,5879,0.0,0,hole,33,1.185599
128,5966,0.0,0,hole,87,1.203534
129,5996,0.0,0,hole,30,1.209544
130,6012,0.0,0,hole,16,1.213113
131,6029,0.0,0,hole,17,1.216673
132,6058,0.0,0,hole,29,1.222391
133,6101,0.0,0,hole,43,1.23214
134,6139,0.0,0,hole,38,1.239443
135,6156,0.0,0,hole,17,1.24329
136,6277,1.0,1,success,121,1.267986
137,6318,0.0,0,hole,41,1.276418
138,6374,0.0,0,hole,56,1.287606
139,6397,0.0,0,hole,23,1.292471
140,6482,0.0,0,hole,85,1.310337
141,6512,0.0,0,hole,30,1.3167
142,6607,0.0,0,hole,95,1.33634
143,6690,0.0,0,hole,83,1.353005
144,6730,0.0,0,hole,40,1.361915
145,6734,0.0,0,hole,4,1.362944
146,6746,0.0,0,hole,12,1.365471
147,6875,0.0,0,hole,129,1.392583
148,6979,0.0,0,hole,104,1.413317
149,7037,0.0,0,hole,58,1.427861
150,7070,0.0,0,hole,33,1.434394
151,7165,0.0,0,hole,95,1.453702
152,7198,0.0,0,hole,33,1.460279
153,7208,0.0,0,hole,10,1.462624
154,7289,1.0,1,success,81,1.479201
155,7317,0.0,0,hole,28,1.484984
156,7326,0.0,0,hole,9,1.486548
157,7363,1.0,1,success,37,1.494391
158,7397,0.0,0,hole,34,1.501359
159,7432,1.0,1,success,35,1.508763
160,7447,0.0,0,hole,15,1.512355
161,7513,0.0,0,hole,66,1.52748
162,7542,0.0,0,hole,29,1.533121
163,7570,0.0,0,hole,28,1.538658
164,7631,0.0,0,hole,61,1.551598
165,7641,0.0,0,hole,10,1.554183
166,7663,0.0,0,hole,22,1.558521
167,7696,0.0,0,hole,33,1.56555
168,7813,0.0,0,hole,117,1.591049
169,7834,0.0,0,hole,21,1.595146
170,7860,0.0,0,hole,26,1.599935
171,7872,0.0,0,hole,12,1.602332
172,7888,0.0,0,hole,16,1.605799
173,7906,0.0,0,hole,18,1.611355
174,7930,0.0,0,hole,24,1.616166
175,7985,0.0,0,hole,55,1.627865
176,8064,0.0,0,hole,79,1.644356
177,8098,0.0,0,hole,34,1.651892
178,8160,0.0,0,hole,62,1.664659
179,8271,0.0,0,hole,111,1.688243
180,8335,0.0,0,hole,64,1.701556
181,8411,0.0,0,hole,76,1.718376
182,8500,1.0,1,success,89,1.736546
183,8517,0.0,0,hole,17,1.741015
184,8526,0.0,0,hole,9,1.742878
185,8543,0.0,0,hole,17,1.746208
186,8570,0.0,0,hole,27,1.751489
187,8627,0.0,0,hole,57,1.763918
188,8719,0.0,0,hole,92,1.783271
189,8781,0.0,0,hole,62,1.796463
190,8874,0.0,0,hole,93,1.815489
191,8889,0.0,0,hole,15,1.818574
192,8899,0.0,0,hole,10,1.820401
193,8905,0.0,0,hole,6,1.822273
194,8937,0.0,0,hole,32,1.8293
195,8956,0.0,0,hole,19,1.832791
196,9015,0.0,0,hole,59,1.845593
197,9106,0.0,0,hole,91,1.865013
198,9135,0.0,0,hole,29,1.870736
199,9163,0.0,0,hole,28,1.87696
200,9182,0.0,0,hole,19,1.880934
201,9198,0.0,0,hole,16,1.884319
202,9233,0.0,0,hole,35,1.892374
203,9248,0.0,0,hole,15,1.895146
204,9448,0.0,0,timeout,200,1.936548
205,9453,0.0,0,hole,5,1.93813
206,9460,0.0,0,hole,7,1.939257
207,9472,0.0,0,hole,12,1.941906
208,9547,1.0,1,success,75,1.958062
209,9551,0.0,0,hole,4,1.959164
210,9668,0.0,0,hole,117,1.983959
211,9710,0.0,0,hole,42,1.993313
212,9737,0.0,0,hole,27,1.999018
213,9795,0.0,0,hole,58,2.010601
