episode,timesteps,reward,success,outcome,steps,wall_time_s
1,32,0.0,0,hole,32,0.002091
2,77,0.0,0,hole,45,0.003157
3,128,0.0,0,hole,51,0.009014
4,181,0.0,0,hole,53,0.019867
5,238,0.0,0,hole,57,0.032209
6,274,0.0,0,hole,36,0.03878
7,365,0.0,0,hole,91,0.055982
8,449,0.0,0,hole,84,0.071862
9,484,0.0,0,hole,35,0.07841
10,523,1.0,1,success,39,0.08676
11,546,0.0,0,hole,23,0.091231
12,570,0.0,0,hole,24,0.096412
13,585,0.0,0,hole,15,0.09929
14,607,0.0,0,hole,22,0.103513
15,614,0.0,0,hole,7,0.10489
16,631,0.0,0,hole,17,0.10805
17,637,0.0,0,hole,6,0.109554
18,645,0.0,0,hole,8,0.110937
19,670,0.0,0,hole,25,0.115846
20,727,0.0,0,hole,57,0.126646
21,765,0.0,0,hole,38,0.134294
22,885,0.0,0,hole,120,0.156484
23,924,0.0,0,hole,39,0.164144
24,931,0.0,0,hole,7,0.165657
25,964,0.0,0,hole,33,0.172114
26,997,0.0,0,hole,33,0.179535
27,1084,0.0,0,hole,87,0.196788
28,1116,0.0,0,hole,32,0.203121
29,1209,0.0,0,hole,93,0.22186
30,1300,0.0,0,hole,91,0.238066
31,1315,0.0,0,hole,15,0.241392
32,1369,0.0,0,hole,54,0.251685
33,1402,0.0,0,hole,33,0.258151
34,1421,0.0,0,hole,19,0.262862
35,1430,0.0,0,hole,9,0.264428
36,1439,0.0,0,hole,9,0.265938
37,1479,0.0,0,hole,40,0.273604
38,1527,0.0,0,hole,48,0.284519
39,1570,0.0,0,hole,43,0.292798
40,1591,0.0,0,hole,21,0.296634
41,1624,0.0,0,hole,33,0.30307
42,1665,0.0,0,hole,41,0.311612
43,1691,0.0,0,hole,26,0.316085
44,1716,0.0,0,hole,25,0.320692
45,1764,0.0,0,hole,48,0.330358
46,1782,0.0,0,hole,18,0.334276
47,1804,0.0,0,hole,22,0.338315
48,1936,0.0,0,hole,132,0.363328
49,1957,0.0,0,hole,21,0.367702
50,1971,0.0,0,hole,14,0.369844
51,2005,0.0,0,hole,34,0.377053
52,2013,0.0,0,hole,8,0.378792
53,2026,0.0,0,hole,13,0.381322
54,2038,0.0,0,hole,12,0.383583
55,2068,0.0,0,hole,30,0.388969
56,2091,0.0,0,hole,23,0.393661
57,2099,0.0,0,hole,8,0.395791
58,2113,0.0,0,hole,14,0.399144
59,2178,0.0,0,hole,65,0.411164
60,2196,0.0,0,hole,18,0.415108
61,2212,0.0,0,hole,16,0.419195
62,2233,0.0,0,hole,21,0.423699
63,2248,0.0,0,hole,15,0.426201
64,2281,0.0,0,hole,33,0.434124
65,2330,0.0,0,hole,49,0.443277
66,2336,0.0,0,hole,6,0.444052
67,2380,0.0,0,hole,44,0.452488
68,2395,0.0,0,hole,15,0.455326
69,2421,0.0,0,hole,26,0.461075
70,2435,0.0,0,hole,14,0.463812
71,2490,0.0,0,hole,55,0.474142
72,2530,0.0,0,hole,40,0.483036
73,2556,0.0,0,hole,26,0.488096
74,2581,0.0,0,hole,25,0.493419
75,2633,0.0,0,hole,52,0.504014
76,2652,0.0,0,hole,19,0.507215
77,2691,0.0,0,hole,39,0.514981
