episode,timesteps,reward,success,outcome,steps,wall_time_s
1,67,0.0,0,hole,67,0.003048
2,78,0.0,0,hole,11,0.003419
3,121,0.0,0,hole,43,0.008071
4,141,0.0,0,hole,20,0.011177
5,157,0.0,0,hole,16,0.013793
6,212,0.0,0,hole,55,0.022693
7,254,0.0,0,hole,42,0.029425
8,269,0.0,0,hole,15,0.03183
9,291,0.0,0,hole,22,0.035202
10,327,0.0,0,hole,36,0.041072
11,339,0.0,0,hole,12,0.043024
12,357,0.0,0,hole,18,0.046051
13,375,0.0,0,hole,18,0.048854
14,422,0.0,0,hole,47,0.056687
15,500,0.0,0,hole,78,0.069274
16,506,0.0,0,hole,6,0.070949
17,534,0.0,0,hole,28,0.076109
18,571,0.0,0,hole,37,0.081984
19,615,0.0,0,hole,44,0.089299
20,620,0.0,0,hole,5,0.089965
21,636,0.0,0,hole,16,0.09253
22,665,0.0,0,hole,29,0.097272
23,676,0.0,0,hole,11,0.098606
24,691,0.0,0,hole,15,0.101101
25,724,0.0,0,hole,33,0.106844
26,769,0.0,0,hole,45,0.115042
27,782,0.0,0,hole,13,0.11697
28,798,0.0,0,hole,16,0.119406
29,853,0.0,0,hole,55,0.128947
30,872,0.0,0,hole,19,0.13152
31,881,0.0,0,hole,9,0.133243
32,910,0.0,0,hole,29,0.137708
33,967,0.0,0,hole,57,0.146834
34,994,0.0,0,hole,27,0.151736
35,1022,0.0,0,hole,28,0.156871
36,1028,0.0,0,hole,6,0.15756
37,1044,0.0,0,hole,16,0.160105
38,1065,0.0,0,hole,21,0.163693
39,1087,0.0,0,hole,22,0.16691
40,1107,0.0,0,hole,20,0.170116
41,1127,0.0,0,hole,20,0.174136
42,1167,0.0,0,hole,40,0.180331
43,1184,0.0,0,hole,17,0.182779
44,1207,0.0,0,hole,23,0.186374
45,1223,0.0,0,hole,16,0.189606
46,1234,0.0,0,hole,11,0.191446
47,1278,0.0,0,hole,44,0.198519
48,1287,0.0,0,hole,9,0.199861
49,1334,0.0,0,hole,47,0.20835
50,1338,0.0,0,hole,4,0.209
51,1355,0.0,0,hole,17,0.211629
52,1398,0.0,0,hole,43,0.218371
53,1414,0.0,0,hole,16,0.221355
54,1432,0.0,0,hole,18,0.224165
55,1441,0.0,0,hole,9,0.226109
56,1453,0.0,0,hole,12,0.228068
57,1464,0.0,0,hole,11,0.229584
58,1491,0.0,0,hole,27,0.233893
59,1519,0.0,0,hole,28,0.239101
60,1600,0.0,0,hole,81,0.251874
61,1624,0.0,0,hole,24,0.256025
62,1655,0.0,0,hole,31,0.26106
63,1678,0.0,0,hole,23,0.264936
64,1712,0.0,0,hole,34,0.269976
65,1739,0.0,0,hole,27,0.27553
66,1747,0.0,0,hole,8,0.277001
67,1758,0.0,0,hole,11,0.27909
68,1782,0.0,0,hole,24,0.282718
69,1799,0.0,0,hole,17,0.285385
70,1817,0.0,0,hole,18,0.289177
71,1830,0.0,0,hole,13,0.29132
72,1857,0.0,0,hole,27,0.295824
73,1864,0.0,0,hole,7,0.296852
74,1889,0.0,0,hole,25,0.301316
75,1944,0.0,0,hole,55,0.310918
76,1950,0.0,0,hole,6,0.312302
77,1962,0.0,0,hole,12,0.314695
78,1996,0.0,0,hole,34,0.319887
79,2010,0.0,0,hole,14,0.323604
80,2051,0.0,0,hole,41,0.330002
81,2164,0.0,0,hole,113,0.348713
82,2171,0.0,0,hole,7,0.350015
83,2218,0.0,0,hole,47,0.358229
84,2251,0.0,0,hole,33,0.363299
85,2301,0.0,0,hole,50,0.372013
86,2305,0.0,0,hole,4,0.372754
87,2338,0.0,0,hole,33,0.377783
88,2360,0.0,0,hole,22,0.381207
89,2385,0.0,0,hole,25,0.385533
90,2398,0.0,0,hole,13,0.387598
91,2468,0.0,0,hole,70,0.399382
92,2486,0.0,0,hole,18,0.402404
93,2493,0.0,0,hole,7,0.403931
94,2509,0.0,0,hole,16,0.407329
95,2540,0.0,0,hole,31,0.412245
96,2586,0.0,0,hole,46,0.420064
97,2627,0.0,0,hole,41,0.427805
98,2664,0.0,0,hole,37,0.434164
99,2693,0.0,0,hole,29,0.439991
100,2733,0.0,0,hole,40,0.446411
101,2759,0.0,0,hole,26,0.450515
102,2777,0.0,0,hole,18,0.453683
103,2821,0.0,0,hole,44,0.461437
104,2864,0.0,0,hole,43,0.46796
105,2885,0.0,0,hole,21,0.472221
106,2912,0.0,0,hole,27,0.47602
107,2955,0.0,0,hole,43,0.483474
108,2962,0.0,0,hole,7,0.484769
109,2981,0.0,0,hole,19,0.48881
110,3025,0.0,0,hole,44,0.496297
111,3088,0.0,0,hole,63,0.506565
112,3098,0.0,0,hole,10,0.508481
113,3125,0.0,0,hole,27,0.513112
114,3147,0.0,0,hole,22,0.516739
115,3176,0.0,0,hole,29,0.522792
116,3197,0.0,0,hole,21,0.526796
117,3245,0.0,0,hole,48,0.5352
118,3285,0.0,0,hole,40,0.542251
119,3300,0.0,0,hole,15,0.544425
120,3329,0.0,0,hole,29,0.549562
121,3337,0.0,0,hole,8,0.551181
122,3346,0.0,0,hole,9,0.552448
123,3395,0.0,0,hole,49,0.560683
124,3404,0.0,0,hole,9,0.562089
125,3447,0.0,0,hole,43,0.571088
126,3506,0.0,0,hole,59,0.583843
127,3530,0.0,0,hole,24,0.588277
128,3634,0.0,0,hole,104,0.610937
129,3682,0.0,0,hole,48,0.621231
130,3710,0.0,0,hole,28,0.627479
131,3755,0.0,0,hole,45,0.635078
132,3804,0.0,0,hole,49,0.64459
133,3832,0.0,0,hole,28,0.649725
134,3841,0.0,0,hole,9,0.651661
135,3868,0.0,0,hole,27,0.657248
136,3892,0.0,0,hole,24,0.662433
137,3955,0.0,0,hole,63,0.676956
138,4010,0.0,0,hole,55,0.687101
139,4037,0.0,0,hole,27,0.692685
140,4059,0.0,0,hole,22,0.696066
141,4107,0.0,0,hole,48,0.705484
142,4120,0.0,0,hole,13,0.707738
143,4129,0.0,0,hole,9,0.724825
144,4155,0.0,0,hole,26,0.732691
145,4223,0.0,0,hole,68,0.746332
146,4236,0.0,0,hole,13,0.748383
147,4252,0.0,0,hole,16,0.751132
148,4280,0.0,0,hole,28,0.756755
149,4306,0.0,0,hole,26,0.761386
150,4310,0.0,0,hole,4,0.76204
151,4334,0.0,0,hole,24,0.766608
152,4354,0.0,0,hole,20,0.770079
153,4415,0.0,0,hole,61,0.782537
154,4440,0.0,0,hole,25,0.787509
155,4502,0.0,0,hole,62,0.799859
156,4513,0.0,0,hole,11,0.801949
157,4537,0.0,0,hole,24,0.806478
158,4553,0.0,0,hole,16,0.809246
159,4570,0.0,0,hole,17,0.811894
160,4647,0.0,0,hole,77,0.825168
161,4679,0.0,0,hole,32,0.830798
162,4715,0.0,0,hole,36,0.83712
163,4789,0.0,0,hole,74,0.850205
164,4806,0.0,0,hole,17,0.85287
165,4882,0.0,0,hole,76,0.86564
166,4943,0.0,0,hole,61,0.876345
167,4969,0.0,0,hole,26,0.880816
168,5080,0.0,0,hole,111,0.89981
169,5090,0.0,0,hole,10,0.90202
170,5106,0.0,0,hole,16,0.904811
171,5110,0.0,0,hole,4,0.905458
172,5123,0.0,0,hole,13,0.90748
173,5161,0.0,0,hole,38,0.914529
174,5174,0.0,0,hole,13,0.916631
175,5188,0.0,0,hole,14,0.91901
176,5194,0.0,0,hole,6,0.920444
177,5203,0.0,0,hole,9,0.922487
178,5223,0.0,0,hole,20,0.925953
179,5266,0.0,0,hole,43,0.933512
180,5288,0.0,0,hole,22,0.937679
181,5298,0.0,0,hole,10,0.940236
182,5340,0.0,0,hole,42,0.948748
183,5346,0.0,0,hole,6,0.950091
184,5350,0.0,0,hole,4,0.950808
185,5360,0.0,0,hole,10,0.952504
186,5405,0.0,0,hole,45,0.961582
187,5462,0.0,0,hole,57,0.971689
188,5493,0.0,0,hole,31,0.977169
189,5498,0.0,0,hole,5,0.977976
190,5524,0.0,0,hole,26,0.982384
191,5537,0.0,0,hole,13,0.98472
192,5573,0.0,0,hole,36,0.991866
193,5593,0.0,0,hole,20,0.995776
194,5605,0.0,0,hole,12,0.998194
195,5612,0.0,0,hole,7,0.99901
196,5654,0.0,0,hole,42,1.007419
197,5669,0.0,0,hole,15,1.010173
198,5685,0.0,0,hole,16,1.013264
199,5716,0.0,0,hole,31,1.018376
200,5745,0.0,0,hole,29,1.025025
201,5764,0.0,0,hole,19,1.028442
202,5813,0.0,0,hole,49,1.037238
203,5820,0.0,0,hole,7,1.038481
204,5834,0.0,0,hole,14,1.040948
205,5842,0.0,0,hole,8,1.04257
206,5888,0.0,0,hole,46,1.050179
207,5910,0.0,0,hole,22,1.054562
208,5937,0.0,0,hole,27,1.059783
209,5977,0.0,0,hole,40,1.067179
210,6026,0.0,0,hole,49,1.077364
211,6064,0.0,0,hole,38,1.083587
212,6169,0.0,0,hole,105,1.103707
213,6246,0.0,0,hole,77,1.118166
214,6286,0.0,0,hole,40,1.126866
215,6313,0.0,0,hole,27,1.13177
216,6330,0.0,0,hole,17,1.134629
217,6349,0.0,0,hole,19,1.138832
218,6455,0.0,0,hole,106,1.158146
219,6502,0.0,0,hole,47,1.166623
220,6525,0.0,0,hole,23,1.170927
221,6625,0.0,0,hole,100,1.189006
222,6630,0.0,0,hole,5,1.189838
223,6738,0.0,0,hole,108,1.209558
224,6749,0.0,0,hole,11,1.211707
225,6791,0.0,0,hole,42,1.219328
226,6831,0.0,0,hole,40,1.226973
227,6847,0.0,0,hole,16,1.229743
228,6877,0.0,0,hole,30,1.235069
229,6904,0.0,0,hole,27,1.239647
230,6933,0.0,0,hole,29,1.245249
231,6970,0.0,0,hole,37,1.251732
232,7061,0.0,0,hole,91,1.268715
233,7091,0.0,0,hole,30,1.274767
234,7116,0.0,0,hole,25,1.278846
235,7182,0.0,0,hole,66,1.29126
236,7217,0.0,0,hole,35,1.297548
237,7289,0.0,0,hole,72,1.311135
238,7367,0.0,0,hole,78,1.325943
239,7408,0.0,0,hole,41,1.333259
240,7419,0.0,0,hole,11,1.335237
241,7447,0.0,0,hole,28,1.340677
242,7469,0.0,0,hole,22,1.345086
243,7486,0.0,0,hole,17,1.34808
244,7553,0.0,0,hole,67,1.360548
245,7635,0.0,0,hole,82,1.375703
246,7660,0.0,0,hole,25,1.379841
247,7670,0.0,0,hole,10,1.381806
248,7683,0.0,0,hole,13,1.38418
249,7746,0.0,0,hole,63,1.396252
250,7785,0.0,0,hole,39,1.403212
251,7842,0.0,0,hole,57,1.413533
252,7847,0.0,0,hole,5,1.414409
253,7872,0.0,0,hole,25,1.418656
254,7933,0.0,0,hole,61,1.429973
255,7980,0.0,0,hole,47,1.438103
256,7990,0.0,0,hole,10,1.440224
257,7996,0.0,0,hole,6,1.441187
258,8054,0.0,0,hole,58,1.451926
259,8101,0.0,0,hole,47,1.460718
260,8112,0.0,0,hole,11,1.462249
261,8143,0.0,0,hole,31,1.468117
262,8168,0.0,0,hole,25,1.473706
263,8178,0.0,0,hole,10,1.475746
264,8200,0.0,0,hole,22,1.47951
265,8225,0.0,0,hole,25,1.484603
266,8264,0.0,0,hole,39,1.492581
267,8366,0.0,0,hole,102,1.511392
268,8445,0.0,0,hole,79,1.526585
269,8491,0.0,0,hole,46,1.534954
270,8554,0.0,0,hole,63,1.547958
271,8606,0.0,0,hole,52,1.557492
272,8646,0.0,0,hole,40,1.564882
273,8664,0.0,0,hole,18,1.567864
274,8699,0.0,0,hole,35,1.574323
275,8726,0.0,0,hole,27,1.579397
276,8743,0.0,0,hole,17,1.582258
277,8809,1.0,1,success,66,1.595234
278,8834,0.0,0,hole,25,1.599718
279,8881,0.0,0,hole,47,1.608986
280,8909,0.0,0,hole,28,1.614109
281,8932,1.0,1,success,23,1.618208
282,8941,0.0,0,hole,9,1.620208
283,8982,0.0,0,hole,41,1.627825
284,9019,0.0,0,hole,37,1.634513
285,9036,0.0,0,hole,17,1.638158
286,9061,0.0,0,hole,25,1.643572
287,9074,0.0,0,hole,13,1.645717
288,9082,0.0,0,hole,8,1.647158
289,9119,0.0,0,hole,37,1.653636
290,9164,0.0,0,hole,45,1.662131
291,9208,0.0,0,hole,44,1.670252
292,9246,0.0,0,hole,38,1.67818
293,9279,0.0,0,hole,33,1.684579
294,9347,0.0,0,hole,68,1.69763
295,9364,0.0,0,hole,17,1.700747
296,9378,0.0,0,hole,14,1.703495
297,9436,0.0,0,hole,58,1.714773
298,9507,0.0,0,hole,71,1.730133
299,9534,0.0,0,hole,27,1.735144
300,9549,0.0,0,hole,15,1.738593
301,9586,0.0,0,hole,37,1.745557
302,9605,0.0,0,hole,19,1.749411
303,9648,0.0,0,hole,43,1.757233
304,9679,0.0,0,hole,31,1.762924
305,9720,0.0,0,hole,41,1.771378
306,9830,0.0,0,hole,110,1.791592
307,9864,0.0,0,hole,34,1.797224
308,9872,0.0,0,hole,8,1.798651
309,9885,0.0,0,hole,13,1.801927
310,9917,0.0,0,hole,32,1.808313
311,9953,0.0,0,hole,36,1.81482
312,9987,0.0,0,hole,34,1.821003
313,10011,0.0,0,hole,24,1.826458
314,10060,0.0,0,hole,49,1.835612
315,10064,0.0,0,hole,4,1.836377
316,10206,0.0,0,hole,142,1.863468
317,10244,0.0,0,hole,38,1.870481
318,10291,0.0,0,hole,47,1.88041
319,10403,0.0,0,hole,112,1.901567
320,10445,0.0,0,hole,42,1.909768
321,10471,0.0,0,hole,26,1.914666
322,10587,0.0,0,hole,116,1.937165
323,10659,0.0,0,hole,72,1.951949
324,10675,0.0,0,hole,16,1.955247
325,10824,0.0,0,hole,149,1.983553
326,10873,0.0,0,hole,49,1.993527
327,10877,0.0,0,hole,4,1.994237
328,10915,0.0,0,hole,38,2.00099
329,10922,0.0,0,hole,7,2.002609
330,10953,0.0,0,hole,31,2.008469
331,11050,0.0,0,hole,97,2.027207
332,11095,0.0,0,hole,45,2.035817
333,11142,0.0,0,hole,47,2.045025
334,11197,0.0,0,hole,55,2.055873
335,11215,0.0,0,hole,18,2.059083
336,11234,0.0,0,hole,19,2.062787
337,11274,0.0,0,hole,40,2.070347
338,11297,0.0,0,hole,23,2.075203
339,11325,0.0,0,hole,28,2.081039
340,11358,0.0,0,hole,33,2.08692
341,11387,0.0,0,hole,29,2.092697
342,11443,0.0,0,hole,56,2.103884
343,11483,0.0,0,hole,40,2.111782
344,11501,0.0,0,hole,18,2.115497
345,11518,0.0,0,hole,17,2.118983
346,11546,0.0,0,hole,28,2.125347
347,11576,0.0,0,hole,30,2.131134
348,11598,0.0,0,hole,22,2.135475
349,11653,0.0,0,hole,55,2.146014
350,11679,0.0,0,hole,26,2.150527
351,11705,0.0,0,hole,26,2.155971
352,11714,0.0,0,hole,9,2.157624
353,11747,0.0,0,hole,33,2.163921
354,11758,0.0,0,hole,11,2.166274
355,11958,0.0,0,timeout,200,2.204887
