episode,timesteps,reward,success,outcome,steps,wall_time_s
1,24,0.0,0,hole,24,0.0018
2,42,0.0,0,hole,18,0.002265
3,47,0.0,0,hole,5,0.002405
4,70,0.0,0,hole,23,0.002964
5,91,0.0,0,hole,21,0.00355
6,184,0.0,0,hole,93,0.02152
7,198,0.0,0,hole,14,0.024432
8,236,0.0,0,hole,38,0.032261
9,241,0.0,0,hole,5,0.033632
10,283,0.0,0,hole,42,0.041491
11,287,0.0,0,hole,4,0.042306
12,313,0.0,0,hole,26,0.048365
13,395,0.0,0,hole,82,0.064825
14,417,0.0,0,hole,22,0.069788
15,440,0.0,0,hole,23,0.074421
16,449,0.0,0,hole,9,0.076569
17,459,0.0,0,hole,10,0.078452
18,557,0.0,0,hole,98,0.0982
19,576,0.0,0,hole,19,0.101613
20,587,0.0,0,hole,11,0.103777
21,632,0.0,0,hole,45,0.112922
22,644,0.0,0,hole,12,0.115072
23,652,0.0,0,hole,8,0.116528
24,748,0.0,0,hole,96,0.134609
25,768,0.0,0,hole,20,0.138298
26,823,0.0,0,hole,55,0.150571
27,1023,0.0,0,timeout,200,0.189568
28,1075,0.0,0,hole,52,0.199496
29,1116,0.0,0,hole,41,0.207455
30,1162,0.0,0,hole,46,0.217548
31,1180,0.0,0,hole,18,0.221838
32,1203,0.0,0,hole,23,0.227421
33,1241,0.0,0,hole,38,0.235838
34,1255,0.0,0,hole,14,0.238138
35,1334,0.0,0,hole,79,0.255847
36,1352,0.0,0,hole,18,0.259162
37,1371,0.0,0,hole,19,0.263422
38,1382,0.0,0,hole,11,0.265609
39,1421,0.0,0,hole,39,0.274283
40,1458,0.0,0,hole,37,0.281887
41,1523,0.0,0,hole,65,0.295822
42,1558,0.0,0,hole,35,0.302708
43,1611,0.0,0,hole,53,0.312823
44,1655,0.0,0,hole,44,0.321312
45,1759,0.0,0,hole,104,0.341454
46,1789,0.0,0,hole,30,0.347771
47,1806,0.0,0,hole,17,0.351229
48,1849,0.0,0,hole,43,0.359456
49,1868,0.0,0,hole,19,0.363133
50,1911,0.0,0,hole,43,0.371839
51,1953,0.0,0,hole,42,0.380153
52,1991,0.0,0,hole,38,0.387102
53,2063,0.0,0,hole,72,0.402239
54,2099,0.0,0,hole,36,0.409129
55,2109,0.0,0,hole,10,0.41205
56,2131,0.0,0,hole,22,0.416167
57,2148,0.0,0,hole,17,0.419656
58,2228,0.0,0,hole,80,0.436186
59,2269,0.0,0,hole,41,0.444507
60,2307,0.0,0,hole,38,0.451791
61,2313,0.0,0,hole,6,0.453192
62,2385,0.0,0,hole,72,0.467337
63,2429,0.0,0,hole,44,0.476376
64,2481,0.0,0,hole,52,0.486922
65,2584,0.0,0,hole,103,0.506699
66,2670,0.0,0,hole,86,0.524308
67,2725,0.0,0,hole,55,0.535484
68,2797,1.0,1,success,72,0.549623
69,2806,0.0,0,hole,9,0.551789
70,2847,0.0,0,hole,41,0.560407
71,2875,0.0,0,hole,28,0.56628
72,2903,0.0,0,hole,28,0.571971
73,2914,0.0,0,hole,11,0.574411
74,2951,0.0,0,hole,37,0.581987
75,2981,0.0,0,hole,30,0.587676
76,3014,0.0,0,hole,33,0.59444
77,3026,0.0,0,hole,12,0.597006
78,3101,0.0,0,hole,75,0.612695
79,3139,0.0,0,hole,38,0.619834
80,3159,0.0,0,hole,20,0.62445
81,3180,0.0,0,hole,21,0.62867
82,3254,0.0,0,hole,74,0.643279
83,3288,0.0,0,hole,34,0.649798
84,3311,0.0,0,hole,23,0.654401
85,3362,0.0,0,hole,51,0.664385
86,3397,0.0,0,hole,35,0.671453
87,3421,0.0,0,hole,24,0.67713
88,3470,0.0,0,hole,49,0.686959
89,3485,0.0,0,hole,15,0.690024
90,3503,0.0,0,hole,18,0.693906
91,3544,0.0,0,hole,41,0.701867
92,3644,0.0,0,hole,100,0.722205
93,3686,0.0,0,hole,42,0.731216
94,3696,0.0,0,hole,10,0.73299
95,3762,0.0,0,hole,66,0.746483
96,3785,0.0,0,hole,23,0.750872
97,3823,0.0,0,hole,38,0.758502
98,3843,0.0,0,hole,20,0.762702
99,3972,0.0,0,hole,129,0.78835
100,3985,0.0,0,hole,13,0.791294
101,4014,0.0,0,hole,29,0.797635
102,4029,0.0,0,hole,15,0.801005
103,4057,0.0,0,hole,28,0.806461
104,4078,0.0,0,hole,21,0.810516
105,4091,0.0,0,hole,13,0.813331
106,4149,1.0,1,success,58,0.825972
107,4206,0.0,0,hole,57,0.837731
108,4256,0.0,0,hole,50,0.847887
109,4297,0.0,0,hole,41,0.856527
110,4312,0.0,0,hole,15,0.859276
111,4321,0.0,0,hole,9,0.861857
112,4359,0.0,0,hole,38,0.869351
113,4381,0.0,0,hole,22,0.874172
114,4416,0.0,0,hole,35,0.882458
115,4459,0.0,0,hole,43,0.890624
