episode,timesteps,reward,success,outcome,steps,wall_time_s
1,9,0.0,0,hole,9,0.001502
2,68,0.0,0,hole,59,0.003066
3,92,0.0,0,hole,24,0.003789
4,135,1.0,1,success,43,0.010849
5,160,0.0,0,hole,25,0.015626
6,171,0.0,0,hole,11,0.018299
7,198,0.0,0,hole,27,0.024057
8,216,0.0,0,hole,18,0.026917
9,222,0.0,0,hole,6,0.028337
10,238,0.0,0,hole,16,0.03146
11,242,0.0,0,hole,4,0.032184
12,263,0.0,0,hole,21,0.036287
13,380,0.0,0,hole,117,0.058875
14,391,0.0,0,hole,11,0.061108
15,446,0.0,0,hole,55,0.071348
16,496,0.0,0,hole,50,0.080214
17,509,0.0,0,hole,13,0.083277
18,526,0.0,0,hole,17,0.08648
19,567,0.0,0,hole,41,0.094602
20,601,0.0,0,hole,34,0.101069
21,641,0.0,0,hole,40,0.109104
22,654,0.0,0,hole,13,0.111516
23,741,0.0,0,hole,87,0.128029
24,787,0.0,0,hole,46,0.136011
25,796,0.0,0,hole,9,0.137749
26,840,0.0,0,hole,44,0.146693
27,873,0.0,0,hole,33,0.153922
28,913,0.0,0,hole,40,0.16142
29,960,0.0,0,hole,47,0.169778
30,970,0.0,0,hole,10,0.172539
31,1017,0.0,0,hole,47,0.182021
32,1050,0.0,0,hole,33,0.187918
33,1056,0.0,0,hole,6,0.188895
34,1069,0.0,0,hole,13,0.19165
35,1086,0.0,0,hole,17,0.19455
36,1119,0.0,0,hole,33,0.200484
37,1140,0.0,0,hole,21,0.204792
38,1214,0.0,0,hole,74,0.218767
39,1278,0.0,0,hole,64,0.230913
40,1287,0.0,0,hole,9,0.232598
41,1308,0.0,0,hole,21,0.236801
42,1336,0.0,0,hole,28,0.242206
43,1346,0.0,0,hole,10,0.244237
44,1380,0.0,0,hole,34,0.250215
45,1410,0.0,0,hole,30,0.256499
46,1426,0.0,0,hole,16,0.259639
47,1442,0.0,0,hole,16,0.262415
48,1486,0.0,0,hole,44,0.27201
49,1581,0.0,0,hole,95,0.291797
50,1607,0.0,0,hole,26,0.296662
51,1619,0.0,0,hole,12,0.298969
52,1628,0.0,0,hole,9,0.300649
53,1650,0.0,0,hole,22,0.305332
54,1665,0.0,0,hole,15,0.308408
55,1698,0.0,0,hole,33,0.314656
56,1725,0.0,0,hole,27,0.319908
57,1770,0.0,0,hole,45,0.328564
58,1797,0.0,0,hole,27,0.333776
59,1879,0.0,0,hole,82,0.349421
60,1955,0.0,0,hole,76,0.364031
61,1965,0.0,0,hole,10,0.366197
62,1998,0.0,0,hole,33,0.372564
63,2009,0.0,0,hole,11,0.375209
64,2057,0.0,0,hole,48,0.384164
65,2072,0.0,0,hole,15,0.386732
66,2078,0.0,0,hole,6,0.388311
67,2145,0.0,0,hole,67,0.401174
68,2183,0.0,0,hole,38,0.40843
69,2211,0.0,0,hole,28,0.413856
70,2250,0.0,0,hole,39,0.422481
71,2296,0.0,0,hole,46,0.430696
72,2355,0.0,0,hole,59,0.441974
73,2379,1.0,1,success,24,0.446565
74,2388,0.0,0,hole,9,0.448123
75,2400,0.0,0,hole,12,0.450421
76,2432,0.0,0,hole,32,0.457123
77,2455,0.0,0,hole,23,0.461594
78,2462,0.0,0,hole,7,0.463086
79,2473,0.0,0,hole,11,0.465561
80,2515,0.0,0,hole,42,0.473711
81,2586,0.0,0,hole,71,0.487854
82,2667,0.0,0,hole,81,0.503634
83,2716,0.0,0,hole,49,0.512655
84,2759,0.0,0,hole,43,0.520787
85,2774,0.0,0,hole,15,0.523884
86,2809,0.0,0,hole,35,0.530554
87,2872,0.0,0,hole,63,0.542233
88,2928,0.0,0,hole,56,0.553737
89,2938,0.0,0,hole,10,0.556209
90,2973,0.0,0,hole,35,0.563648
91,3020,0.0,0,hole,47,0.573087
92,3030,0.0,0,hole,10,0.575349
93,3075,0.0,0,hole,45,0.584119
94,3096,0.0,0,hole,21,0.588397
95,3105,0.0,0,hole,9,0.590611
96,3111,0.0,0,hole,6,0.591514
97,3127,0.0,0,hole,16,0.594464
98,3155,0.0,0,hole,28,0.599597
99,3185,0.0,0,hole,30,0.606005
100,3228,0.0,0,hole,43,0.613748
101,3256,0.0,0,hole,28,0.619369
102,3304,0.0,0,hole,48,0.628561
103,3338,0.0,0,hole,34,0.635266
104,3414,0.0,0,hole,76,0.650302
105,3470,0.0,0,hole,56,0.66132
106,3514,0.0,0,hole,44,0.670241
107,3584,0.0,0,hole,70,0.683045
108,3600,0.0,0,hole,16,0.686304
109,3610,0.0,0,hole,10,0.68899
110,3667,0.0,0,hole,57,0.69985
111,3677,0.0,0,hole,10,0.701929
112,3708,0.0,0,hole,31,0.707725
113,3785,0.0,0,hole,77,0.723715
114,3810,0.0,0,hole,25,0.72831
115,3828,0.0,0,hole,18,0.731488
116,3864,0.0,0,hole,36,0.738501
117,3910,0.0,0,hole,46,0.747691
118,3930,0.0,0,hole,20,0.799014
119,3948,0.0,0,hole,18,0.804097
120,3982,0.0,0,hole,34,0.824007
121,4035,0.0,0,hole,53,0.834824
122,4051,0.0,0,hole,16,0.838359
123,4092,0.0,0,hole,41,0.845769
124,4126,0.0,0,hole,34,0.852675
125,4160,0.0,0,hole,34,0.859547
126,4204,0.0,0,hole,44,0.867921
127,4233,0.0,0,hole,29,0.87425
128,4275,0.0,0,hole,42,0.881676
129,4285,0.0,0,hole,10,0.883944
130,4331,0.0,0,hole,46,0.892651
131,4385,0.0,0,hole,54,0.903351
132,4415,0.0,0,hole,30,0.909022
133,4456,0.0,0,hole,41,0.916952
134,4601,0.0,0,hole,145,0.947182
135,4620,0.0,0,hole,19,0.950786
136,4633,0.0,0,hole,13,0.953803
137,4647,0.0,0,hole,14,0.95656
138,4736,0.0,0,hole,89,0.974056
139,4803,0.0,0,hole,67,0.987175
140,4866,0.0,0,hole,63,0.999742
141,4917,0.0,0,hole,51,1.010374
142,4946,0.0,0,hole,29,1.015977
143,5015,0.0,0,hole,69,1.030295
144,5023,0.0,0,hole,8,1.031861
145,5037,0.0,0,hole,14,1.035053
146,5094,0.0,0,hole,57,1.046026
147,5132,0.0,0,hole,38,1.052991
148,5214,0.0,0,hole,82,1.068977
149,5225,0.0,0,hole,11,1.071697
150,5249,0.0,0,hole,24,1.076566
151,5321,0.0,0,hole,72,1.091294
152,5402,0.0,0,hole,81,1.107728
153,5507,0.0,0,hole,105,1.129205
154,5526,0.0,0,hole,19,1.133054
155,5545,0.0,0,hole,19,1.137192
156,5558,0.0,0,hole,13,1.139781
