episode,timesteps,reward,success,outcome,steps,wall_time_s
1,16,0.0,0,hole,16,0.001823
2,48,0.0,0,hole,32,0.002651
3,57,0.0,0,hole,9,0.002906
4,78,0.0,0,hole,21,0.003423
5,95,0.0,0,hole,17,0.003933
6,128,0.0,0,hole,33,0.008777
7,213,0.0,0,hole,85,0.023793
8,229,0.0,0,hole,16,0.026256
9,241,0.0,0,hole,12,0.028469
10,245,0.0,0,hole,4,0.029127
11,257,0.0,0,hole,12,0.03099
12,371,0.0,0,hole,114,0.049543
13,385,0.0,0,hole,14,0.052157
14,417,0.0,0,hole,32,0.057349
15,504,0.0,0,hole,87,0.072822
16,517,0.0,0,hole,13,0.075257
17,589,0.0,0,hole,72,0.086928
18,635,0.0,0,hole,46,0.094186
19,673,0.0,0,hole,38,0.10084
20,713,0.0,0,hole,40,0.107389
21,740,0.0,0,hole,27,0.112147
22,755,0.0,0,hole,15,0.114627
23,788,0.0,0,hole,33,0.120357
24,805,0.0,0,hole,17,0.12371
25,848,0.0,0,hole,43,0.130323
26,974,0.0,0,hole,126,0.151167
27,1003,0.0,0,hole,29,0.156526
28,1018,0.0,0,hole,15,0.158992
29,1025,0.0,0,hole,7,0.160574
30,1064,1.0,1,success,39,0.166275
31,1079,0.0,0,hole,15,0.16881
32,1137,0.0,0,hole,58,0.178141
33,1158,0.0,0,hole,21,0.181601
34,1197,0.0,0,hole,39,0.188361
35,1225,0.0,0,hole,28,0.193158
36,1255,0.0,0,hole,30,0.197678
37,1275,0.0,0,hole,20,0.201764
38,1311,0.0,0,hole,36,0.208017
39,1323,0.0,0,hole,12,0.209962
40,1336,0.0,0,hole,13,0.211844
41,1404,0.0,0,hole,68,0.223597
42,1429,0.0,0,hole,25,0.227993
43,1433,0.0,0,hole,4,0.228625
44,1442,0.0,0,hole,9,0.230037
45,1457,0.0,0,hole,15,0.233062
46,1501,0.0,0,hole,44,0.240881
47,1539,0.0,0,hole,38,0.246782
48,1587,0.0,0,hole,48,0.255324
49,1607,0.0,0,hole,20,0.259066
50,1626,0.0,0,hole,19,0.262714
51,1654,0.0,0,hole,28,0.267743
52,1669,0.0,0,hole,15,0.270359
53,1712,0.0,0,hole,43,0.276987
54,1779,0.0,0,hole,67,0.302625
55,1809,0.0,0,hole,30,0.339933
56,1848,0.0,0,hole,39,0.34799
57,1871,0.0,0,hole,23,0.363275
58,1898,0.0,0,hole,27,0.368571
59,1929,0.0,0,hole,31,0.374165
60,1954,0.0,0,hole,25,0.378013
61,1987,0.0,0,hole,33,0.383731
62,1995,0.0,0,hole,8,0.385075
63,2002,0.0,0,hole,7,0.386914
64,2035,0.0,0,hole,33,0.393281
65,2044,0.0,0,hole,9,0.394751
66,2055,0.0,0,hole,11,0.396761
67,2130,0.0,0,hole,75,0.410145
68,2155,0.0,0,hole,25,0.414194
69,2163,0.0,0,hole,8,0.415856
70,2185,0.0,0,hole,22,0.419806
71,2210,0.0,0,hole,25,0.424134
72,2237,0.0,0,hole,27,0.428679
73,2244,0.0,0,hole,7,0.429608
74,2273,0.0,0,hole,29,0.435116
75,2293,0.0,0,hole,20,0.438433
76,2317,0.0,0,hole,24,0.44265
77,2344,0.0,0,hole,27,0.446824
78,2356,0.0,0,hole,12,0.449106
79,2374,0.0,0,hole,18,0.452795
80,2415,0.0,0,hole,41,0.45964
81,2429,0.0,0,hole,14,0.462159
82,2454,0.0,0,hole,25,0.466672
83,2470,0.0,0,hole,16,0.469432
84,2513,0.0,0,hole,43,0.477319
85,2585,0.0,0,hole,72,0.490332
86,2653,0.0,0,hole,68,0.501732
87,2682,0.0,0,hole,29,0.506326
88,2695,0.0,0,hole,13,0.508319
89,2720,0.0,0,hole,25,0.513619
90,2773,0.0,0,hole,53,0.523665
91,2822,0.0,0,hole,49,0.531683
