episode,timesteps,reward,success,outcome,steps,wall_time_s
1,5,0.0,0,hole,5,0.002406
2,9,0.0,0,hole,4,0.00255
3,33,0.0,0,hole,24,0.003144
4,68,0.0,0,hole,35,0.003983
5,89,0.0,0,hole,21,0.004719
6,124,0.0,0,hole,35,0.010607
7,134,0.0,0,hole,10,0.01299
8,175,0.0,0,hole,41,0.020366
9,186,0.0,0,hole,11,0.022831
10,200,0.0,0,hole,14,0.025442
11,214,0.0,0,hole,14,0.029256
12,233,0.0,0,hole,19,0.033284
13,254,0.0,0,hole,21,0.037492
14,296,0.0,0,hole,42,0.046955
15,313,0.0,0,hole,17,0.051324
16,329,0.0,0,hole,16,0.054479
17,380,0.0,0,hole,51,0.064886
18,397,0.0,0,hole,17,0.068187
19,402,0.0,0,hole,5,0.069384
20,418,0.0,0,hole,16,0.072681
21,468,0.0,0,hole,50,0.082683
22,496,0.0,0,hole,28,0.088903
23,527,0.0,0,hole,31,0.140889
24,642,0.0,0,hole,115,0.178805
25,687,0.0,0,hole,45,0.187648
26,816,0.0,0,hole,129,0.214029
27,831,0.0,0,hole,15,0.217069
28,852,0.0,0,hole,21,0.220896
29,897,0.0,0,hole,45,0.230322
30,931,0.0,0,hole,34,0.236839
31,984,0.0,0,hole,53,0.24739
32,1053,0.0,0,hole,69,0.261374
33,1137,0.0,0,hole,84,0.280089
34,1236,0.0,0,hole,99,0.29985
35,1311,0.0,0,hole,75,0.316496
36,1348,0.0,0,hole,37,0.324278
37,1375,0.0,0,hole,27,0.329843
38,1403,0.0,0,hole,28,0.336012
39,1419,0.0,0,hole,16,0.340317
40,1426,0.0,0,hole,7,0.34195
41,1534,0.0,0,hole,108,0.36428
42,1545,0.0,0,hole,11,0.366629
43,1610,0.0,0,hole,65,0.380103
44,1623,0.0,0,hole,13,0.38247
45,1678,0.0,0,hole,55,0.394515
46,1702,0.0,0,hole,24,0.399374
47,1744,0.0,0,hole,42,0.407517
48,1767,0.0,0,hole,23,0.412109
49,1889,0.0,0,hole,122,0.43745
50,2020,0.0,0,hole,131,0.463789
51,2120,0.0,0,hole,100,0.484404
52,2136,0.0,0,hole,16,0.48802
53,2174,0.0,0,hole,38,0.496085
54,2186,0.0,0,hole,12,0.498608
55,2199,0.0,0,hole,13,0.501072
56,2303,0.0,0,hole,104,0.52221
57,2308,0.0,0,hole,5,0.523301
58,2470,0.0,0,hole,162,0.558243
59,2534,0.0,0,hole,64,0.571367
60,2562,0.0,0,hole,28,0.576787
61,2568,0.0,0,hole,6,0.577798
62,2656,0.0,0,hole,88,0.595953
63,2685,0.0,0,hole,29,0.602353
64,2811,0.0,0,hole,126,0.629936
65,2847,0.0,0,hole,36,0.637697
66,2914,0.0,0,hole,67,0.652207
67,2963,0.0,0,hole,49,0.66254
68,3006,0.0,0,hole,43,0.671066
69,3059,0.0,0,hole,53,0.68159
70,3085,0.0,0,hole,26,0.687416
71,3174,0.0,0,hole,89,0.705521
