episode,timesteps,reward,success,outcome,steps,wall_time_s
1,23,0.0,0,hole,23,0.002317
2,50,0.0,0,hole,27,0.003006
3,98,0.0,0,hole,48,0.004143
4,109,0.0,0,hole,11,0.006298
5,144,0.0,0,hole,35,0.012434
6,157,0.0,0,hole,13,0.015324
7,174,0.0,0,hole,17,0.018009
8,195,0.0,0,hole,21,0.021289
9,210,0.0,0,hole,15,0.025069
10,235,0.0,0,hole,25,0.029751
11,275,0.0,0,hole,40,0.03642
12,283,0.0,0,hole,8,0.037752
13,309,0.0,0,hole,26,0.043025
14,326,0.0,0,hole,17,0.045998
15,348,0.0,0,hole,22,0.049293
16,397,0.0,0,hole,49,0.057909
17,432,0.0,0,hole,35,0.065081
18,460,0.0,0,hole,28,0.069962
19,532,0.0,0,hole,72,0.084306
20,582,0.0,0,hole,50,0.093287
21,601,0.0,0,hole,19,0.097195
22,615,0.0,0,hole,14,0.099302
23,684,0.0,0,hole,69,0.11135
24,704,0.0,0,hole,20,0.11497
25,742,0.0,0,hole,38,0.121509
26,785,0.0,0,hole,43,0.12986
27,797,0.0,0,hole,12,0.132007
28,804,0.0,0,hole,7,0.133244
29,829,0.0,0,hole,25,0.137889
30,881,0.0,0,hole,52,0.147631
31,900,0.0,0,hole,19,0.150409
32,928,0.0,0,hole,28,0.155484
33,935,0.0,0,hole,7,0.157004
34,973,0.0,0,hole,38,0.164055
35,1000,0.0,0,hole,27,0.168015
36,1015,0.0,0,hole,15,0.171093
37,1032,0.0,0,hole,17,0.173915
38,1053,0.0,0,hole,21,0.178483
39,1066,0.0,0,hole,13,0.180675
40,1070,0.0,0,hole,4,0.181362
41,1120,0.0,0,hole,50,0.189967
42,1131,0.0,0,hole,11,0.191964
43,1181,0.0,0,hole,50,0.201001
44,1191,0.0,0,hole,10,0.202432
45,1227,0.0,0,hole,36,0.209108
46,1263,0.0,0,hole,36,0.215291
47,1289,0.0,0,hole,26,0.219822
48,1301,0.0,0,hole,12,0.222095
49,1385,0.0,0,hole,84,0.238311
50,1409,0.0,0,hole,24,0.242997
51,1418,0.0,0,hole,9,0.24444
52,1433,0.0,0,hole,15,0.247091
53,1468,0.0,0,hole,35,0.252506
54,1500,0.0,0,hole,32,0.257938
55,1519,0.0,0,hole,19,0.262266
56,1549,0.0,0,hole,30,0.267618
57,1568,0.0,0,hole,19,0.270523
58,1585,0.0,0,hole,17,0.273723
59,1604,0.0,0,hole,19,0.2774
60,1643,0.0,0,hole,39,0.284787
61,1654,0.0,0,hole,11,0.28714
62,1724,0.0,0,hole,70,0.299888
63,1740,0.0,0,hole,16,0.302548
64,1748,0.0,0,hole,8,0.303929
65,1790,0.0,0,hole,42,0.311865
66,1798,0.0,0,hole,8,0.313276
67,1826,0.0,0,hole,28,0.318318
68,1833,0.0,0,hole,7,0.319637
69,1890,0.0,0,hole,57,0.330104
70,1933,0.0,0,hole,43,0.338281
71,1944,0.0,0,hole,11,0.339711
