episode,timesteps,reward,success,outcome,steps,wall_time_s
1,24,0.0,0,hole,24,0.001913
2,37,0.0,0,hole,13,0.002272
3,68,0.0,0,hole,31,0.00301
4,93,0.0,0,hole,25,0.003752
5,124,0.0,0,hole,31,0.008671
6,174,0.0,0,hole,50,0.017395
7,182,0.0,0,hole,8,0.01878
8,203,0.0,0,hole,21,0.022062
9,250,0.0,0,hole,47,0.031359
10,269,0.0,0,hole,19,0.035335
11,275,0.0,0,hole,6,0.036084
12,305,0.0,0,hole,30,0.042251
13,312,0.0,0,hole,7,0.043168
14,410,0.0,0,hole,98,0.060295
15,437,0.0,0,hole,27,0.06475
16,441,0.0,0,hole,4,0.065419
17,473,0.0,0,hole,32,0.070697
18,492,0.0,0,hole,19,0.073892
19,507,0.0,0,hole,15,0.076647
20,585,0.0,0,hole,78,0.089981
21,610,0.0,0,hole,25,0.094106
22,641,0.0,0,hole,31,0.099472
23,658,0.0,0,hole,17,0.102118
24,683,0.0,0,hole,25,0.106502
25,697,0.0,0,hole,14,0.10943
26,738,0.0,0,hole,41,0.116131
27,756,0.0,0,hole,18,0.118777
28,805,0.0,0,hole,49,0.127623
29,813,0.0,0,hole,8,0.12915
30,817,0.0,0,hole,4,0.129835
31,847,0.0,0,hole,30,0.134524
32,866,0.0,0,hole,19,0.137697
33,903,0.0,0,hole,37,0.145467
34,922,0.0,0,hole,19,0.148828
35,971,0.0,0,hole,49,0.157204
36,1030,0.0,0,hole,59,0.167439
37,1055,0.0,0,hole,25,0.171495
38,1069,0.0,0,hole,14,0.174385
39,1146,0.0,0,hole,77,0.187767
40,1292,0.0,0,hole,146,0.211978
41,1314,0.0,0,hole,22,0.216141
42,1332,0.0,0,hole,18,0.219099
43,1344,0.0,0,hole,12,0.221213
44,1351,0.0,0,hole,7,0.222776
45,1365,0.0,0,hole,14,0.225856
46,1393,0.0,0,hole,28,0.2306
47,1408,0.0,0,hole,15,0.232756
48,1442,0.0,0,hole,34,0.23891
49,1492,0.0,0,hole,50,0.247452
50,1502,0.0,0,hole,10,0.249637
51,1539,0.0,0,hole,37,0.255734
52,1559,0.0,0,hole,20,0.259416
53,1568,0.0,0,hole,9,0.260875
54,1588,0.0,0,hole,20,0.264135
55,1600,0.0,0,hole,12,0.266139
56,1619,0.0,0,hole,19,0.269644
57,1647,0.0,0,hole,28,0.274978
58,1666,0.0,0,hole,19,0.278488
59,1697,0.0,0,hole,31,0.284073
60,1710,0.0,0,hole,13,0.286097
61,1750,0.0,0,hole,40,0.293387
62,1779,0.0,0,hole,29,0.298018
63,1822,0.0,0,hole,43,0.305201
64,1849,0.0,0,hole,27,0.310386
65,1861,0.0,0,hole,12,0.312693
66,1880,0.0,0,hole,19,0.315573
67,1943,0.0,0,hole,63,0.32785
68,1960,0.0,0,hole,17,0.330595
69,1986,0.0,0,hole,26,0.33537
70,2061,0.0,0,hole,75,0.348717
71,2106,0.0,0,hole,45,0.356149
72,2141,0.0,0,hole,35,0.362051
73,2162,0.0,0,hole,21,0.365664
74,2187,0.0,0,hole,25,0.369697
75,2228,0.0,0,hole,41,0.376878
76,2253,0.0,0,hole,25,0.381915
77,2284,0.0,0,hole,31,0.38678
78,2300,0.0,0,hole,16,0.389751
79,2317,0.0,0,hole,17,0.393122
80,2348,0.0,0,hole,31,0.398456
81,2357,0.0,0,hole,9,0.400543
82,2394,0.0,0,hole,37,0.407147
83,2443,0.0,0,hole,49,0.415381
84,2477,0.0,0,hole,34,0.421298
85,2495,0.0,0,hole,18,0.424622
86,2503,0.0,0,hole,8,0.426205
87,2525,0.0,0,hole,22,0.430244
88,2557,0.0,0,hole,32,0.435562
89,2567,0.0,0,hole,10,0.437288
90,2585,0.0,0,hole,18,0.441335
91,2590,0.0,0,hole,5,0.442045
92,2612,0.0,0,hole,22,0.445676
93,2643,0.0,0,hole,31,0.451214
94,2657,0.0,0,hole,14,0.454157
95,2685,0.0,0,hole,28,0.45953
96,2709,0.0,0,hole,24,0.4636
97,2716,0.0,0,hole,7,0.464541
98,2759,0.0,0,hole,43,0.471892
99,2767,0.0,0,hole,8,0.473774
100,2832,0.0,0,hole,65,0.484674
101,2845,0.0,0,hole,13,0.487366
102,2873,0.0,0,hole,28,0.492314
103,2910,0.0,0,hole,37,0.498824
104,2935,1.0,1,success,25,0.503073
105,2952,0.0,0,hole,17,0.506136
106,2960,0.0,0,hole,8,0.507866
107,2971,0.0,0,hole,11,0.510141
108,2984,0.0,0,hole,13,0.512378
109,3013,0.0,0,hole,29,0.518045
110,3021,0.0,0,hole,8,0.519921
111,3032,0.0,0,hole,11,0.521603
112,3105,0.0,0,hole,73,0.53514
113,3123,0.0,0,hole,18,0.538175
114,3130,0.0,0,hole,7,0.539657
115,3190,0.0,0,hole,60,0.550013
116,3213,0.0,0,hole,23,0.554211
117,3227,0.0,0,hole,14,0.556951
118,3236,0.0,0,hole,9,0.558406
119,3269,0.0,0,hole,33,0.564384
120,3353,0.0,0,hole,84,0.579526
121,3366,0.0,0,hole,13,0.582398
122,3372,0.0,0,hole,6,0.58338
123,3382,0.0,0,hole,10,0.585416
124,3398,0.0,0,hole,16,0.588618
125,3438,0.0,0,hole,40,0.59637
126,3458,0.0,0,hole,20,0.600049
127,3479,0.0,0,hole,21,0.603492
128,3503,0.0,0,hole,24,0.608503
129,3527,0.0,0,hole,24,0.612825
130,3533,0.0,0,hole,6,0.614081
131,3552,0.0,0,hole,19,0.61741
132,3588,0.0,0,hole,36,0.624126
133,3603,0.0,0,hole,15,0.627102
134,3651,0.0,0,hole,48,0.635405
135,3708,0.0,0,hole,57,0.645907
136,3728,0.0,0,hole,20,0.650249
137,3739,0.0,0,hole,11,0.652698
138,3758,0.0,0,hole,19,0.65686
139,3778,0.0,0,hole,20,0.660581
140,3809,0.0,0,hole,31,0.667263
141,3828,0.0,0,hole,19,0.670929
142,3840,0.0,0,hole,12,0.673456
