episode,timesteps,reward,success,outcome,steps,wall_time_s
1,14,0.0,0,hole,14,0.001978
2,34,0.0,0,hole,20,0.002498
3,83,0.0,0,hole,49,0.00368
4,125,0.0,0,hole,42,0.010316
5,136,0.0,0,hole,11,0.012155
6,153,0.0,0,hole,17,0.015798
7,230,0.0,0,hole,77,0.032205
8,273,0.0,0,hole,43,0.041456
9,301,1.0,1,success,28,0.0476
10,321,0.0,0,hole,20,0.051697
11,363,1.0,1,success,42,0.060469
12,378,0.0,0,hole,15,0.063374
13,389,0.0,0,hole,11,0.065994
14,460,0.0,0,hole,71,0.080628
15,497,0.0,0,hole,37,0.088353
16,521,0.0,0,hole,24,0.093905
17,541,0.0,0,hole,20,0.097932
18,553,0.0,0,hole,12,0.100402
19,558,0.0,0,hole,5,0.101357
20,615,0.0,0,hole,57,0.114006
21,632,0.0,0,hole,17,0.117579
22,645,0.0,0,hole,13,0.120492
23,665,0.0,0,hole,20,0.125038
24,704,0.0,0,hole,39,0.132871
25,711,0.0,0,hole,7,0.134792
26,758,0.0,0,hole,47,0.144626
27,805,0.0,0,hole,47,0.155704
28,879,0.0,0,hole,74,0.170314
29,883,0.0,0,hole,4,0.171273
30,903,0.0,0,hole,20,0.176051
31,920,0.0,0,hole,17,0.179475
32,953,0.0,0,hole,33,0.186471
33,974,0.0,0,hole,21,0.191051
34,1003,0.0,0,hole,29,0.197363
35,1059,0.0,0,hole,56,0.208892
36,1068,0.0,0,hole,9,0.210488
37,1129,0.0,0,hole,61,0.224393
38,1141,0.0,0,hole,12,0.227175
39,1161,0.0,0,hole,20,0.231253
40,1206,0.0,0,hole,45,0.240653
41,1231,0.0,0,hole,25,0.245306
42,1243,0.0,0,hole,12,0.247537
43,1278,1.0,1,success,35,0.255066
44,1289,0.0,0,hole,11,0.257716
45,1386,0.0,0,hole,97,0.278834
46,1410,0.0,0,hole,24,0.283815
47,1443,0.0,0,hole,33,0.290635
48,1509,0.0,0,hole,66,0.304481
49,1555,0.0,0,hole,46,0.313834
50,1613,1.0,1,success,58,0.326375
51,1631,0.0,0,hole,18,0.329794
52,1655,0.0,0,hole,24,0.33495
53,1705,0.0,0,hole,50,0.345797
54,1719,0.0,0,hole,14,0.348364
55,1748,0.0,0,hole,29,0.354325
56,1756,0.0,0,hole,8,0.356326
57,1763,0.0,0,hole,7,0.357993
58,1783,0.0,0,hole,20,0.36216
59,1806,0.0,0,hole,23,0.367164
60,1840,0.0,0,hole,34,0.374582
61,1900,1.0,1,success,60,0.387974
62,1953,0.0,0,hole,53,0.399812
63,2077,0.0,0,hole,124,0.425857
64,2089,0.0,0,hole,12,0.428256
65,2144,0.0,0,hole,55,0.439825
66,2165,0.0,0,hole,21,0.444653
67,2222,0.0,0,hole,57,0.456643
68,2228,0.0,0,hole,6,0.457606
69,2263,1.0,1,success,35,0.464855
70,2308,0.0,0,hole,45,0.474086
71,2319,0.0,0,hole,11,0.476628
72,2327,0.0,0,hole,8,0.478151
73,2349,0.0,0,hole,22,0.482733
74,2358,0.0,0,hole,9,0.484584
75,2375,0.0,0,hole,17,0.488233
76,2379,0.0,0,hole,4,0.489135
77,2406,0.0,0,hole,27,0.495384
78,2411,0.0,0,hole,5,0.496184
79,2423,0.0,0,hole,12,0.49861
80,2456,0.0,0,hole,33,0.505524
81,2496,0.0,0,hole,40,0.51441
82,2515,0.0,0,hole,19,0.519131
83,2530,0.0,0,hole,15,0.523447
84,2546,0.0,0,hole,16,0.526794
85,2612,0.0,0,hole,66,0.540693
86,2633,0.0,0,hole,21,0.545323
87,2639,0.0,0,hole,6,0.546197
88,2688,0.0,0,hole,49,0.555892
89,2721,0.0,0,hole,33,0.563721
90,2737,0.0,0,hole,16,0.56713
91,2785,0.0,0,hole,48,0.578104
92,2812,1.0,1,success,27,0.58367
93,2912,0.0,0,hole,100,0.604772
94,2937,0.0,0,hole,25,0.610368
95,3002,1.0,1,success,65,0.624148
96,3033,0.0,0,hole,31,0.630441
97,3041,0.0,0,hole,8,0.632173
98,3097,0.0,0,hole,56,0.643643
99,3157,0.0,0,hole,60,0.656815
100,3202,0.0,0,hole,45,0.666368
101,3216,0.0,0,hole,14,0.669351
102,3236,0.0,0,hole,20,0.673696
103,3255,0.0,0,hole,19,0.677423
104,3298,0.0,0,hole,43,0.686317
105,3368,1.0,1,success,70,0.701397
106,3381,0.0,0,hole,13,0.705046
107,3433,0.0,0,hole,52,0.715739
108,3450,0.0,0,hole,17,0.718968
109,3491,1.0,1,success,41,0.727857
110,3508,0.0,0,hole,17,0.731916
111,3512,0.0,0,hole,4,0.732727
112,3522,0.0,0,hole,10,0.734959
113,3605,0.0,0,hole,83,0.753258
114,3623,0.0,0,hole,18,0.75701
115,3652,0.0,0,hole,29,0.762567
116,3700,0.0,0,hole,48,0.772602
117,3709,0.0,0,hole,9,0.775476
118,3739,0.0,0,hole,30,0.782294
119,3765,0.0,0,hole,26,0.788053
120,3795,0.0,0,hole,30,0.794274
121,3801,0.0,0,hole,6,0.796276
122,3844,0.0,0,hole,43,0.805383
123,3861,0.0,0,hole,17,0.809564
124,3865,0.0,0,hole,4,0.810451
125,3941,0.0,0,hole,76,0.827058
126,3996,0.0,0,hole,55,0.839064
127,4076,0.0,0,hole,80,0.856308
128,4096,0.0,0,hole,20,0.860322
129,4128,0.0,0,hole,32,0.866918
130,4160,0.0,0,hole,32,0.874377
131,4172,0.0,0,hole,12,0.87678
132,4186,0.0,0,hole,14,0.879945
133,4197,0.0,0,hole,11,0.882521
134,4262,0.0,0,hole,65,0.896319
135,4334,0.0,0,hole,72,0.912003
136,4344,0.0,0,hole,10,0.913814
137,4416,0.0,0,hole,72,0.92955
138,4482,0.0,0,hole,66,0.944216
139,4532,0.0,0,hole,50,0.95486
140,4567,0.0,0,hole,35,0.962642
141,4765,0.0,0,hole,198,1.006561
142,4829,0.0,0,hole,64,1.02032
143,4846,0.0,0,hole,17,1.024137
144,4867,0.0,0,hole,21,1.028547
145,4965,0.0,0,hole,98,1.04957
146,5015,0.0,0,hole,50,1.060737
147,5054,0.0,0,hole,39,1.068748
148,5124,0.0,0,hole,70,1.082982
149,5143,0.0,0,hole,19,1.086909
150,5176,0.0,0,hole,33,1.093864
151,5220,0.0,0,hole,44,1.102884
152,5341,1.0,1,success,121,1.129874
153,5357,0.0,0,hole,16,1.133421
154,5380,0.0,0,hole,23,1.13785
155,5403,0.0,0,hole,23,1.143684
156,5442,0.0,0,hole,39,1.151801
157,5465,0.0,0,hole,23,1.158209
158,5540,0.0,0,hole,75,1.178212
159,5564,0.0,0,hole,24,1.185111
160,5596,0.0,0,hole,32,1.193148
161,5637,0.0,0,hole,41,1.204635
162,5655,0.0,0,hole,18,1.208932
163,5731,0.0,0,hole,76,1.225313
164,5756,0.0,0,hole,25,1.230227
165,5794,0.0,0,hole,38,1.238784
166,5873,0.0,0,hole,79,1.255904
167,5933,0.0,0,hole,60,1.268655
168,5959,0.0,0,hole,26,1.273486
169,5966,0.0,0,hole,7,1.275214
170,6038,1.0,1,success,72,1.291425
