episode,timesteps,reward,success,outcome,steps,wall_time_s
1,8,0.0,0,hole,8,0.001813
2,16,0.0,0,hole,8,0.002066
3,37,0.0,0,hole,21,0.002938
4,62,0.0,0,hole,25,0.003695
5,102,0.0,0,hole,40,0.004922
6,118,0.0,0,hole,16,0.009008
7,249,0.0,0,hole,131,0.036146
8,293,0.0,0,hole,44,0.04504
9,379,0.0,0,hole,86,0.062788
10,398,0.0,0,hole,19,0.066367
11,449,0.0,0,hole,51,0.076899
12,499,0.0,0,hole,50,0.086737
13,524,0.0,0,hole,25,0.092007
14,551,0.0,0,hole,27,0.097907
15,570,0.0,0,hole,19,0.101897
16,580,0.0,0,hole,10,0.103511
17,649,0.0,0,hole,69,0.117494
18,661,0.0,0,hole,12,0.119971
19,711,0.0,0,hole,50,0.129913
20,722,0.0,0,hole,11,0.13223
21,830,0.0,0,hole,108,0.153157
22,841,0.0,0,hole,11,0.155361
23,870,0.0,0,hole,29,0.212782
24,912,0.0,0,hole,42,0.23222
25,920,0.0,0,hole,8,0.236049
26,968,0.0,0,hole,48,0.245504
27,984,0.0,0,hole,16,0.24885
28,1000,0.0,0,hole,16,0.252425
29,1031,0.0,0,hole,31,0.260159
30,1119,0.0,0,hole,88,0.278131
31,1126,0.0,0,hole,7,0.279706
32,1194,0.0,0,hole,68,0.293125
33,1198,0.0,0,hole,4,0.293964
34,1270,0.0,0,hole,72,0.308575
35,1337,0.0,0,hole,67,0.322884
36,1419,0.0,0,hole,82,0.33891
37,1438,0.0,0,hole,19,0.342936
38,1495,0.0,0,hole,57,0.354231
39,1515,0.0,0,hole,20,0.359059
40,1562,0.0,0,hole,47,0.36823
41,1651,0.0,0,hole,89,0.386017
42,1688,0.0,0,hole,37,0.393854
43,1722,0.0,0,hole,34,0.400577
44,1737,0.0,0,hole,15,0.403531
45,1769,0.0,0,hole,32,0.410463
46,1785,0.0,0,hole,16,0.413842
47,1804,0.0,0,hole,19,0.417418
48,1879,0.0,0,hole,75,0.432674
49,1900,0.0,0,hole,21,0.437168
50,1928,0.0,0,hole,28,0.442766
51,1950,0.0,0,hole,22,0.447312
52,1994,0.0,0,hole,44,0.455803
53,1999,0.0,0,hole,5,0.457081
54,2014,0.0,0,hole,15,0.461097
55,2033,0.0,0,hole,19,0.464888
56,2089,0.0,0,hole,56,0.47677
57,2147,0.0,0,hole,58,0.487636
58,2151,0.0,0,hole,4,0.488416
59,2236,0.0,0,hole,85,0.505364
60,2339,0.0,0,hole,103,0.526576
61,2361,0.0,0,hole,22,0.531197
