episode,timesteps,reward,success,outcome,steps,wall_time_s
1,15,0.0,0,hole,15,0.001931
2,74,0.0,0,hole,59,0.00338
3,90,0.0,0,hole,16,0.003788
4,137,0.0,0,hole,47,0.013721
5,148,0.0,0,hole,11,0.015584
6,170,0.0,0,hole,22,0.020036
7,241,0.0,0,hole,71,0.035297
8,286,0.0,0,hole,45,0.044026
9,306,0.0,0,hole,20,0.048802
10,381,0.0,0,hole,75,0.066016
11,421,0.0,0,hole,40,0.074689
12,436,0.0,0,hole,15,0.07755
13,495,0.0,0,hole,59,0.090237
14,563,0.0,0,hole,68,0.104227
15,662,0.0,0,hole,99,0.1241
16,676,0.0,0,hole,14,0.126631
17,681,0.0,0,hole,5,0.128085
18,703,0.0,0,hole,22,0.132546
19,709,0.0,0,hole,6,0.134069
20,733,0.0,0,hole,24,0.139155
21,739,0.0,0,hole,6,0.140202
22,755,0.0,0,hole,16,0.143476
23,776,0.0,0,hole,21,0.148813
24,817,0.0,0,hole,41,0.157689
25,857,0.0,0,hole,40,0.166018
26,922,0.0,0,hole,65,0.179756
27,963,0.0,0,hole,41,0.187797
28,1018,0.0,0,hole,55,0.199476
29,1044,0.0,0,hole,26,0.204781
30,1056,0.0,0,hole,12,0.207194
31,1100,0.0,0,hole,44,0.216093
32,1126,0.0,0,hole,26,0.221855
33,1157,0.0,0,hole,31,0.228458
34,1258,0.0,0,hole,101,0.249432
35,1264,0.0,0,hole,6,0.250248
36,1273,0.0,0,hole,9,0.25239
37,1330,0.0,0,hole,57,0.319201
38,1369,0.0,0,hole,39,0.337915
39,1428,0.0,0,hole,59,0.349797
40,1490,0.0,0,hole,62,0.362134
41,1497,0.0,0,hole,7,0.363746
42,1560,0.0,0,hole,63,0.376748
43,1571,0.0,0,hole,11,0.379603
44,1704,0.0,0,hole,133,0.406869
45,1758,0.0,0,hole,54,0.41775
46,1778,0.0,0,hole,20,0.421517
47,1800,0.0,0,hole,22,0.425398
48,1921,0.0,0,hole,121,0.451568
49,1991,0.0,0,hole,70,0.466131
50,2031,0.0,0,hole,40,0.474622
51,2045,0.0,0,hole,14,0.477945
52,2056,0.0,0,hole,11,0.479876
53,2115,0.0,0,hole,59,0.492469
54,2163,0.0,0,hole,48,0.502385
55,2182,0.0,0,hole,19,0.506261
56,2294,0.0,0,hole,112,0.529159
57,2309,0.0,0,hole,15,0.532826
58,2329,0.0,0,hole,20,0.537077
59,2343,0.0,0,hole,14,0.539683
60,2405,0.0,0,hole,62,0.5532
61,2509,0.0,0,hole,104,0.575336
62,2593,0.0,0,hole,84,0.592445
63,2618,0.0,0,hole,25,0.597583
64,2682,0.0,0,hole,64,0.61015
65,2710,0.0,0,hole,28,0.617241
66,2743,0.0,0,hole,33,0.623735
67,2767,0.0,0,hole,24,0.628804
68,2804,0.0,0,hole,37,0.636739
69,2861,0.0,0,hole,57,0.649631
70,2929,0.0,0,hole,68,0.664604
71,3013,0.0,0,hole,84,0.682281
72,3042,0.0,0,hole,29,0.688288
73,3085,0.0,0,hole,43,0.698035
74,3135,0.0,0,hole,50,0.708493
75,3146,0.0,0,hole,11,0.711172
76,3172,0.0,0,hole,26,0.71651
77,3243,0.0,0,hole,71,0.733078
78,3252,0.0,0,hole,9,0.735006
79,3290,0.0,0,hole,38,0.743082
80,3313,0.0,0,hole,23,0.748442
81,3338,0.0,0,hole,25,0.753593
82,3387,0.0,0,hole,49,0.764109
83,3419,0.0,0,hole,32,0.770685
84,3440,0.0,0,hole,21,0.774797
85,3468,0.0,0,hole,28,0.780615
86,3506,0.0,0,hole,38,0.789189
87,3680,0.0,0,hole,174,0.82499
88,3825,1.0,1,success,145,0.855878
89,3860,0.0,0,hole,35,0.86325
90,3939,0.0,0,hole,79,0.880198
91,4000,0.0,0,hole,61,0.892754
92,4012,0.0,0,hole,12,0.895796
93,4037,0.0,0,hole,25,0.901265
94,4045,0.0,0,hole,8,0.902911
95,4075,0.0,0,hole,30,0.908451
96,4107,0.0,0,hole,32,0.915749
97,4118,0.0,0,hole,11,0.918221
98,4194,0.0,0,hole,76,0.934125
99,4256,0.0,0,hole,62,0.947227
100,4275,0.0,0,hole,19,0.951243
101,4338,0.0,0,hole,63,0.964493
102,4358,0.0,0,hole,20,0.96852
103,4440,0.0,0,hole,82,0.985376
104,4472,0.0,0,hole,32,0.991956
105,4487,0.0,0,hole,15,0.995424
106,4499,0.0,0,hole,12,0.997899
107,4567,0.0,0,hole,68,1.01349
108,4622,0.0,0,hole,55,1.02557
109,4657,0.0,0,hole,35,1.033573
110,4687,0.0,0,hole,30,1.03972
111,4788,0.0,0,hole,101,1.06202
112,4810,0.0,0,hole,22,1.067704
113,4864,0.0,0,hole,54,1.07946
114,4908,0.0,0,hole,44,1.088852
115,4966,0.0,0,hole,58,1.10069
116,5005,0.0,0,hole,39,1.108906
117,5057,0.0,0,hole,52,1.119497
118,5102,0.0,0,hole,45,1.129131
119,5123,0.0,0,hole,21,1.133186
120,5141,0.0,0,hole,18,1.137292
121,5207,0.0,0,hole,66,1.151801
122,5221,0.0,0,hole,14,1.155091
123,5359,0.0,0,hole,138,1.184362
124,5394,0.0,0,hole,35,1.191664
125,5441,0.0,0,hole,47,1.202823
126,5478,0.0,0,hole,37,1.210249
127,5542,1.0,1,success,64,1.224443
128,5548,0.0,0,hole,6,1.225272
129,5603,0.0,0,hole,55,1.237454
130,5650,0.0,0,hole,47,1.247608
131,5728,0.0,0,hole,78,1.264145
132,5912,0.0,0,hole,184,1.303948
133,5983,0.0,0,hole,71,1.318619
134,6102,0.0,0,hole,119,1.344662
135,6191,0.0,0,hole,89,1.362661
136,6330,1.0,1,success,139,1.392973
137,6352,0.0,0,hole,22,1.397278
138,6452,0.0,0,hole,100,1.418123
139,6474,0.0,0,hole,22,1.423048
140,6583,0.0,0,hole,109,1.446981
141,6619,0.0,0,hole,36,1.455236
142,6678,0.0,0,hole,59,1.468762
143,6779,0.0,0,hole,101,1.49056
144,6802,0.0,0,hole,23,1.495841
145,6890,0.0,0,hole,88,1.514735
146,6901,0.0,0,hole,11,1.517439
147,6989,0.0,0,hole,88,1.535581
148,7014,0.0,0,hole,25,1.540942
149,7075,0.0,0,hole,61,1.553748
150,7104,0.0,0,hole,29,1.559728
151,7154,0.0,0,hole,50,1.570708
152,7177,0.0,0,hole,23,1.575504
153,7189,0.0,0,hole,12,1.578501
154,7202,0.0,0,hole,13,1.581444
155,7233,0.0,0,hole,31,1.588624
156,7359,0.0,0,hole,126,1.615825
157,7463,0.0,0,hole,104,1.639293
158,7546,1.0,1,success,83,1.657075
159,7575,0.0,0,hole,29,1.663098
160,7625,0.0,0,hole,50,1.674662
161,7659,0.0,0,hole,34,1.682158
162,7736,0.0,0,hole,77,1.699539
163,7748,0.0,0,hole,12,1.704387
164,7757,0.0,0,hole,9,1.707822
165,7891,0.0,0,hole,134,1.742606
166,8006,0.0,0,hole,115,1.767854
167,8068,0.0,0,hole,62,1.780565
168,8119,0.0,0,hole,51,1.791192
169,8141,0.0,0,hole,22,1.796341
170,8169,0.0,0,hole,28,1.802231
171,8196,0.0,0,hole,27,1.807609
172,8210,0.0,0,hole,14,1.811099
173,8239,0.0,0,hole,29,1.817681
174,8264,0.0,0,hole,25,1.822737
175,8347,1.0,1,success,83,1.842223
176,8356,0.0,0,hole,9,1.844189
177,8404,0.0,0,hole,48,1.856409
178,8454,0.0,0,hole,50,1.870717
179,8523,0.0,0,hole,69,1.889758
