episode,timesteps,reward,success,outcome,steps,wall_time_s
1,34,-0.94,0,hole,34,0.634331
2,50,-0.96,0,hole,16,0.634805
3,81,-1.11,0,hole,31,0.635667
4,152,-1.51,0,hole,71,0.667903
5,171,-0.99,0,hole,19,0.686416
6,252,-1.36,0,hole,81,0.703126
7,282,-1.1,0,hole,30,0.70976
8,293,-0.91,0,hole,11,0.711895
9,346,-1.33,0,hole,53,0.721713
10,382,-1.16,0,hole,36,0.728758
11,422,-1.05,0,hole,40,0.735326
12,433,-0.71,0,hole,11,0.737268
13,438,-0.85,0,hole,5,0.738117
14,492,-1.19,0,hole,54,0.748
15,511,-0.99,0,hole,19,0.751606
16,551,-1.05,0,hole,40,0.75905
17,571,-0.85,0,hole,20,0.762511
18,613,-1.22,0,hole,42,0.770422
19,627,-0.79,0,hole,14,0.772559
20,647,-0.8,0,hole,20,0.777156
21,685,-1.03,0,hole,38,0.785107
22,704,-0.84,0,hole,19,0.787977
23,733,-0.94,0,hole,29,0.794515
24,762,-1.09,0,hole,29,0.799346
25,831,-1.49,0,hole,69,0.811952
26,845,-0.94,0,hole,14,0.814748
27,897,-1.32,0,hole,52,0.823615
28,905,-0.88,0,hole,8,0.8253
29,933,-0.93,0,hole,28,0.831918
30,966,-1.13,0,hole,33,0.837713
31,998,-0.97,0,hole,32,0.843939
32,1041,-1.08,0,hole,43,0.851395
33,1048,-0.87,0,hole,7,0.852287
34,1059,-0.91,0,hole,11,0.8542
35,1066,-0.87,0,hole,7,0.855492
36,1079,-0.93,0,hole,13,0.858027
37,1096,-0.97,0,hole,17,0.861226
38,1130,-0.99,0,hole,34,0.867621
39,1151,-0.86,0,hole,21,0.870948
40,1192,1.29,1,success,41,0.878257
41,1214,-1.02,0,hole,22,0.882353
42,1272,-1.23,0,hole,58,0.893986
43,1361,-1.54,0,hole,89,0.910164
44,1382,-1.01,0,hole,21,0.913769
45,1403,-1.01,0,hole,21,0.917327
46,1463,-1.25,0,hole,60,0.928667
47,1475,-0.77,0,hole,12,0.93068
48,1501,1.44,1,success,26,0.935559
49,1534,-0.93,0,hole,33,0.941711
50,1549,-0.95,0,hole,15,0.944808
51,1556,-0.87,0,hole,7,0.945604
52,1580,-0.89,0,hole,24,0.949709
53,1604,-1.04,0,hole,24,0.954006
54,1628,-1.04,0,hole,24,0.959327
55,1656,-1.08,0,hole,28,0.964526
56,1676,-1.0,0,hole,20,0.967901
57,1696,-1.0,0,hole,20,0.971478
58,1885,-2.54,0,hole,189,1.007323
59,1903,-0.98,0,hole,18,1.010502
60,1938,-1.15,0,hole,35,1.016721
61,1963,-1.05,0,hole,25,1.020995
62,1991,-0.93,0,hole,28,1.026352
63,2003,-0.92,0,hole,12,1.028573
64,2016,-0.93,0,hole,13,1.03092
65,2043,-0.92,0,hole,27,1.037135
66,2056,-0.78,0,hole,13,1.039705
67,2087,-0.96,0,hole,31,1.046487
68,2111,-1.04,0,hole,24,1.050865
69,2133,-0.87,0,hole,22,1.054935
70,2140,-0.87,0,hole,7,1.055798
71,2149,-0.74,0,hole,9,1.058691
72,2204,-1.35,0,hole,55,1.067733
73,2215,-0.91,0,hole,11,1.069836
74,2219,-0.84,0,hole,4,1.070503
75,2276,-1.12,0,hole,57,1.081759
76,2307,-0.96,0,hole,31,1.0881
77,2325,-0.83,0,hole,18,1.093649
78,2330,-0.85,0,hole,5,1.094442
79,2348,-0.83,0,hole,18,1.097565
80,2381,-1.13,0,hole,33,1.104034
81,2403,-1.02,0,hole,22,1.108394
82,2424,-0.86,0,hole,21,1.112251
83,2435,-0.76,0,hole,11,1.114337
84,2448,-0.68,0,hole,13,1.11654
85,2495,-1.02,0,hole,47,1.126002
86,2570,-1.55,0,hole,75,1.138871
87,2610,-1.05,0,hole,40,1.146624
88,2630,-1.0,0,hole,20,1.149977
89,2649,-0.99,0,hole,19,1.153635
90,2688,-1.04,0,hole,39,1.16073
91,2707,-0.99,0,hole,19,1.164528
92,2751,-1.09,0,hole,44,1.172137
93,2845,-1.74,0,hole,94,1.191735
94,2876,-0.96,0,hole,31,1.19672
95,2892,-0.96,0,hole,16,1.199544
96,2913,-1.01,0,hole,21,1.203547
97,2927,-0.94,0,hole,14,1.205915
98,2934,-0.87,0,hole,7,1.20787
99,2943,-0.89,0,hole,9,1.209316
100,2973,-1.1,0,hole,30,1.215692
101,3002,-1.09,0,hole,29,1.221101
102,3018,-0.76,0,hole,16,1.224564
103,3026,-0.73,0,hole,8,1.226309
104,3039,-0.73,0,hole,13,1.228545
105,3126,-1.67,0,hole,87,1.24664
106,3130,-0.84,0,hole,4,1.247354
107,3158,-0.93,0,hole,28,1.252308
108,3223,-1.3,0,hole,65,1.264405
109,3242,-0.99,0,hole,19,1.268271
110,3269,-0.82,0,hole,27,1.274353
111,3286,-0.77,0,hole,17,1.277428
112,3298,-0.92,0,hole,12,1.279706
113,3305,-0.87,0,hole,7,1.281192
114,3363,-1.23,0,hole,58,1.292756
115,3400,-1.17,0,hole,37,1.299617
116,3411,-0.91,0,hole,11,1.302008
117,3430,-0.84,0,hole,19,1.305544
118,3493,-1.23,0,hole,63,1.317874
119,3513,-1.0,0,hole,20,1.32142
120,3527,-0.79,0,hole,14,1.323767
121,3538,-0.91,0,hole,11,1.326657
122,3551,-0.78,0,hole,13,1.328764
123,3605,-1.19,0,hole,54,1.339045
124,3634,-0.94,0,hole,29,1.345328
125,3654,-0.85,0,hole,20,1.348978
126,3690,-1.01,0,hole,36,1.355706
127,3713,-1.03,0,hole,23,1.361057
128,3717,-0.84,0,hole,4,1.361784
129,3748,-1.11,0,hole,31,1.367138
130,3761,-0.78,0,hole,13,1.369942
