episode,timesteps,reward,success,outcome,steps,wall_time_s
1,4,-0.84,0,hole,4,0.001439
2,28,-1.04,0,hole,24,0.002135
3,36,-0.68,0,hole,8,0.002373
4,70,-0.94,0,hole,34,0.003286
5,106,-1.01,0,hole,36,0.005717
6,180,-1.54,0,hole,74,0.01865
7,196,-0.71,0,hole,16,0.021246
8,203,-0.87,0,hole,7,0.022942
9,232,-0.94,0,hole,29,0.029007
10,252,-1.0,0,hole,20,0.032775
11,271,1.51,1,success,19,0.036236
12,290,-0.84,0,hole,19,0.039537
13,297,-0.87,0,hole,7,0.040996
14,307,-0.9,0,hole,10,0.042779
15,351,-1.24,0,hole,44,0.050957
16,362,-0.91,0,hole,11,0.05293
17,381,-0.99,0,hole,19,0.05628
18,395,-0.94,0,hole,14,0.058302
19,404,-0.89,0,hole,9,0.060196
20,426,-0.87,0,hole,22,0.065145
21,432,-0.86,0,hole,6,0.066053
22,441,-0.74,0,hole,9,0.068133
23,517,-1.56,0,hole,76,0.083579
24,559,-1.22,0,hole,42,0.09038
25,578,-0.99,0,hole,19,0.094429
26,582,-0.84,0,hole,4,0.095183
27,612,-1.1,0,hole,30,0.10048
28,624,-0.92,0,hole,12,0.102488
29,632,-0.88,0,hole,8,0.103997
30,672,-1.2,0,hole,40,0.111071
31,717,-1.1,0,hole,45,0.119927
32,766,-1.14,0,hole,49,0.128444
33,777,-0.76,0,hole,11,0.130677
34,784,-0.87,0,hole,7,0.131461
35,804,-1.0,0,hole,20,0.13517
36,860,-1.21,0,hole,56,0.145211
37,944,-1.64,0,hole,84,0.159932
38,989,-1.25,0,hole,45,0.169071
39,1007,-0.98,0,hole,18,0.172484
40,1046,-0.94,0,hole,39,0.179489
41,1088,-1.22,0,hole,42,0.186538
42,1124,1.34,1,success,36,0.192964
43,1178,-1.34,0,hole,54,0.202694
44,1206,-1.08,0,hole,28,0.207688
45,1219,-0.78,0,hole,13,0.209892
46,1230,-0.71,0,hole,11,0.212239
47,1288,-1.23,0,hole,58,0.222244
48,1323,-1.15,0,hole,35,0.230336
49,1349,-0.91,0,hole,26,0.235016
50,1361,-0.92,0,hole,12,0.237096
51,1479,-1.78,0,hole,118,0.258453
52,1512,-1.13,0,hole,33,0.265105
53,1526,-0.94,0,hole,14,0.268168
54,1533,-0.87,0,hole,7,0.269503
55,1537,-0.84,0,hole,4,0.270205
56,1586,-1.29,0,hole,49,0.280436
57,1624,-1.03,0,hole,38,0.287605
58,1701,-1.57,0,hole,77,0.302577
59,1722,-0.86,0,hole,21,0.306203
60,1769,-1.27,0,hole,47,0.31457
61,1793,-0.89,0,hole,24,0.318737
62,1831,-1.18,0,hole,38,0.325369
63,1839,-0.88,0,hole,8,0.327552
64,1870,-0.96,0,hole,31,0.333191
65,1887,-0.97,0,hole,17,0.336157
66,1912,-1.05,0,hole,25,0.341039
67,1972,-1.4,0,hole,60,0.352863
68,2034,-1.42,0,hole,62,0.364775
69,2046,-0.92,0,hole,12,0.367008
70,2099,-1.18,0,hole,53,0.376425
71,2114,-0.95,0,hole,15,0.380291
72,2124,-0.9,0,hole,10,0.381693
73,2132,-0.88,0,hole,8,0.38327
74,2210,-1.58,0,hole,78,0.399144
75,2220,-0.9,0,hole,10,0.400629
76,2242,-0.87,0,hole,22,0.404768
77,2274,-0.97,0,hole,32,0.410199
78,2302,-0.93,0,hole,28,0.416774
79,2321,-0.84,0,hole,19,0.420335
80,2329,-0.88,0,hole,8,0.422536
81,2349,-0.85,0,hole,20,0.426343
82,2383,-0.94,0,hole,34,0.433151
83,2443,-1.25,0,hole,60,0.444481
84,2505,-1.42,0,hole,62,0.456555
85,2524,-0.99,0,hole,19,0.459698
86,2552,-0.83,0,hole,28,0.465247
87,2567,-0.95,0,hole,15,0.468025
88,2607,-1.05,0,hole,40,0.475206
89,2627,-1.0,0,hole,20,0.480362
90,2643,-0.81,0,hole,16,0.483556
91,2654,-0.76,0,hole,11,0.48567
92,2679,-0.85,0,hole,25,0.4899
93,2707,-1.08,0,hole,28,0.495901
94,2728,-1.01,0,hole,21,0.500132
95,2928,-1.95,0,timeout,200,0.537338
96,2958,-0.95,0,hole,30,0.542764
97,2976,-0.78,0,hole,18,0.546328
98,2992,-0.96,0,hole,16,0.549664
99,3028,-1.16,0,hole,36,0.556828
100,3036,-0.88,0,hole,8,0.558152
101,3055,-0.99,0,hole,19,0.562397
102,3076,-0.86,0,hole,21,0.566069
103,3143,-1.32,0,hole,67,0.579346
104,3176,-1.13,0,hole,33,0.584978
105,3234,-1.23,0,hole,58,0.596878
106,3262,-1.08,0,hole,28,0.60196
107,3289,-0.92,0,hole,27,0.606907
108,3321,-0.97,0,hole,32,0.613373
109,3336,-0.95,0,hole,15,0.615959
110,3387,-1.31,0,hole,51,0.626437
111,3448,-1.41,0,hole,61,0.638497
112,3558,-1.75,0,hole,110,0.659081
113,3599,-1.21,0,hole,41,0.666325
114,3670,-1.36,0,hole,71,0.681662
115,3694,-1.04,0,hole,24,0.686026
116,3736,-1.07,0,hole,42,0.693997
117,3802,-1.31,0,hole,66,0.707325
118,3835,-0.93,0,hole,33,0.714133
119,3892,-1.37,0,hole,57,0.724125
120,3917,-1.05,0,hole,25,0.729902
121,3934,-0.97,0,hole,17,0.733151
122,3976,-1.07,0,hole,42,0.740705
123,3989,-0.93,0,hole,13,0.743467
124,4018,-1.09,0,hole,29,0.750078
125,4093,-1.55,0,hole,75,0.765741
126,4175,-1.47,0,hole,82,0.780894
127,4238,-1.43,0,hole,63,0.793741
128,4261,-0.88,0,hole,23,0.79818
129,4273,-0.92,0,hole,12,0.800546
130,4306,1.37,1,success,33,0.806927
131,4328,-0.87,0,hole,22,0.811252
132,4351,-1.03,0,hole,23,0.816345
133,4363,-0.92,0,hole,12,0.818683
134,4406,-1.08,0,hole,43,0.828765
135,4421,-0.95,0,hole,15,0.832168
136,4454,-0.98,0,hole,33,0.838181
137,4464,-0.9,0,hole,10,0.839891
138,4494,-1.1,0,hole,30,0.846435
139,4517,-1.03,0,hole,23,0.851615
140,4567,-1.3,0,hole,50,0.860954
141,4579,-0.92,0,hole,12,0.863995
142,4598,-0.84,0,hole,19,0.867319
143,4622,-0.89,0,hole,24,0.872563
144,4665,-1.23,0,hole,43,0.882536
145,4685,-0.85,0,hole,20,0.886416
146,4693,-0.88,0,hole,8,0.888086
147,4724,-1.11,0,hole,31,0.89447
148,4739,-0.95,0,hole,15,0.897879
149,4803,-1.44,0,hole,64,0.909622
150,4825,-1.02,0,hole,22,0.915084
151,4834,-0.89,0,hole,9,0.916537
152,4870,-1.01,0,hole,36,0.922609
153,4893,-1.03,0,hole,23,0.92724
154,4897,-0.84,0,hole,4,0.9283
155,4960,-1.28,0,hole,63,0.940247
156,4999,-1.04,0,hole,39,0.948594
157,5035,-1.01,0,hole,36,0.956115
158,5060,-1.05,0,hole,25,0.960861
159,5102,-1.22,0,hole,42,0.970273
160,5120,-0.98,0,hole,18,0.973244
161,5139,-0.84,0,hole,19,0.977057
162,5165,-0.81,0,hole,26,0.982883
163,5213,-1.13,0,hole,48,0.992057
164,5283,-1.35,0,hole,70,1.004884
165,5310,-1.07,0,hole,27,1.010768
166,5335,-0.9,0,hole,25,1.016002
167,5355,-1.0,0,hole,20,1.01992
168,5422,-1.32,0,hole,67,1.034402
169,5452,-1.1,0,hole,30,1.039733
170,5456,-0.84,0,hole,4,1.04041
171,5470,-0.79,0,hole,14,1.043875
172,5483,-0.78,0,hole,13,1.047058
173,5487,-0.84,0,hole,4,1.048102
174,5552,-1.3,0,hole,65,1.061168
175,5586,-1.14,0,hole,34,1.068544
176,5646,-1.2,0,hole,60,1.080832
177,5669,-1.03,0,hole,23,1.08586
178,5695,-1.06,0,hole,26,1.090891
179,5716,-0.86,0,hole,21,1.095975
180,5765,-1.29,0,hole,49,1.106087
181,5776,-0.76,0,hole,11,1.108074
182,5792,-0.96,0,hole,16,1.111013
183,5801,-0.89,0,hole,9,1.113655
184,5821,-0.85,0,hole,20,1.117449
185,5829,-0.73,0,hole,8,1.119152
186,5872,-1.08,0,hole,43,1.126733
187,5880,-0.73,0,hole,8,1.128941
188,5885,-0.85,0,hole,5,1.130391
189,5905,-0.85,0,hole,20,1.134927
190,5936,-1.11,0,hole,31,1.140074
191,5954,-0.78,0,hole,18,1.143573
192,5979,-1.05,0,hole,25,1.149113
193,6040,-1.41,0,hole,61,1.162118
194,6064,-0.79,0,hole,24,1.167067
195,6071,-0.87,0,hole,7,1.168571
196,6094,-0.88,0,hole,23,1.173057
197,6108,-0.94,0,hole,14,1.17604
198,6131,-1.03,0,hole,23,1.181087
199,6146,-0.95,0,hole,15,1.183945
200,6182,-1.16,0,hole,36,1.19058
201,6198,-0.96,0,hole,16,1.193575
202,6228,-1.1,0,hole,30,1.200429
203,6232,-0.84,0,hole,4,1.201366
204,6261,-0.89,0,hole,29,1.207345
205,6290,-1.09,0,hole,29,1.213603
206,6351,-1.26,0,hole,61,1.226209
207,6356,-0.85,0,hole,5,1.227166
208,6392,-1.01,0,hole,36,1.235821
209,6409,-0.97,0,hole,17,1.240016
210,6418,-0.89,0,hole,9,1.241537
211,6441,-0.88,0,hole,23,1.246819
212,6473,-1.12,0,hole,32,1.252666
213,6522,-1.14,0,hole,49,1.263705
214,6575,-1.33,0,hole,53,1.273683
215,6589,-0.94,0,hole,14,1.276612
216,6654,-1.45,0,hole,65,1.290314
217,6671,-0.82,0,hole,17,1.293337
218,6730,-1.24,0,hole,59,1.305626
219,6819,-1.69,0,hole,89,1.32366
220,6830,-0.91,0,hole,11,1.325984
221,6846,-0.96,0,hole,16,1.329662
222,6863,-0.82,0,hole,17,1.332972
223,6877,-0.94,0,hole,14,1.335938
224,6884,-0.72,0,hole,7,1.336782
225,6910,-1.06,0,hole,26,1.342769
226,6939,-1.09,0,hole,29,1.348456
227,6957,-0.98,0,hole,18,1.35258
228,6984,-0.92,0,hole,27,1.357609
229,7031,-1.07,0,hole,47,1.368484
230,7051,-1.0,0,hole,20,1.372262
231,7115,-1.29,0,hole,64,1.385484
232,7175,-1.25,0,hole,60,1.397322
233,7284,-1.69,0,hole,109,1.420199
234,7325,-1.06,0,hole,41,1.429256
235,7340,-0.8,0,hole,15,1.432243
236,7346,-0.86,0,hole,6,1.433866
237,7371,-1.05,0,hole,25,1.438809
238,7397,-1.06,0,hole,26,1.445234
239,7467,-1.35,0,hole,70,1.459222
240,7476,-0.89,0,hole,9,1.461112
241,7493,-0.97,0,hole,17,1.465203
242,7525,-0.92,0,hole,32,1.472214
243,7568,-1.23,0,hole,43,1.481249
244,7583,-0.95,0,hole,15,1.484949
245,7599,-0.96,0,hole,16,1.488344
246,7631,-1.12,0,hole,32,1.495952
247,7639,-0.88,0,hole,8,1.497641
248,7654,-0.8,0,hole,15,1.50046
249,7684,-0.9,0,hole,30,1.506306
250,7695,-0.91,0,hole,11,1.508745
251,7744,1.21,1,success,49,1.519578
252,7764,-0.85,0,hole,20,1.523559
253,7785,-0.86,0,hole,21,1.528484
254,7800,-0.95,0,hole,15,1.531114
255,7816,-0.81,0,hole,16,1.534569
256,7871,-1.2,0,hole,55,1.545545
257,7879,-0.88,0,hole,8,1.547328
258,7928,-1.09,0,hole,49,1.557035
259,7941,-0.93,0,hole,13,1.560181
260,8001,-1.25,0,hole,60,1.573234
261,8025,-0.79,0,hole,24,1.578338
262,8120,-1.75,0,hole,95,1.598069
263,8150,-0.95,0,hole,30,1.60391
264,8190,1.3,1,success,40,1.61312
265,8200,-0.9,0,hole,10,1.615051
266,8209,-0.89,0,hole,9,1.617586
267,8221,-0.72,0,hole,12,1.619915
268,8227,-0.86,0,hole,6,1.620921
269,8233,-0.86,0,hole,6,1.622384
270,8252,-0.84,0,hole,19,1.625613
271,8272,-1.0,0,hole,20,1.630916
