episode,timesteps,reward,success,outcome,steps,wall_time_s
1,7,-0.87,0,hole,7,0.001772
2,79,-1.37,0,hole,72,0.003984
3,92,-0.78,0,hole,13,0.004367
4,110,-0.83,0,hole,18,0.007215
5,120,-0.75,0,hole,10,0.0091
6,170,-1.3,0,hole,50,0.020396
7,197,-0.87,0,hole,27,0.026723
8,224,-0.92,0,hole,27,0.03261
9,239,-0.8,0,hole,15,0.036432
10,265,-0.86,0,hole,26,0.042076
11,283,-0.83,0,hole,18,0.04568
12,302,-0.84,0,hole,19,0.050311
13,327,-1.05,0,hole,25,0.055264
14,348,-0.76,0,hole,21,0.059453
15,410,-1.27,0,hole,62,0.073961
16,422,-0.92,0,hole,12,0.076396
17,445,-0.88,0,hole,23,0.081203
18,462,-0.97,0,hole,17,0.084751
19,495,-0.98,0,hole,33,0.091531
20,551,-1.36,0,hole,56,0.103857
21,585,-1.14,0,hole,34,0.111636
22,612,-1.07,0,hole,27,0.116794
23,696,-1.64,0,hole,84,0.134993
24,712,-0.76,0,hole,16,0.138588
25,779,-1.47,0,hole,67,0.153809
26,798,-0.84,0,hole,19,0.158005
27,815,-0.97,0,hole,17,0.161598
28,850,-1.0,0,hole,35,0.169299
29,857,-0.72,0,hole,7,0.17112
30,868,-0.66,0,hole,11,0.173569
31,913,-1.1,0,hole,45,0.183664
32,999,-1.51,0,hole,86,0.203212
33,1014,-0.8,0,hole,15,0.207524
34,1038,-0.79,0,hole,24,0.212976
35,1075,-1.02,0,hole,37,0.222857
36,1093,-0.78,0,hole,18,0.226935
37,1110,-0.82,0,hole,17,0.231692
38,1129,-0.99,0,hole,19,0.238587
39,1172,-1.08,0,hole,43,0.248278
40,1207,-1.0,0,hole,35,0.258226
41,1407,-1.95,0,timeout,200,0.307392
42,1428,-0.86,0,hole,21,0.311885
43,1522,-1.59,0,hole,94,0.333614
44,1548,-0.91,0,hole,26,0.339438
45,1579,-0.96,0,hole,31,0.346196
46,1587,-0.88,0,hole,8,0.348148
47,1646,-1.39,0,hole,59,0.381545
48,1683,-1.02,0,hole,37,0.389972
49,1713,-1.1,0,hole,30,0.397438
50,1776,-1.23,0,hole,63,0.412113
51,1811,-1.0,0,hole,35,0.420789
52,1839,-0.88,0,hole,28,0.430012
53,1904,-1.45,0,hole,65,0.45047
54,2047,-2.03,0,hole,143,0.482528
55,2153,-1.86,0,hole,106,0.505224
56,2206,1.17,1,success,53,0.515882
57,2223,-0.82,0,hole,17,0.519327
58,2273,-1.15,0,hole,50,0.529803
59,2296,-0.78,0,hole,23,0.534256
60,2312,-0.96,0,hole,16,0.538572
61,2339,-1.07,0,hole,27,0.544494
62,2437,-1.63,0,hole,98,0.565813
63,2455,-0.78,0,hole,18,0.570001
64,2488,-0.98,0,hole,33,0.577356
65,2498,-0.75,0,hole,10,0.579809
66,2556,-1.23,0,hole,58,0.592648
67,2591,-1.0,0,hole,35,0.599714
68,2626,-0.95,0,hole,35,0.608106
69,2631,-0.85,0,hole,5,0.609047
70,2636,-0.85,0,hole,5,0.609987
71,2728,-1.57,0,hole,92,0.631685
72,2799,-1.36,0,hole,71,0.64684
73,2832,-1.13,0,hole,33,0.65447
74,2865,-0.98,0,hole,33,0.661892
75,2969,-1.64,0,hole,104,0.684922
76,2991,-1.02,0,hole,22,0.689893
77,3057,-1.21,0,hole,66,0.705503
78,3074,-0.97,0,hole,17,0.708996
79,3141,-1.32,0,hole,67,0.723475
80,3219,-1.58,0,hole,78,0.73903
81,3260,-1.01,0,hole,41,0.747389
82,3293,-0.98,0,hole,33,0.755991
83,3315,-0.87,0,hole,22,0.761015
84,3392,-1.42,0,hole,77,0.777021
85,3396,-0.84,0,hole,4,0.777936
86,3434,-1.03,0,hole,38,0.787714
87,3461,-1.07,0,hole,27,0.793489
88,3507,-1.11,0,hole,46,0.80387
89,3542,-1.15,0,hole,35,0.811228
90,3645,-1.68,0,hole,103,0.834722
91,3768,-1.88,0,hole,123,0.862001
92,3810,-0.97,0,hole,42,0.871779
93,3911,-1.81,0,hole,101,0.894452
94,3932,-1.01,0,hole,21,0.898586
95,3982,-1.15,0,hole,50,0.909541
96,4014,-0.92,0,hole,32,0.91688
97,4026,-0.92,0,hole,12,0.919685
98,4050,-0.79,0,hole,24,0.924539
99,4108,-1.23,0,hole,58,0.937222
100,4133,-0.9,0,hole,25,0.942794
101,4228,0.75,1,success,95,0.96381
102,4250,-0.87,0,hole,22,0.969183
103,4270,-1.0,0,hole,20,0.974007
104,4383,-1.93,0,hole,113,0.997969
105,4522,-2.19,0,hole,139,1.047862
106,4548,-0.91,0,hole,26,1.086449
107,4569,-0.86,0,hole,21,1.094956
