episode,timesteps,reward,success,outcome,steps,wall_time_s
1,25,-0.9,0,hole,25,0.002203
2,40,-0.8,0,hole,15,0.002612
3,46,-0.86,0,hole,6,0.002817
4,62,-0.81,0,hole,16,0.003248
5,96,-1.14,0,hole,34,0.004442
6,111,-0.95,0,hole,15,0.007867
7,133,-0.87,0,hole,22,0.012788
8,151,-0.83,0,hole,18,0.015893
9,162,-0.91,0,hole,11,0.018114
10,172,-0.75,0,hole,10,0.019723
11,176,-0.84,0,hole,4,0.020801
12,211,-1.0,0,hole,35,0.029291
13,236,-0.9,0,hole,25,0.034783
14,269,-0.98,0,hole,33,0.043008
15,276,-0.87,0,hole,7,0.04412
16,307,-0.91,0,hole,31,0.051722
17,331,-1.04,0,hole,24,0.058476
18,346,-0.8,0,hole,15,0.062209
19,375,-0.94,0,hole,29,0.06796
20,401,-1.06,0,hole,26,0.074427
21,431,-1.1,0,hole,30,0.080474
22,459,-1.08,0,hole,28,0.086291
23,497,-0.98,0,hole,38,0.095124
24,538,-1.06,0,hole,41,0.104836
25,599,-1.26,0,hole,61,0.117117
26,612,-0.93,0,hole,13,0.120181
27,646,-1.14,0,hole,34,0.127999
28,662,-0.81,0,hole,16,0.130857
29,675,-0.78,0,hole,13,0.133838
30,693,-0.98,0,hole,18,0.138532
31,739,-1.11,0,hole,46,0.147783
32,756,-0.82,0,hole,17,0.150905
33,788,-0.97,0,hole,32,0.158088
34,801,-0.93,0,hole,13,0.161471
35,918,-1.82,0,hole,117,0.185032
36,944,-0.91,0,hole,26,0.190231
37,1002,-1.38,0,hole,58,0.202984
38,1051,-1.29,0,hole,49,0.214247
39,1072,-0.76,0,hole,21,0.218101
40,1101,-1.09,0,hole,29,0.225131
41,1123,-0.82,0,hole,22,0.229192
42,1170,-1.27,0,hole,47,0.239307
43,1370,-1.75,0,timeout,200,0.280454
44,1492,-2.02,0,hole,122,0.306254
45,1516,-1.04,0,hole,24,0.311765
46,1533,-0.97,0,hole,17,0.315986
47,1569,-1.16,0,hole,36,0.324063
48,1600,-0.96,0,hole,31,0.329945
49,1703,-1.68,0,hole,103,0.352329
50,1733,-0.95,0,hole,30,0.362104
51,1740,-0.87,0,hole,7,0.363193
