episode,timesteps,reward,success,outcome,steps,wall_time_s
1,22,-0.87,0,hole,22,0.002438
2,48,-1.06,0,hole,26,0.003154
3,58,-0.9,0,hole,10,0.003464
4,126,-1.33,0,hole,68,0.011055
5,152,-0.81,0,hole,26,0.016238
6,167,-0.95,0,hole,15,0.019703
7,185,-0.83,0,hole,18,0.024153
8,215,-0.95,0,hole,30,0.03091
9,229,-0.79,0,hole,14,0.034019
10,253,-0.89,0,hole,24,0.039137
11,263,-0.9,0,hole,10,0.041675
12,307,-1.09,0,hole,44,0.05082
13,317,-0.65,0,hole,10,0.053157
14,332,-0.95,0,hole,15,0.055861
15,352,-0.85,0,hole,20,0.060688
16,366,-0.94,0,hole,14,0.063893
17,394,-0.93,0,hole,28,0.07049
18,409,-0.95,0,hole,15,0.074919
19,421,-0.77,0,hole,12,0.077542
20,437,-0.96,0,hole,16,0.080893
21,462,-0.9,0,hole,25,0.086088
22,477,-0.95,0,hole,15,0.089168
23,508,-0.96,0,hole,31,0.096543
24,524,-0.81,0,hole,16,0.099704
25,535,-0.91,0,hole,11,0.102396
26,541,-0.86,0,hole,6,0.104003
27,571,-0.9,0,hole,30,0.110999
28,589,-0.78,0,hole,18,0.115528
29,615,-0.91,0,hole,26,0.121225
30,665,-1.1,0,hole,50,0.133197
31,702,-1.02,0,hole,37,0.141451
32,729,-0.92,0,hole,27,0.147466
33,801,-1.37,0,hole,72,0.163583
34,812,-0.76,0,hole,11,0.165458
35,847,-0.95,0,hole,35,0.172344
36,875,-0.93,0,hole,28,0.178953
37,912,-1.02,0,hole,37,0.187169
38,938,-0.91,0,hole,26,0.193597
39,959,-0.86,0,hole,21,0.197778
40,987,-0.93,0,hole,28,0.203204
41,1025,-1.03,0,hole,38,0.21257
42,1056,-0.96,0,hole,31,0.218829
43,1065,-0.74,0,hole,9,0.221282
44,1119,-1.19,0,hole,54,0.23294
45,1189,-1.35,0,hole,70,0.249206
46,1230,-1.01,0,hole,41,0.259051
47,1390,-2.2,0,hole,160,0.292937
48,1422,-0.97,0,hole,32,0.300367
49,1449,-0.87,0,hole,27,0.30636
50,1475,-1.06,0,hole,26,0.31209
51,1533,-1.38,0,hole,58,0.326148
52,1550,-0.97,0,hole,17,0.329418
53,1633,-1.48,0,hole,83,0.350081
54,1677,-1.04,0,hole,44,0.36057
55,1789,-1.77,0,hole,112,0.385189
56,1977,-2.68,0,hole,188,0.424288
57,2083,-1.86,0,hole,106,0.448246
58,2092,-0.74,0,hole,9,0.449928
59,2155,-1.43,0,hole,63,0.464009
60,2191,-0.96,0,hole,36,0.471362
61,2201,-0.75,0,hole,10,0.474729
62,2226,-0.9,0,hole,25,0.479799
63,2261,-0.95,0,hole,35,0.486617
64,2289,-0.88,0,hole,28,0.493162
65,2346,-1.37,0,hole,57,0.506027
66,2376,-1.1,0,hole,30,0.512765
67,2420,-1.09,0,hole,44,0.523249
68,2482,-1.42,0,hole,62,0.536249
69,2682,-1.95,0,timeout,200,0.58021
70,2725,-1.08,0,hole,43,0.589423
71,2735,-0.9,0,hole,10,0.591434
72,2751,-0.96,0,hole,16,0.594629
73,2851,-1.8,0,hole,100,0.617418
74,2957,-1.86,0,hole,106,0.640409
75,2986,-1.09,0,hole,29,0.646374
76,3144,-2.23,0,hole,158,0.681855
77,3229,-1.65,0,hole,85,0.699826
78,3304,-1.55,0,hole,75,0.716934
79,3321,-0.97,0,hole,17,0.721259
80,3363,-1.07,0,hole,42,0.730819
81,3408,-1.1,0,hole,45,0.740669
82,3569,-2.41,0,hole,161,0.776598
83,3629,-1.25,0,hole,60,0.788999
84,3703,-1.54,0,hole,74,0.804528
85,3742,-0.99,0,hole,39,0.813724
86,3763,-1.01,0,hole,21,0.818498
87,3797,-1.14,0,hole,34,0.827091
88,3844,-1.07,0,hole,47,0.83672
89,3878,-1.14,0,hole,34,0.844744
90,3916,-1.03,0,hole,38,0.853042
91,4067,-2.31,0,hole,151,0.886189
92,4074,-0.87,0,hole,7,0.887743
93,4219,-2.1,0,hole,145,0.940308
94,4298,-1.44,0,hole,79,1.004825
95,4352,-1.34,0,hole,54,1.01739
96,4403,-1.31,0,hole,51,1.028284
97,4603,-1.95,0,timeout,200,1.072426
98,4687,-1.39,0,hole,84,1.089626
99,4765,-1.58,0,hole,78,1.106124
100,4783,-0.73,0,hole,18,1.109671
101,4791,-0.88,0,hole,8,1.111417
102,4840,-1.09,0,hole,49,1.123047
103,5009,-2.49,0,hole,169,1.163068
104,5054,-1.05,0,hole,45,1.172379
105,5145,-1.71,0,hole,91,1.192696
106,5198,-1.18,0,hole,53,1.203772
107,5345,-2.12,0,hole,147,1.236599
108,5414,-1.49,0,hole,69,1.251028
109,5482,-1.33,0,hole,68,1.26591
110,5492,-0.75,0,hole,10,1.26783
111,5505,-0.78,0,hole,13,1.271425
112,5524,-0.99,0,hole,19,1.275791
113,5537,-0.93,0,hole,13,1.279237
114,5596,-1.39,0,hole,59,1.293431
115,5788,-2.72,0,hole,192,1.336221
116,5842,-1.34,0,hole,54,1.348287
117,5854,-0.77,0,hole,12,1.350847
118,5861,-0.87,0,hole,7,1.352225
119,5909,-1.13,0,hole,48,1.363962
120,6044,-2.0,0,hole,135,1.393404
121,6072,-0.93,0,hole,28,1.399136
122,6129,-1.22,0,hole,57,1.412652
123,6177,-1.13,0,hole,48,1.422617
124,6202,-0.9,0,hole,25,1.428224
125,6251,-1.14,0,hole,49,1.438568
126,6451,-1.65,0,timeout,200,1.484987
127,6505,-1.14,0,hole,54,1.497621
128,6591,-1.51,0,hole,86,1.516102
129,6629,-1.18,0,hole,38,1.525858
130,6656,-0.92,0,hole,27,1.531711
131,6677,-1.01,0,hole,21,1.536812
132,6724,-1.12,0,hole,47,1.547863
133,6821,-1.62,0,hole,97,1.569505
134,6894,-1.53,0,hole,73,1.586313
135,6922,-0.93,0,hole,28,1.593109
136,6966,-1.24,0,hole,44,1.6026
137,7000,-0.89,0,hole,34,1.609802
138,7085,-1.5,0,hole,85,1.630493
139,7108,-1.03,0,hole,23,1.635384
140,7126,-0.83,0,hole,18,1.639573
141,7326,-2.0,0,timeout,200,1.686194
142,7349,-0.88,0,hole,23,1.691367
143,7481,-1.97,0,hole,132,1.720762
144,7589,-1.73,0,hole,108,1.745988
145,7742,-2.18,0,hole,153,1.783263
146,7942,-2.0,0,timeout,200,1.827986
147,7988,-1.26,0,hole,46,1.837665
148,8017,-0.94,0,hole,29,1.845109
149,8089,-1.37,0,hole,72,1.861818
150,8111,-1.02,0,hole,22,1.866661
151,8144,-1.13,0,hole,33,1.874465
152,8185,-1.06,0,hole,41,1.883649
153,8265,-1.6,0,hole,80,1.901003
154,8297,-0.92,0,hole,32,1.908562
155,8359,-1.42,0,hole,62,1.922226
156,8407,-1.13,0,hole,48,1.934136
157,8448,-0.96,0,hole,41,1.944323
158,8453,-0.85,0,hole,5,1.945898
159,8646,-2.53,0,hole,193,1.990645
160,8719,-1.28,0,hole,73,2.007843
161,8745,-0.86,0,hole,26,2.013842
162,8802,-1.37,0,hole,57,2.027547
163,8913,-1.76,0,hole,111,2.052684
164,8974,-1.16,0,hole,61,2.066856
165,8997,-0.88,0,hole,23,2.07234
166,9014,-0.82,0,hole,17,2.076553
167,9024,-0.9,0,hole,10,2.078145
168,9050,-0.91,0,hole,26,2.083953
169,9072,-1.02,0,hole,22,2.088158
170,9138,-1.46,0,hole,66,2.104282
171,9229,-1.71,0,hole,91,2.12631
172,9326,-1.62,0,hole,97,2.148741
173,9366,-1.0,0,hole,40,2.157942
174,9442,-1.36,0,hole,76,2.175063
175,9564,-1.77,0,hole,122,2.202987
176,9614,-1.15,0,hole,50,2.215096
177,9670,-1.16,0,hole,56,2.227818
178,9763,-1.53,0,hole,93,2.24848
179,9782,-0.99,0,hole,19,2.252555
180,9838,-1.21,0,hole,56,2.265248
181,9909,-1.36,0,hole,71,2.282862
182,9971,-1.42,0,hole,62,2.296935
183,9995,-1.04,0,hole,24,2.302227
184,10095,-1.55,0,hole,100,2.324223
185,10115,-1.0,0,hole,20,2.329832
186,10162,-1.12,0,hole,47,2.341709
187,10173,-0.91,0,hole,11,2.344585
188,10256,-1.48,0,hole,83,2.362937
189,10280,-1.04,0,hole,24,2.368278
190,10323,-0.98,0,hole,43,2.379425
191,10388,-1.45,0,hole,65,2.393816
192,10440,-1.17,0,hole,52,2.405566
193,10517,-1.32,0,hole,77,2.424446
194,10551,-0.89,0,hole,34,2.431811
195,10579,-0.88,0,hole,28,2.43755
196,10642,-1.43,0,hole,63,2.452396
197,10650,-0.88,0,hole,8,2.454209
198,10671,-0.86,0,hole,21,2.459353
199,10840,0.01,1,success,169,2.499119
200,10875,-1.0,0,hole,35,2.507394
201,10913,-1.03,0,hole,38,2.516946
202,10934,-0.86,0,hole,21,2.521292
203,11013,-1.44,0,hole,79,2.54118
204,11065,-1.17,0,hole,52,2.55284
205,11265,-1.55,0,timeout,200,2.59915
206,11343,-1.43,0,hole,78,2.616981
207,11385,-1.02,0,hole,42,2.626438
208,11504,-1.84,0,hole,119,2.653225
209,11633,0.41,1,success,129,2.685525
210,11645,-0.77,0,hole,12,2.68862
211,11687,-1.07,0,hole,42,2.698716
212,11739,-1.12,0,hole,52,2.710431
213,11758,-0.99,0,hole,19,2.715449
214,11798,-1.05,0,hole,40,2.725566
215,11870,-1.37,0,hole,72,2.743207
216,11882,-0.92,0,hole,12,2.74588
217,11933,-1.06,0,hole,51,2.758633
218,11946,-0.78,0,hole,13,2.761675
219,12013,-1.32,0,hole,67,2.777257
220,12042,-0.94,0,hole,29,2.783433
221,12080,-1.03,0,hole,38,2.791867
222,12160,-1.35,0,hole,80,2.810677
223,12190,-0.95,0,hole,30,2.817559
224,12220,1.4,1,success,30,2.824626
225,12253,-1.13,0,hole,33,2.832418
226,12274,-0.86,0,hole,21,2.837292
227,12336,-1.27,0,hole,62,2.852057
228,12351,-0.95,0,hole,15,2.855446
229,12379,-0.88,0,hole,28,2.862198
230,12396,-0.77,0,hole,17,2.865937
231,12556,-2.4,0,hole,160,2.904395
232,12675,-1.99,0,hole,119,2.931587
233,12839,-2.29,0,hole,164,2.970744
234,12910,-1.31,0,hole,71,2.986901
235,13110,-1.85,0,timeout,200,3.033352
236,13160,-1.1,0,hole,50,3.044396
237,13306,-2.01,0,hole,146,3.079441
238,13314,-0.88,0,hole,8,3.081264
239,13485,-2.51,0,hole,171,3.122452
240,13552,-1.32,0,hole,67,3.138478
241,13568,-0.81,0,hole,16,3.14262
242,13608,-1.2,0,hole,40,3.152209
243,13644,-1.01,0,hole,36,3.161134
244,13666,-0.87,0,hole,22,3.166361
245,13735,-1.24,0,hole,69,3.18283
246,13793,1.12,1,success,58,3.196538
247,13950,-2.22,0,hole,157,3.2337
248,13996,1.24,1,success,46,3.244231
249,14025,-1.09,0,hole,29,3.251571
250,14102,-1.57,0,hole,77,3.270164
251,14128,-0.91,0,hole,26,3.276378
252,14183,-1.2,0,hole,55,3.288588
253,14230,-1.12,0,hole,47,3.301219
254,14285,-1.35,0,hole,55,3.314728
255,14320,-0.9,0,hole,35,3.322451
256,14417,-1.77,0,hole,97,3.346821
257,14475,-1.38,0,hole,58,3.360752
258,14497,-1.02,0,hole,22,3.366167
259,14615,-1.83,0,hole,118,3.39451
260,14798,-2.48,0,hole,183,3.437078
261,14856,-1.38,0,hole,58,3.450991
262,14941,-1.65,0,hole,85,3.471634
263,14951,-0.9,0,hole,10,3.47402
264,14978,-1.07,0,hole,27,3.480474
265,15150,-2.52,0,hole,172,3.523115
266,15259,-1.74,0,hole,109,3.548176
267,15307,-1.13,0,hole,48,3.559618
268,15412,-1.7,0,hole,105,3.583466
269,15423,-0.76,0,hole,11,3.58621
270,15523,-1.65,0,hole,100,3.610627
271,15623,-1.65,0,hole,100,3.634
272,15675,-1.17,0,hole,52,3.646596
273,15722,-1.12,0,hole,47,3.659998
274,15746,-0.89,0,hole,24,3.666146
275,15807,-1.21,0,hole,61,3.68071
276,15851,-1.09,0,hole,44,3.691952
277,15978,-1.92,0,hole,127,3.722384
278,16007,-0.84,0,hole,29,3.729868
279,16133,-1.91,0,hole,126,3.760588
280,16137,-0.84,0,hole,4,3.761508
281,16187,-1.15,0,hole,50,3.772882
282,16372,-0.15,1,success,185,3.816904
283,16432,1.1,1,success,60,3.83105
284,16444,-0.77,0,hole,12,3.833702
285,16497,1.17,1,success,53,3.846717
286,16575,0.92,1,success,78,3.8653
287,16649,-1.54,0,hole,74,3.88266
288,16685,-0.91,0,hole,36,3.890576
289,16885,-1.85,0,timeout,200,3.94009
290,16913,-1.08,0,hole,28,3.947544
291,16956,-1.08,0,hole,43,3.957939
292,16992,-1.01,0,hole,36,3.965881
293,17059,-1.32,0,hole,67,3.98201
294,17114,-1.2,0,hole,55,3.995502
295,17201,-1.52,0,hole,87,4.01603
296,17309,-1.68,0,hole,108,4.042062
297,17391,-1.47,0,hole,82,4.06172
298,17493,-1.67,0,hole,102,4.085494
299,17581,-1.48,0,hole,88,4.106361
300,17652,0.99,1,success,71,4.1227
301,17806,-2.14,0,hole,154,4.163
302,17842,-1.01,0,hole,36,4.171559
303,17866,-1.04,0,hole,24,4.177188
304,17942,-1.41,0,hole,76,4.19873
305,17973,-0.96,0,hole,31,4.206158
306,18016,-1.23,0,hole,43,4.216719
307,18064,1.22,1,success,48,4.228069
308,18094,-0.95,0,hole,30,4.235012
309,18186,0.78,1,success,92,4.257248
310,18233,-1.12,0,hole,47,4.269195
311,18268,-1.0,0,hole,35,4.277516
312,18319,-1.16,0,hole,51,4.290217
313,18365,1.24,1,success,46,4.302699
314,18464,0.71,1,success,99,4.326364
315,18540,0.94,1,success,76,4.344462
316,18586,-1.26,0,hole,46,4.356445
317,18677,0.79,1,success,91,4.379479
318,18744,1.03,1,success,67,4.395054
319,18783,1.31,1,success,39,4.403995
320,18829,1.24,1,success,46,4.415085
321,18849,-0.85,0,hole,20,4.420137
322,18952,0.67,1,success,103,4.444976
323,19000,-1.13,0,hole,48,4.456197
324,19032,1.38,1,success,32,4.464332
325,19046,-0.94,0,hole,14,4.468336
326,19161,-1.7,0,hole,115,4.496128
327,19300,-2.04,0,hole,139,4.53025
328,19318,-0.83,0,hole,18,4.53518
329,19367,1.21,1,success,49,4.547391
330,19418,-1.16,0,hole,51,4.561349
331,19455,1.33,1,success,37,4.569723
332,19514,1.11,1,success,59,4.584474
333,19533,-0.99,0,hole,19,4.58905
334,19587,-1.19,0,hole,54,4.601388
335,19629,-1.07,0,hole,42,4.612592
336,19684,-1.2,0,hole,55,4.625261
337,19713,1.41,1,success,29,4.633036
338,19783,-1.35,0,hole,70,4.649799
339,19829,1.24,1,success,46,4.662213
340,19843,-0.79,0,hole,14,4.665644
341,19880,-1.02,0,hole,37,4.674538
342,19898,-0.83,0,hole,18,4.679053
343,19972,-1.39,0,hole,74,4.698221
344,20031,1.11,1,success,59,4.714667
345,20095,-1.29,0,hole,64,4.730488
346,20116,-0.86,0,hole,21,4.735574
347,20133,-0.82,0,hole,17,4.74027
348,20146,-0.78,0,hole,13,4.744005
349,20179,-0.98,0,hole,33,4.752214
350,20379,-1.4,0,timeout,200,4.801735
351,20483,-1.69,0,hole,104,4.826881
352,20522,1.31,1,success,39,4.836664
353,20540,1.52,1,success,18,4.84084
354,20576,1.34,1,success,36,4.849461
355,20660,-1.49,0,hole,84,4.870375
356,20734,-1.39,0,hole,74,4.888493
357,20773,-1.04,0,hole,39,4.898726
358,20814,-1.06,0,hole,41,4.909717
359,20923,-1.74,0,hole,109,4.935936
360,20970,-1.12,0,hole,47,4.947503
361,21021,-1.16,0,hole,51,4.961978
362,21040,-0.84,0,hole,19,4.966127
363,21072,-0.97,0,hole,32,4.973634
364,21112,1.3,1,success,40,4.98382
365,21237,-1.9,0,hole,125,5.015511
366,21437,-1.75,0,timeout,200,5.06345
367,21487,-1.15,0,hole,50,5.074773
368,21535,1.22,1,success,48,5.086392
369,21558,1.47,1,success,23,5.092199
370,21586,-0.93,0,hole,28,5.098796
371,21767,-0.11,1,success,181,5.143923
372,21895,0.42,1,success,128,5.176142
373,21990,0.75,1,success,95,5.199865
374,22100,0.6,1,success,110,5.22611
375,22249,0.21,1,success,149,5.262649
376,22277,-0.93,0,hole,28,5.269089
377,22379,-1.67,0,hole,102,5.295216
378,22400,1.49,1,success,21,5.299991
