episode,timesteps,reward,success,outcome,steps,wall_time_s
1,71,-1.51,0,hole,71,0.003146
2,84,-0.78,0,hole,13,0.003523
3,125,-1.06,0,hole,41,0.01064
4,131,-0.86,0,hole,6,0.011716
5,203,-1.52,0,hole,72,0.026792
6,262,-1.19,0,hole,59,0.037617
7,278,-0.96,0,hole,16,0.040668
8,290,-0.92,0,hole,12,0.043018
9,305,-0.95,0,hole,15,0.045713
10,313,-0.88,0,hole,8,0.047089
11,340,-0.92,0,hole,27,0.051925
12,373,-0.98,0,hole,33,0.059235
13,390,-0.97,0,hole,17,0.062507
14,400,-0.9,0,hole,10,0.064183
15,414,-0.94,0,hole,14,0.067192
16,427,-0.93,0,hole,13,0.069665
17,478,-1.31,0,hole,51,0.080049
18,490,-0.92,0,hole,12,0.082076
19,503,-0.93,0,hole,13,0.084425
20,515,-0.92,0,hole,12,0.086753
21,546,-0.91,0,hole,31,0.093064
22,582,-1.16,0,hole,36,0.099903
23,593,-0.91,0,hole,11,0.102179
24,621,-0.88,0,hole,28,0.107514
25,632,-0.91,0,hole,11,0.109526
26,645,-0.73,0,hole,13,0.112208
27,653,-0.88,0,hole,8,0.113724
28,667,-0.94,0,hole,14,0.11617
29,748,-1.46,0,hole,81,0.131877
30,774,-0.91,0,hole,26,0.137367
31,806,-1.12,0,hole,32,0.143566
32,838,-0.97,0,hole,32,0.14945
33,859,-0.86,0,hole,21,0.15333
34,893,-1.14,0,hole,34,0.160442
35,927,-0.99,0,hole,34,0.166151
36,941,-0.94,0,hole,14,0.16894
37,956,-0.8,0,hole,15,0.171372
38,972,-0.96,0,hole,16,0.174607
39,1002,-0.9,0,hole,30,0.180936
40,1046,-1.24,0,hole,44,0.188881
41,1078,-0.97,0,hole,32,0.194982
42,1117,-1.04,0,hole,39,0.256494
43,1128,-0.71,0,hole,11,0.258699
44,1168,-0.95,0,hole,40,0.272664
45,1180,-0.92,0,hole,12,0.281466
46,1202,-1.02,0,hole,22,0.286236
47,1209,-0.87,0,hole,7,0.287817
48,1224,-0.95,0,hole,15,0.290583
49,1252,-0.83,0,hole,28,0.296163
50,1310,-1.13,0,hole,58,0.307883
51,1340,-0.95,0,hole,30,0.313101
52,1360,-1.0,0,hole,20,0.316518
53,1381,-0.86,0,hole,21,0.321134
54,1390,-0.89,0,hole,9,0.322933
55,1428,-1.18,0,hole,38,0.330119
56,1447,-0.84,0,hole,19,0.333565
57,1547,-1.65,0,hole,100,0.352007
58,1562,-0.75,0,hole,15,0.35541
59,1589,-0.92,0,hole,27,0.360903
60,1597,-0.88,0,hole,8,0.362504
61,1610,-0.93,0,hole,13,0.365221
62,1635,-0.9,0,hole,25,0.369928
63,1649,-0.79,0,hole,14,0.373305
64,1654,-0.85,0,hole,5,0.374109
65,1658,-0.84,0,hole,4,0.374994
66,1665,-0.87,0,hole,7,0.376398
67,1684,-0.84,0,hole,19,0.379563
68,1695,-0.76,0,hole,11,0.381698
69,1723,-0.93,0,hole,28,0.386916
70,1744,-0.86,0,hole,21,0.391478
71,1768,-1.04,0,hole,24,0.396124
72,1791,-0.88,0,hole,23,0.400511
73,1811,-1.0,0,hole,20,0.404479
74,1833,-0.77,0,hole,22,0.409487
75,1874,-1.21,0,hole,41,0.417173
76,1907,-0.98,0,hole,33,0.424467
77,1925,-0.83,0,hole,18,0.428057
78,1947,-1.02,0,hole,22,0.43206
79,1984,-0.92,0,hole,37,0.439123
80,2075,-1.51,0,hole,91,0.45815
81,2151,-1.41,0,hole,76,0.473396
82,2164,-0.78,0,hole,13,0.475961
83,2176,-0.92,0,hole,12,0.478242
84,2193,-0.97,0,hole,17,0.481486
85,2207,-0.94,0,hole,14,0.483844
86,2227,-0.8,0,hole,20,0.487823
87,2258,-0.96,0,hole,31,0.494265
88,2292,-1.14,0,hole,34,0.50023
89,2300,-0.73,0,hole,8,0.50176
90,2348,-1.13,0,hole,48,0.512175
91,2360,-0.92,0,hole,12,0.514223
92,2373,-0.93,0,hole,13,0.517256
93,2386,-0.78,0,hole,13,0.519766
94,2399,-0.93,0,hole,13,0.522882
95,2417,-0.73,0,hole,18,0.527148
96,2421,-0.84,0,hole,4,0.527917
97,2429,-0.88,0,hole,8,0.529644
98,2433,-0.84,0,hole,4,0.530483
99,2486,-1.13,0,hole,53,0.54691
100,2501,-0.95,0,hole,15,0.550631
101,2565,-1.29,0,hole,64,0.563477
102,2571,-0.86,0,hole,6,0.564334
103,2651,-1.6,0,hole,80,0.579566
104,2659,-0.88,0,hole,8,0.580916
105,2673,-0.94,0,hole,14,0.583971
106,2694,-0.81,0,hole,21,0.587809
107,2764,-1.35,0,hole,70,0.600867
108,2803,-0.94,0,hole,39,0.609392
109,2837,-1.14,0,hole,34,0.616064
110,2941,-1.84,0,hole,104,0.636439
111,2956,-0.8,0,hole,15,0.639226
112,2970,-0.79,0,hole,14,0.642501
113,2989,-0.84,0,hole,19,0.645867
114,3012,-1.03,0,hole,23,0.650281
115,3023,-0.91,0,hole,11,0.652631
116,3056,-0.98,0,hole,33,0.660149
117,3083,-0.92,0,hole,27,0.665542
118,3101,-0.83,0,hole,18,0.669383
119,3138,-0.97,0,hole,37,0.676705
120,3163,-1.05,0,hole,25,0.68142
121,3241,-1.43,0,hole,78,0.696593
122,3267,-1.06,0,hole,26,0.701402
123,3300,-0.93,0,hole,33,0.707925
124,3315,-0.8,0,hole,15,0.711023
125,3339,-1.04,0,hole,24,0.715684
126,3363,-0.84,0,hole,24,0.720561
127,3414,-1.16,0,hole,51,0.730477
128,3446,-0.92,0,hole,32,0.738177
129,3456,-0.75,0,hole,10,0.74032
130,3474,-0.98,0,hole,18,0.744094
131,3496,-1.02,0,hole,22,0.748184
132,3515,-0.84,0,hole,19,0.751788
133,3520,-0.85,0,hole,5,0.752707
134,3545,-0.85,0,hole,25,0.75794
135,3628,-1.63,0,hole,83,0.773446
136,3659,-0.96,0,hole,31,0.779535
137,3744,-1.45,0,hole,85,0.795986
138,3814,-1.35,0,hole,70,0.810157
139,3878,-1.44,0,hole,64,0.822344
140,3958,-1.45,0,hole,80,0.837741
141,3967,-0.74,0,hole,9,0.839525
142,3993,-0.91,0,hole,26,0.845066
143,4008,-0.8,0,hole,15,0.848099
144,4048,-1.05,0,hole,40,0.856896
145,4083,-0.95,0,hole,35,0.864355
146,4130,-1.02,0,hole,47,0.874387
147,4177,-1.07,0,hole,47,0.883614
148,4191,-0.94,0,hole,14,0.885977
149,4202,-0.76,0,hole,11,0.888638
150,4246,-0.99,0,hole,44,0.89738
151,4262,-0.96,0,hole,16,0.900305
152,4281,-0.84,0,hole,19,0.904124
153,4293,-0.77,0,hole,12,0.907257
154,4310,-0.72,0,hole,17,0.910693
155,4345,-1.0,0,hole,35,0.917539
156,4400,-1.35,0,hole,55,0.928114
157,4431,-0.96,0,hole,31,0.934206
158,4453,-0.82,0,hole,22,0.939638
159,4511,-1.23,0,hole,58,0.950741
160,4532,-0.81,0,hole,21,0.954738
161,4588,-1.21,0,hole,56,0.965699
162,4636,-1.28,0,hole,48,0.975364
163,4661,-1.05,0,hole,25,0.980531
164,4669,-0.88,0,hole,8,0.981931
165,4761,0.78,1,success,92,1.000003
166,4770,-0.89,0,hole,9,1.00153
167,4827,-1.22,0,hole,57,1.013284
168,4859,-0.97,0,hole,32,1.019236
169,4877,-0.98,0,hole,18,1.023295
170,4894,-0.82,0,hole,17,1.026637
171,4902,-0.73,0,hole,8,1.02814
172,4914,-0.72,0,hole,12,1.030557
173,4987,-1.38,0,hole,73,1.044749
174,5010,-0.83,0,hole,23,1.049771
175,5033,-1.03,0,hole,23,1.054581
176,5079,-1.11,0,hole,46,1.064
177,5093,-0.79,0,hole,14,1.067578
178,5110,-0.97,0,hole,17,1.070279
179,5137,-1.07,0,hole,27,1.075904
180,5165,-0.88,0,hole,28,1.081424
181,5194,-0.94,0,hole,29,1.087218
