episode,timesteps,reward,success,outcome,steps,wall_time_s
1,18,0.0,0,hole,18,0.001842
2,45,0.0,0,hole,27,0.002508
3,69,0.0,0,hole,24,0.003083
4,96,0.0,0,hole,27,0.00389
5,109,0.0,0,hole,13,0.005846
6,122,0.0,0,hole,13,0.008378
7,151,0.0,0,hole,29,0.012906
8,159,0.0,0,hole,8,0.014165
9,234,0.0,0,hole,75,0.026807
10,247,0.0,0,hole,13,0.028716
11,284,0.0,0,hole,37,0.034281
12,304,0.0,0,hole,20,0.037282
13,320,0.0,0,hole,16,0.0399
14,374,0.0,0,hole,54,0.049845
15,394,0.0,0,hole,20,0.052966
16,400,0.0,0,hole,6,0.053651
17,410,0.0,0,hole,10,0.055683
18,417,0.0,0,hole,7,0.056987
19,505,0.0,0,hole,88,0.071391
20,540,0.0,0,hole,35,0.077224
21,579,0.0,0,hole,39,0.083559
22,588,0.0,0,hole,9,0.084988
23,604,0.0,0,hole,16,0.087449
24,656,0.0,0,hole,52,0.096085
25,666,0.0,0,hole,10,0.098008
26,679,0.0,0,hole,13,0.099846
27,716,0.0,0,hole,37,0.105424
28,736,0.0,0,hole,20,0.109133
29,776,0.0,0,hole,40,0.115251
30,787,0.0,0,hole,11,0.117154
31,814,0.0,0,hole,27,0.121375
32,835,0.0,0,hole,21,0.12495
33,847,0.0,0,hole,12,0.126942
34,859,0.0,0,hole,12,0.128775
35,884,0.0,0,hole,25,0.132655
36,916,0.0,0,hole,32,0.137827
37,941,0.0,0,hole,25,0.143457
38,959,0.0,0,hole,18,0.146308
39,992,0.0,0,hole,33,0.151596
40,1006,0.0,0,hole,14,0.154151
41,1065,0.0,0,hole,59,0.164085
42,1086,0.0,0,hole,21,0.167347
43,1176,0.0,0,hole,90,0.181577
44,1188,0.0,0,hole,12,0.183471
45,1202,0.0,0,hole,14,0.18598
46,1244,0.0,0,hole,42,0.193763
47,1259,0.0,0,hole,15,0.196246
48,1340,0.0,0,hole,81,0.20922
49,1365,0.0,0,hole,25,0.21385
50,1377,0.0,0,hole,12,0.215833
51,1415,0.0,0,hole,38,0.221744
52,1442,0.0,0,hole,27,0.226617
53,1465,0.0,0,hole,23,0.230367
54,1473,0.0,0,hole,8,0.231588
55,1503,0.0,0,hole,30,0.23643
56,1533,0.0,0,hole,30,0.242727
57,1547,0.0,0,hole,14,0.244947
58,1588,0.0,0,hole,41,0.251299
59,1598,0.0,0,hole,10,0.253135
60,1627,0.0,0,hole,29,0.258152
61,1636,0.0,0,hole,9,0.25964
62,1688,0.0,0,hole,52,0.268043
63,1702,0.0,0,hole,14,0.270667
64,1733,0.0,0,hole,31,0.276155
65,1749,0.0,0,hole,16,0.278815
66,1791,0.0,0,hole,42,0.285417
67,1869,0.0,0,hole,78,0.298398
68,1885,0.0,0,hole,16,0.301112
69,1894,0.0,0,hole,9,0.302522
70,1920,0.0,0,hole,26,0.306352
71,1939,0.0,0,hole,19,0.309825
72,1953,0.0,0,hole,14,0.312355
73,1978,0.0,0,hole,25,0.316285
74,2047,0.0,0,hole,69,0.33153
75,2064,0.0,0,hole,17,0.335249
76,2073,0.0,0,hole,9,0.337165
77,2086,0.0,0,hole,13,0.339443
78,2113,0.0,0,hole,27,0.344259
79,2239,0.0,0,hole,126,0.364413
80,2259,0.0,0,hole,20,0.367617
81,2275,0.0,0,hole,16,0.3703
82,2295,0.0,0,hole,20,0.373633
83,2331,0.0,0,hole,36,0.379693
84,2339,0.0,0,hole,8,0.381027
85,2397,0.0,0,hole,58,0.391736
86,2435,0.0,0,hole,38,0.397536
87,2461,0.0,0,hole,26,0.401846
88,2491,0.0,0,hole,30,0.406259
89,2517,0.0,0,hole,26,0.41123
90,2573,0.0,0,hole,56,0.420516
91,2596,0.0,0,hole,23,0.424235
92,2641,0.0,0,hole,45,0.432089
93,2680,0.0,0,hole,39,0.438025
94,2693,0.0,0,hole,13,0.441371
95,2763,0.0,0,hole,70,0.453065
96,2780,0.0,0,hole,17,0.455619
97,2803,0.0,0,hole,23,0.459832
98,2816,0.0,0,hole,13,0.461789
99,2829,0.0,0,hole,13,0.464502
100,2877,0.0,0,hole,48,0.471893
101,2888,0.0,0,hole,11,0.47382
102,2897,0.0,0,hole,9,0.475837
103,2928,0.0,0,hole,31,0.480262
104,2971,0.0,0,hole,43,0.487583
105,3030,0.0,0,hole,59,0.497961
106,3063,0.0,0,hole,33,0.503216
107,3090,0.0,0,hole,27,0.5082
108,3140,0.0,0,hole,50,0.516064
109,3198,0.0,0,hole,58,0.526672
110,3215,0.0,0,hole,17,0.529313
111,3255,0.0,0,hole,40,0.535568
112,3279,0.0,0,hole,24,0.539399
113,3290,0.0,0,hole,11,0.54175
114,3318,0.0,0,hole,28,0.546357
115,3418,0.0,0,hole,100,0.563304
116,3428,0.0,0,hole,10,0.564609
117,3445,0.0,0,hole,17,0.568046
118,3554,1.0,1,success,109,0.586045
119,3634,0.0,0,hole,80,0.600089
120,3702,0.0,0,hole,68,0.611267
121,3711,0.0,0,hole,9,0.612831
122,3755,0.0,0,hole,44,0.619987
123,3767,0.0,0,hole,12,0.622024
124,3802,0.0,0,hole,35,0.62842
125,3848,0.0,0,hole,46,0.6359
126,3875,0.0,0,hole,27,0.641082
127,3897,0.0,0,hole,22,0.646094
128,3908,0.0,0,hole,11,0.647561
129,3927,0.0,0,hole,19,0.651345
130,3946,0.0,0,hole,19,0.654706
131,3954,0.0,0,hole,8,0.656137
132,4023,0.0,0,hole,69,0.668114
133,4048,0.0,0,hole,25,0.672362
134,4079,0.0,0,hole,31,0.678142
135,4124,0.0,0,hole,45,0.685611
136,4130,0.0,0,hole,6,0.686857
137,4179,0.0,0,hole,49,0.695798
138,4189,0.0,0,hole,10,0.697696
139,4215,0.0,0,hole,26,0.701622
140,4302,0.0,0,hole,87,0.716854
141,4356,0.0,0,hole,54,0.72605
142,4375,0.0,0,hole,19,0.729387
143,4417,0.0,0,hole,42,0.736353
144,4471,0.0,0,hole,54,0.745545
145,4494,0.0,0,hole,23,0.749686
146,4513,0.0,0,hole,19,0.753315
147,4526,0.0,0,hole,13,0.755319
148,4575,0.0,0,hole,49,0.76376
149,4588,0.0,0,hole,13,0.766097
150,4598,0.0,0,hole,10,0.767961
151,4606,0.0,0,hole,8,0.769201
152,4627,0.0,0,hole,21,0.772491
153,4659,0.0,0,hole,32,0.778433
154,4686,0.0,0,hole,27,0.783346
155,4714,0.0,0,hole,28,0.787927
156,4734,0.0,0,hole,20,0.792331
157,4764,0.0,0,hole,30,0.797362
158,4777,0.0,0,hole,13,0.799855
159,4831,0.0,0,hole,54,0.808905
160,4868,0.0,0,hole,37,0.815201
161,4886,0.0,0,hole,18,0.818671
162,4914,0.0,0,hole,28,0.823782
163,4981,0.0,0,hole,67,0.835449
164,5012,0.0,0,hole,31,0.840455
165,5047,0.0,0,hole,35,0.847023
166,5116,0.0,0,hole,69,0.859266
167,5145,0.0,0,hole,29,0.864516
168,5182,0.0,0,hole,37,0.870572
169,5220,0.0,0,hole,38,0.877439
170,5224,0.0,0,hole,4,0.878084
171,5261,0.0,0,hole,37,0.88502
172,5284,0.0,0,hole,23,0.888618
173,5302,0.0,0,hole,18,0.892654
