episode,timesteps,reward,success,outcome,steps,wall_time_s
1,31,0.0,0,hole,31,0.001982
2,102,0.0,0,hole,71,0.004194
3,168,0.0,0,hole,66,0.018244
4,179,0.0,0,hole,11,0.020487
5,238,0.0,0,hole,59,0.034039
6,250,0.0,0,hole,12,0.036506
7,262,0.0,0,hole,12,0.039105
8,277,0.0,0,hole,15,0.042713
9,346,0.0,0,hole,69,0.056821
10,359,0.0,0,hole,13,0.059391
11,388,0.0,0,hole,29,0.064697
12,442,0.0,0,hole,54,0.075531
13,457,0.0,0,hole,15,0.078843
14,484,0.0,0,hole,27,0.083612
15,533,0.0,0,hole,49,0.094278
16,583,0.0,0,hole,50,0.103346
17,657,0.0,0,hole,74,0.118694
18,678,0.0,0,hole,21,0.12319
19,763,0.0,0,hole,85,0.140095
20,798,0.0,0,hole,35,0.146852
21,813,0.0,0,hole,15,0.150123
22,846,0.0,0,hole,33,0.157481
23,937,0.0,0,hole,91,0.176415
24,960,0.0,0,hole,23,0.180602
25,965,0.0,0,hole,5,0.182096
26,979,0.0,0,hole,14,0.184678
27,1028,0.0,0,hole,49,0.19459
28,1058,0.0,0,hole,30,0.200372
29,1072,0.0,0,hole,14,0.202846
30,1105,0.0,0,hole,33,0.210342
31,1145,0.0,0,hole,40,0.218158
32,1256,0.0,0,hole,111,0.240477
33,1282,0.0,0,hole,26,0.245956
34,1342,0.0,0,hole,60,0.258787
35,1368,0.0,0,hole,26,0.26345
36,1436,0.0,0,hole,68,0.276767
37,1480,0.0,0,hole,44,0.285211
38,1509,0.0,0,hole,29,0.292442
39,1543,0.0,0,hole,34,0.298677
40,1612,0.0,0,hole,69,0.311877
41,1621,0.0,0,hole,9,0.314046
42,1678,0.0,0,hole,57,0.325841
43,1753,0.0,0,hole,75,0.341147
44,1759,0.0,0,hole,6,0.342049
45,1838,0.0,0,hole,79,0.358445
46,1858,0.0,0,hole,20,0.362311
47,1909,0.0,0,hole,51,0.372533
48,1936,0.0,0,hole,27,0.37768
49,2052,0.0,0,hole,116,0.401726
50,2092,0.0,0,hole,40,0.409969
51,2107,0.0,0,hole,15,0.413143
52,2127,0.0,0,hole,20,0.416955
53,2167,0.0,0,hole,40,0.424534
54,2193,0.0,0,hole,26,0.429779
55,2215,0.0,0,hole,22,0.434145
56,2305,0.0,0,hole,90,0.451893
57,2362,0.0,0,hole,57,0.463561
58,2390,0.0,0,hole,28,0.468817
59,2414,0.0,0,hole,24,0.474323
60,2433,0.0,0,hole,19,0.477908
61,2489,0.0,0,hole,56,0.488936
62,2590,0.0,0,hole,101,0.509592
63,2613,0.0,0,hole,23,0.514484
64,2651,0.0,0,hole,38,0.521083
65,2696,0.0,0,hole,45,0.529568
66,2822,0.0,0,hole,126,0.555575
67,2868,0.0,0,hole,46,0.564174
68,2936,0.0,0,hole,68,0.57855
69,2945,0.0,0,hole,9,0.58119
70,2982,0.0,0,hole,37,0.588365
71,3039,0.0,0,hole,57,0.600287
72,3062,0.0,0,hole,23,0.604813
73,3125,0.0,0,hole,63,0.618252
74,3138,0.0,0,hole,13,0.620731
75,3160,0.0,0,hole,22,0.625122
76,3200,0.0,0,hole,40,0.63251
77,3222,1.0,1,success,22,0.63738
78,3325,0.0,0,hole,103,0.658662
79,3391,0.0,0,hole,66,0.670867
80,3404,0.0,0,hole,13,0.673739
81,3454,0.0,0,hole,50,0.684028
82,3493,0.0,0,hole,39,0.692098
83,3513,0.0,0,hole,20,0.696576
84,3547,0.0,0,hole,34,0.702919
85,3590,0.0,0,hole,43,0.711776
86,3610,0.0,0,hole,20,0.716013
87,3743,0.0,0,hole,133,0.742674
88,3753,0.0,0,hole,10,0.744893
89,3776,0.0,0,hole,23,0.749073
90,3890,0.0,0,hole,114,0.771955
91,3928,0.0,0,hole,38,0.77987
92,3965,0.0,0,hole,37,0.787329
93,3996,0.0,0,hole,31,0.793082
94,4096,0.0,0,hole,100,0.812911
95,4167,0.0,0,hole,71,0.827147
96,4233,0.0,0,hole,66,0.84115
97,4268,0.0,0,hole,35,0.847851
98,4272,0.0,0,hole,4,0.848588
99,4312,0.0,0,hole,40,0.856979
100,4395,0.0,0,hole,83,0.873726
101,4423,0.0,0,hole,28,0.879284
102,4446,0.0,0,hole,23,0.883875
103,4493,0.0,0,hole,47,0.894752
104,4523,0.0,0,hole,30,0.900858
105,4588,0.0,0,hole,65,0.913973
106,4615,0.0,0,hole,27,0.919542
107,4699,0.0,0,hole,84,0.936508
108,4719,0.0,0,hole,20,0.941161
109,4740,0.0,0,hole,21,0.945116
110,4772,0.0,0,hole,32,0.951449
111,4908,0.0,0,hole,136,0.979904
112,5002,0.0,0,hole,94,0.999057
113,5102,0.0,0,hole,100,1.01901
114,5121,0.0,0,hole,19,1.022929
115,5138,0.0,0,hole,17,1.026332
116,5178,0.0,0,hole,40,1.034222
117,5208,0.0,0,hole,30,1.04019
118,5230,0.0,0,hole,22,1.044882
119,5249,0.0,0,hole,19,1.048561
120,5333,0.0,0,hole,84,1.066021
121,5361,0.0,0,hole,28,1.071532
122,5400,0.0,0,hole,39,1.079271
123,5450,0.0,0,hole,50,1.090119
124,5535,0.0,0,hole,85,1.106924
125,5595,0.0,0,hole,60,1.118657
126,5670,0.0,0,hole,75,1.134877
127,5710,0.0,0,hole,40,1.143105
128,5843,0.0,0,hole,133,1.172121
129,5900,0.0,0,hole,57,1.186723
130,5922,0.0,0,hole,22,1.193523
131,5977,0.0,0,hole,55,1.206306
132,5994,0.0,0,hole,17,1.209785
133,6027,0.0,0,hole,33,1.216591
134,6048,0.0,0,hole,21,1.22074
135,6162,0.0,0,hole,114,1.244977
136,6257,0.0,0,hole,95,1.264126
137,6304,0.0,0,hole,47,1.273869
138,6320,0.0,0,hole,16,1.277044
139,6355,0.0,0,hole,35,1.284023
140,6537,0.0,0,hole,182,1.324174
141,6551,0.0,0,hole,14,1.32697
142,6569,0.0,0,hole,18,1.330566
143,6698,0.0,0,hole,129,1.358094
144,6718,1.0,1,success,20,1.362359
145,6783,0.0,0,hole,65,1.376558
146,6805,0.0,0,hole,22,1.382057
147,6857,0.0,0,hole,52,1.392938
148,6875,0.0,0,hole,18,1.396084
149,6933,0.0,0,hole,58,1.408489
150,6955,0.0,0,hole,22,1.412828
151,7011,0.0,0,hole,56,1.424558
152,7016,0.0,0,hole,5,1.425431
153,7033,0.0,0,hole,17,1.429411
154,7225,1.0,1,success,192,1.469924
155,7262,0.0,0,hole,37,1.477549
156,7297,0.0,0,hole,35,1.484247
157,7347,0.0,0,hole,50,1.494839
158,7395,0.0,0,hole,48,1.504629
159,7416,0.0,0,hole,21,1.50953
160,7436,0.0,0,hole,20,1.513514
161,7441,0.0,0,hole,5,1.515088
162,7481,0.0,0,hole,40,1.523461
163,7486,0.0,0,hole,5,1.524478
164,7522,0.0,0,hole,36,1.532327
165,7560,0.0,0,hole,38,1.54115
166,7615,0.0,0,hole,55,1.552759
167,7692,0.0,0,hole,77,1.568079
168,7762,0.0,0,hole,70,1.583226
169,7777,0.0,0,hole,15,1.586656
170,7844,0.0,0,hole,67,1.600232
171,7876,0.0,0,hole,32,1.607057
172,7886,0.0,0,hole,10,1.609362
173,7921,0.0,0,hole,35,1.617058
174,8015,0.0,0,hole,94,1.636779
175,8092,0.0,0,hole,77,1.651929
176,8112,0.0,0,hole,20,1.656481
177,8167,1.0,1,success,55,1.667756
178,8213,0.0,0,hole,46,1.678356
179,8237,0.0,0,hole,24,1.68324
180,8316,0.0,0,hole,79,1.699052
181,8362,0.0,0,hole,46,1.708978
182,8417,0.0,0,hole,55,1.720566
183,8549,0.0,0,hole,132,1.748162
184,8622,0.0,0,hole,73,1.763407
185,8634,0.0,0,hole,12,1.766165
186,8774,1.0,1,success,140,1.796396
187,8810,1.0,1,success,36,1.804083
188,9001,1.0,1,success,191,1.844155
189,9011,0.0,0,hole,10,1.846119
190,9100,0.0,0,hole,89,1.864113
191,9115,0.0,0,hole,15,1.867426
192,9199,0.0,0,hole,84,1.884411
193,9243,0.0,0,hole,44,1.89551
194,9346,0.0,0,hole,103,1.918381
195,9364,0.0,0,hole,18,1.922301
196,9371,0.0,0,hole,7,1.924327
197,9396,1.0,1,success,25,1.929895
198,9435,0.0,0,hole,39,1.94092
199,9470,0.0,0,hole,35,1.948349
200,9505,0.0,0,hole,35,1.956012
201,9509,0.0,0,hole,4,1.957085
202,9551,1.0,1,success,42,1.965421
203,9578,0.0,0,hole,27,1.971042
204,9731,0.0,0,hole,153,2.004488
205,9827,1.0,1,success,96,2.02496
206,9844,0.0,0,hole,17,2.028393
207,9894,0.0,0,hole,50,2.039094
208,9944,0.0,0,hole,50,2.049334
209,10007,0.0,0,hole,63,2.06301
210,10026,0.0,0,hole,19,2.066921
211,10117,0.0,0,hole,91,2.086148
