episode,timesteps,reward,success,outcome,steps,wall_time_s
1,10,0.0,0,hole,10,0.001509
2,54,0.0,0,hole,44,0.002611
3,76,0.0,0,hole,22,0.003155
4,88,0.0,0,hole,12,0.003468
5,109,0.0,0,hole,21,0.0065
6,154,0.0,0,hole,45,0.014704
7,161,0.0,0,hole,7,0.016
8,198,0.0,0,hole,37,0.02175
9,259,0.0,0,hole,61,0.033189
10,325,0.0,0,hole,66,0.044864
11,333,0.0,0,hole,8,0.046156
12,343,0.0,0,hole,10,0.047483
13,373,0.0,0,hole,30,0.05254
14,380,0.0,0,hole,7,0.053515
15,407,0.0,0,hole,27,0.060264
16,413,0.0,0,hole,6,0.061993
17,442,0.0,0,hole,29,0.066663
18,468,0.0,0,hole,26,0.070816
19,516,0.0,0,hole,48,0.079372
20,527,0.0,0,hole,11,0.081255
21,540,0.0,0,hole,13,0.0833
22,576,0.0,0,hole,36,0.088931
23,581,0.0,0,hole,5,0.090139
24,659,0.0,0,hole,78,0.103381
25,675,0.0,0,hole,16,0.106028
26,736,0.0,0,hole,61,0.117056
27,755,0.0,0,hole,19,0.120673
28,762,0.0,0,hole,7,0.143436
29,788,0.0,0,hole,26,0.172938
30,819,0.0,0,hole,31,0.181177
31,837,0.0,0,hole,18,0.191639
32,860,0.0,0,hole,23,0.195442
33,908,0.0,0,hole,48,0.203487
34,931,0.0,0,hole,23,0.207343
35,938,0.0,0,hole,7,0.208667
36,967,0.0,0,hole,29,0.213437
37,1005,0.0,0,hole,38,0.220278
38,1009,0.0,0,hole,4,0.220932
39,1053,0.0,0,hole,44,0.228518
40,1067,0.0,0,hole,14,0.230459
41,1125,0.0,0,hole,58,0.240873
42,1135,0.0,0,hole,10,0.24219
43,1183,0.0,0,hole,48,0.250381
44,1197,0.0,0,hole,14,0.252766
45,1210,0.0,0,hole,13,0.255259
46,1276,0.0,0,hole,66,0.266373
47,1307,0.0,0,hole,31,0.271879
48,1373,0.0,0,hole,66,0.283026
49,1445,0.0,0,hole,72,0.295612
50,1462,0.0,0,hole,17,0.298139
51,1480,0.0,0,hole,18,0.300652
52,1552,0.0,0,hole,72,0.313799
53,1575,0.0,0,hole,23,0.31803
54,1587,0.0,0,hole,12,0.320034
55,1596,0.0,0,hole,9,0.321527
56,1614,0.0,0,hole,18,0.325044
57,1624,0.0,0,hole,10,0.327022
58,1637,0.0,0,hole,13,0.329536
59,1673,0.0,0,hole,36,0.335131
60,1700,0.0,0,hole,27,0.33908
61,1765,0.0,0,hole,65,0.350978
62,1796,0.0,0,hole,31,0.355544
63,1878,0.0,0,hole,82,0.369682
64,1911,0.0,0,hole,33,0.375233
65,1950,0.0,0,hole,39,0.381981
66,1983,0.0,0,hole,33,0.387132
67,1988,0.0,0,hole,5,0.387792
68,2038,0.0,0,hole,50,0.396789
69,2056,0.0,0,hole,18,0.39957
70,2067,0.0,0,hole,11,0.401381
71,2076,0.0,0,hole,9,0.402698
72,2138,0.0,0,hole,62,0.414349
73,2164,0.0,0,hole,26,0.418536
74,2199,0.0,0,hole,35,0.424255
75,2208,0.0,0,hole,9,0.426031
76,2231,0.0,0,hole,23,0.430362
77,2256,0.0,0,hole,25,0.434347
78,2288,0.0,0,hole,32,0.439443
79,2333,0.0,0,hole,45,0.448057
80,2359,0.0,0,hole,26,0.451963
81,2423,0.0,0,hole,64,0.463855
82,2486,0.0,0,hole,63,0.473967
83,2522,0.0,0,hole,36,0.480805
84,2555,0.0,0,hole,33,0.485861
85,2578,0.0,0,hole,23,0.489948
86,2610,0.0,0,hole,32,0.495819
87,2632,0.0,0,hole,22,0.499081
88,2659,0.0,0,hole,27,0.503606
89,2704,0.0,0,hole,45,0.51202
90,2739,0.0,0,hole,35,0.518314
91,2812,0.0,0,hole,73,0.531552
92,2821,0.0,0,hole,9,0.53337
93,2834,0.0,0,hole,13,0.535458
94,2874,0.0,0,hole,40,0.541996
95,2882,0.0,0,hole,8,0.543826
96,2895,0.0,0,hole,13,0.546009
97,2929,0.0,0,hole,34,0.552418
98,2955,0.0,0,hole,26,0.556542
99,2976,0.0,0,hole,21,0.560355
100,2989,0.0,0,hole,13,0.562881
101,3014,0.0,0,hole,25,0.567576
102,3022,0.0,0,hole,8,0.568925
103,3028,0.0,0,hole,6,0.569609
104,3049,0.0,0,hole,21,0.573355
105,3077,0.0,0,hole,28,0.578828
106,3125,0.0,0,hole,48,0.586877
107,3170,0.0,0,hole,45,0.594554
108,3184,0.0,0,hole,14,0.596636
109,3199,0.0,0,hole,15,0.599221
110,3214,0.0,0,hole,15,0.602264
111,3221,0.0,0,hole,7,0.603568
112,3227,0.0,0,hole,6,0.604366
113,3298,0.0,0,hole,71,0.61727
114,3305,0.0,0,hole,7,0.618839
115,3359,1.0,1,success,54,0.627816
116,3384,0.0,0,hole,25,0.632138
117,3480,0.0,0,hole,96,0.64916
118,3563,0.0,0,hole,83,0.664293
119,3603,0.0,0,hole,40,0.67115
120,3630,0.0,0,hole,27,0.675856
121,3656,0.0,0,hole,26,0.679937
122,3701,0.0,0,hole,45,0.68806
123,3729,0.0,0,hole,28,0.692723
124,3739,0.0,0,hole,10,0.694485
125,3772,0.0,0,hole,33,0.699856
126,3792,0.0,0,hole,20,0.703371
127,3815,0.0,0,hole,23,0.707782
128,3828,0.0,0,hole,13,0.710463
129,3841,0.0,0,hole,13,0.713548
130,3847,0.0,0,hole,6,0.714502
131,3862,0.0,0,hole,15,0.717465
132,3900,0.0,0,hole,38,0.723865
133,3980,0.0,0,hole,80,0.738198
134,4009,0.0,0,hole,29,0.744199
135,4030,0.0,0,hole,21,0.747381
136,4035,0.0,0,hole,5,0.748261
137,4074,0.0,0,hole,39,0.755044
138,4093,0.0,0,hole,19,0.758628
139,4158,0.0,0,hole,65,0.770377
140,4167,0.0,0,hole,9,0.77174
141,4176,0.0,0,hole,9,0.77328
142,4192,0.0,0,hole,16,0.775952
143,4202,0.0,0,hole,10,0.778589
144,4239,0.0,0,hole,37,0.784663
145,4262,0.0,0,hole,23,0.788643
146,4281,0.0,0,hole,19,0.792085
147,4299,0.0,0,hole,18,0.795134
148,4321,0.0,0,hole,22,0.799497
149,4354,0.0,0,hole,33,0.805695
150,4390,0.0,0,hole,36,0.812593
151,4400,0.0,0,hole,10,0.813971
152,4430,0.0,0,hole,30,0.819687
153,4486,0.0,0,hole,56,0.829448
154,4529,0.0,0,hole,43,0.837278
155,4537,0.0,0,hole,8,0.838787
156,4567,0.0,0,hole,30,0.843987
157,4584,0.0,0,hole,17,0.84697
158,4593,0.0,0,hole,9,0.848886
159,4638,0.0,0,hole,45,0.856259
160,4677,0.0,0,hole,39,0.863932
161,4700,0.0,0,hole,23,0.867771
162,4721,0.0,0,hole,21,0.872214
163,4745,0.0,0,hole,24,0.876912
164,4779,0.0,0,hole,34,0.882612
165,4793,0.0,0,hole,14,0.885305
166,4809,0.0,0,hole,16,0.888436
167,4928,0.0,0,hole,119,0.9095
168,4984,0.0,0,hole,56,0.920184
169,4989,0.0,0,hole,5,0.921635
170,5013,0.0,0,hole,24,0.926323
171,5046,0.0,0,hole,33,0.931497
172,5099,0.0,0,hole,53,0.940446
173,5128,0.0,0,hole,29,0.946227
174,5148,0.0,0,hole,20,0.949867
175,5156,0.0,0,hole,8,0.951346
176,5173,0.0,0,hole,17,0.954567
177,5180,0.0,0,hole,7,0.955445
178,5196,0.0,0,hole,16,0.958226
179,5246,0.0,0,hole,50,0.968411
180,5265,0.0,0,hole,19,0.971889
181,5274,0.0,0,hole,9,0.973529
182,5368,0.0,0,hole,94,0.990606
183,5404,0.0,0,hole,36,0.997564
184,5430,0.0,0,hole,26,1.002429
185,5464,0.0,0,hole,34,1.008283
186,5517,0.0,0,hole,53,1.01839
187,5598,0.0,0,hole,81,1.032443
188,5607,0.0,0,hole,9,1.03422
189,5649,0.0,0,hole,42,1.041944
190,5670,0.0,0,hole,21,1.046011
191,5711,0.0,0,hole,41,1.053987
192,5785,0.0,0,hole,74,1.06888
193,5801,0.0,0,hole,16,1.072078
194,5815,0.0,0,hole,14,1.07423
195,5870,1.0,1,success,55,1.084618
196,5883,0.0,0,hole,13,1.086781
197,5926,0.0,0,hole,43,1.095576
198,5956,0.0,0,hole,30,1.100229
199,5974,0.0,0,hole,18,1.103496
200,5991,0.0,0,hole,17,1.106375
201,6008,0.0,0,hole,17,1.110041
202,6015,0.0,0,hole,7,1.111361
203,6030,0.0,0,hole,15,1.114271
204,6060,0.0,0,hole,30,1.119668
205,6087,0.0,0,hole,27,1.125017
206,6120,0.0,0,hole,33,1.131546
207,6136,0.0,0,hole,16,1.134379
208,6198,0.0,0,hole,62,1.145717
209,6249,0.0,0,hole,51,1.155885
210,6304,0.0,0,hole,55,1.165962
