episode,timesteps,reward,success,outcome,steps,wall_time_s
1,23,0.0,0,hole,23,0.001838
2,123,0.0,0,hole,100,0.008599
3,145,0.0,0,hole,22,0.013467
4,172,0.0,0,hole,27,0.019098
5,205,0.0,0,hole,33,0.026083
6,228,0.0,0,hole,23,0.030669
7,246,0.0,0,hole,18,0.034144
8,275,0.0,0,hole,29,0.039744
9,284,0.0,0,hole,9,0.041495
10,299,0.0,0,hole,15,0.044347
11,361,0.0,0,hole,62,0.057668
12,391,0.0,0,hole,30,0.064258
13,406,0.0,0,hole,15,0.067893
14,423,0.0,0,hole,17,0.071084
15,494,0.0,0,hole,71,0.086546
16,526,0.0,0,hole,32,0.093155
17,544,0.0,0,hole,18,0.096594
18,580,0.0,0,hole,36,0.103781
19,603,0.0,0,hole,23,0.108671
20,640,0.0,0,hole,37,0.116122
21,657,0.0,0,hole,17,0.11983
22,672,0.0,0,hole,15,0.122332
23,705,0.0,0,hole,33,0.130306
24,756,0.0,0,hole,51,0.140092
25,858,0.0,0,hole,102,0.161497
26,874,0.0,0,hole,16,0.164755
27,952,0.0,0,hole,78,0.18029
28,979,0.0,0,hole,27,0.185592
29,1021,0.0,0,hole,42,0.194544
30,1030,0.0,0,hole,9,0.196592
31,1046,0.0,0,hole,16,0.199587
32,1108,0.0,0,hole,62,0.212359
33,1114,0.0,0,hole,6,0.213818
34,1159,0.0,0,hole,45,0.222495
35,1183,0.0,0,hole,24,0.227295
36,1237,0.0,0,hole,54,0.23824
37,1255,0.0,0,hole,18,0.24169
38,1321,0.0,0,hole,66,0.255449
39,1359,0.0,0,hole,38,0.263744
40,1387,0.0,0,hole,28,0.269105
41,1415,0.0,0,hole,28,0.275087
42,1480,0.0,0,hole,65,0.287982
43,1521,0.0,0,hole,41,0.297159
44,1564,0.0,0,hole,43,0.305171
45,1599,0.0,0,hole,35,0.311792
46,1607,0.0,0,hole,8,0.313705
47,1667,0.0,0,hole,60,0.324921
48,1683,0.0,0,hole,16,0.328023
49,1774,0.0,0,hole,91,0.346824
50,1879,0.0,0,hole,105,0.366738
51,1898,0.0,0,hole,19,0.370167
52,1933,0.0,0,hole,35,0.37766
