episode,timesteps,reward,success,outcome,steps,wall_time_s
1,119,0.0,0,hole,119,0.718726
2,133,0.0,0,hole,14,0.72231
3,189,0.0,0,hole,56,0.732108
4,195,0.0,0,hole,6,0.7329
5,221,0.0,0,hole,26,0.75027
6,232,0.0,0,hole,11,0.75273
7,276,0.0,0,hole,44,0.761612
8,291,0.0,0,hole,15,0.764399
9,346,1.0,1,success,55,0.775454
10,357,0.0,0,hole,11,0.777492
11,410,0.0,0,hole,53,0.786785
12,447,0.0,0,hole,37,0.79283
13,454,0.0,0,hole,7,0.794263
14,467,0.0,0,hole,13,0.796241
15,491,0.0,0,hole,24,0.800256
16,544,0.0,0,hole,53,0.811246
17,598,0.0,0,hole,54,0.821071
18,621,0.0,0,hole,23,0.825124
19,668,0.0,0,hole,47,0.832467
20,674,0.0,0,hole,6,0.833733
21,682,0.0,0,hole,8,0.83645
22,712,0.0,0,hole,30,0.841405
23,740,0.0,0,hole,28,0.846
24,756,0.0,0,hole,16,0.849311
25,787,0.0,0,hole,31,0.855493
26,813,0.0,0,hole,26,0.860271
27,903,0.0,0,hole,90,0.87562
28,934,0.0,0,hole,31,0.880728
29,955,0.0,0,hole,21,0.884252
30,968,0.0,0,hole,13,0.886557
31,990,0.0,0,hole,22,0.89072
32,995,0.0,0,hole,5,0.891495
33,1045,0.0,0,hole,50,0.900215
34,1102,0.0,0,hole,57,0.909631
35,1139,0.0,0,hole,37,0.915489
36,1151,0.0,0,hole,12,0.917421
37,1163,0.0,0,hole,12,0.919664
38,1173,0.0,0,hole,10,0.923153
39,1213,0.0,0,hole,40,0.929829
40,1226,0.0,0,hole,13,0.931962
41,1236,0.0,0,hole,10,0.933443
42,1246,0.0,0,hole,10,0.935971
43,1305,0.0,0,hole,59,0.945895
44,1338,0.0,0,hole,33,0.952176
45,1349,0.0,0,hole,11,0.954862
46,1361,0.0,0,hole,12,0.956995
47,1389,0.0,0,hole,28,0.962092
48,1400,0.0,0,hole,11,0.963602
49,1412,0.0,0,hole,12,0.965739
50,1420,0.0,0,hole,8,0.967058
51,1434,0.0,0,hole,14,0.970543
52,1500,0.0,0,hole,66,0.981164
53,1564,0.0,0,hole,64,0.992908
54,1608,0.0,0,hole,44,1.000112
55,1665,0.0,0,hole,57,1.010863
56,1681,0.0,0,hole,16,1.013629
57,1737,0.0,0,hole,56,1.023907
58,1744,0.0,0,hole,7,1.024824
59,1749,0.0,0,hole,5,1.026142
60,1759,0.0,0,hole,10,1.027566
61,1791,0.0,0,hole,32,1.033054
62,1796,0.0,0,hole,5,1.033758
63,1810,0.0,0,hole,14,1.036934
64,1875,0.0,0,hole,65,1.047408
65,1906,0.0,0,hole,31,1.053295
66,1916,0.0,0,hole,10,1.055025
67,2038,0.0,0,hole,122,1.076607
68,2099,0.0,0,hole,61,1.086653
69,2103,0.0,0,hole,4,1.087541
70,2112,0.0,0,hole,9,1.088943
71,2126,0.0,0,hole,14,1.091633
72,2138,0.0,0,hole,12,1.093702
73,2157,0.0,0,hole,19,1.096968
74,2163,0.0,0,hole,6,1.097755
75,2172,0.0,0,hole,9,1.099459
76,2194,0.0,0,hole,22,1.104598
77,2219,0.0,0,hole,25,1.108668
78,2262,0.0,0,hole,43,1.11602
79,2295,0.0,0,hole,33,1.123096
80,2304,0.0,0,hole,9,1.124595
81,2314,0.0,0,hole,10,1.126796
82,2333,0.0,0,hole,19,1.130326
83,2374,0.0,0,hole,41,1.138459
84,2416,0.0,0,hole,42,1.145455
85,2463,0.0,0,hole,47,1.155576
86,2467,0.0,0,hole,4,1.1564
87,2513,0.0,0,hole,46,1.166736
88,2517,0.0,0,hole,4,1.16821
89,2522,0.0,0,hole,5,1.169361
90,2538,0.0,0,hole,16,1.172656
91,2560,0.0,0,hole,22,1.177206
92,2581,0.0,0,hole,21,1.18279
93,2606,0.0,0,hole,25,1.188775
94,2633,0.0,0,hole,27,1.194778
95,2709,0.0,0,hole,76,1.212794
96,2746,0.0,0,hole,37,1.219465
97,2764,0.0,0,hole,18,1.222534
98,2798,0.0,0,hole,34,1.228793
99,2827,0.0,0,hole,29,1.233602
100,2837,0.0,0,hole,10,1.235756
101,2861,0.0,0,hole,24,1.241267
102,2877,0.0,0,hole,16,1.244934
103,2892,0.0,0,hole,15,1.247316
104,2915,0.0,0,hole,23,1.252003
105,2929,0.0,0,hole,14,1.255858
106,2945,0.0,0,hole,16,1.258838
107,2980,0.0,0,hole,35,1.264442
108,3011,0.0,0,hole,31,1.270811
109,3032,0.0,0,hole,21,1.274504
110,3055,0.0,0,hole,23,1.278843
111,3112,0.0,0,hole,57,1.289421
112,3122,0.0,0,hole,10,1.291939
113,3160,0.0,0,hole,38,1.300442
114,3206,0.0,0,hole,46,1.310359
115,3221,0.0,0,hole,15,1.313073
116,3247,0.0,0,hole,26,1.317265
117,3262,0.0,0,hole,15,1.320568
118,3277,0.0,0,hole,15,1.323311
119,3312,0.0,0,hole,35,1.329196
120,3360,0.0,0,hole,48,1.338029
121,3375,0.0,0,hole,15,1.341146
122,3400,0.0,0,hole,25,1.345656
123,3416,0.0,0,hole,16,1.34858
124,3433,0.0,0,hole,17,1.352808
125,3454,0.0,0,hole,21,1.357193
126,3460,0.0,0,hole,6,1.358118
127,3492,0.0,0,hole,32,1.36438
128,3518,0.0,0,hole,26,1.370085
129,3573,0.0,0,hole,55,1.381482
130,3605,0.0,0,hole,32,1.388615
131,3609,0.0,0,hole,4,1.389466
132,3624,0.0,0,hole,15,1.391742
133,3655,0.0,0,hole,31,1.397978
134,3671,0.0,0,hole,16,1.401438
135,3686,0.0,0,hole,15,1.405499
136,3700,0.0,0,hole,14,1.407783
137,3711,0.0,0,hole,11,1.410611
138,3741,0.0,0,hole,30,1.416484
139,3772,0.0,0,hole,31,1.42312
140,3829,0.0,0,hole,57,1.433983
141,3843,0.0,0,hole,14,1.436629
142,3872,0.0,0,hole,29,1.441847
143,3884,0.0,0,hole,12,1.444132
144,3963,0.0,0,hole,79,1.458784
145,3992,0.0,0,hole,29,1.464274
146,4000,0.0,0,hole,8,1.465781
147,4009,0.0,0,hole,9,1.46815
148,4020,0.0,0,hole,11,1.470351
149,4034,0.0,0,hole,14,1.473322
150,4049,0.0,0,hole,15,1.476175
151,4056,0.0,0,hole,7,1.477081
152,4088,0.0,0,hole,32,1.482978
153,4136,0.0,0,hole,48,1.49208
154,4187,0.0,0,hole,51,1.502119
155,4204,0.0,0,hole,17,1.50522
156,4229,0.0,0,hole,25,1.510407
157,4241,0.0,0,hole,12,1.512628
158,4271,0.0,0,hole,30,1.518041
159,4282,0.0,0,hole,11,1.520603
160,4334,0.0,0,hole,52,1.5298
161,4339,0.0,0,hole,5,1.530771
162,4381,0.0,0,hole,42,1.539525
163,4419,0.0,0,hole,38,1.546107
164,4437,0.0,0,hole,18,1.549625
165,4471,0.0,0,hole,34,1.556849
166,4482,0.0,0,hole,11,1.558983
167,4497,0.0,0,hole,15,1.562162
168,4518,0.0,0,hole,21,1.566024
169,4545,0.0,0,hole,27,1.571551
170,4614,0.0,0,hole,69,1.584513
171,4642,0.0,0,hole,28,1.590203
172,4673,0.0,0,hole,31,1.595831
173,4687,0.0,0,hole,14,1.598179
174,4741,0.0,0,hole,54,1.608628
175,4802,0.0,0,hole,61,1.61994
176,4813,0.0,0,hole,11,1.622144
177,4851,0.0,0,hole,38,1.628908
178,4864,0.0,0,hole,13,1.631065
179,4889,0.0,0,hole,25,1.63644
180,4905,0.0,0,hole,16,1.639546
181,4923,0.0,0,hole,18,1.642635
182,4940,0.0,0,hole,17,1.645664
183,5050,0.0,0,hole,110,1.667118
184,5072,0.0,0,hole,22,1.67134
185,5101,0.0,0,hole,29,1.677342
186,5129,0.0,0,hole,28,1.682705
187,5178,0.0,0,hole,49,1.691887
188,5211,0.0,0,hole,33,1.697721
189,5245,0.0,0,hole,34,1.705338
190,5254,0.0,0,hole,9,1.706822
191,5285,0.0,0,hole,31,1.712736
192,5331,0.0,0,hole,46,1.721433
193,5366,0.0,0,hole,35,1.728351
194,5447,0.0,0,hole,81,1.743831
195,5496,0.0,0,hole,49,1.752619
196,5542,0.0,0,hole,46,1.761897
197,5560,0.0,0,hole,18,1.765032
198,5570,0.0,0,hole,10,1.767133
199,5635,0.0,0,hole,65,1.779193
200,5681,0.0,0,hole,46,1.788685
201,5740,0.0,0,hole,59,1.799835
202,5822,0.0,0,hole,82,1.81553
203,5887,0.0,0,hole,65,1.827126
204,5914,0.0,0,hole,27,1.832083
205,5956,0.0,0,hole,42,1.839768
206,5987,0.0,0,hole,31,1.845714
207,5994,0.0,0,hole,7,1.847144
208,6075,0.0,0,hole,81,1.861586
209,6104,0.0,0,hole,29,1.866866
210,6114,0.0,0,hole,10,1.869472
211,6152,0.0,0,hole,38,1.87591
212,6166,0.0,0,hole,14,1.878796
213,6222,0.0,0,hole,56,1.889715
214,6234,0.0,0,hole,12,1.891976
215,6264,0.0,0,hole,30,1.897276
216,6281,0.0,0,hole,17,1.902115
217,6297,0.0,0,hole,16,1.905587
218,6341,0.0,0,hole,44,1.9136
219,6371,0.0,0,hole,30,1.919361
220,6395,0.0,0,hole,24,1.923602
221,6416,0.0,0,hole,21,1.927431
222,6464,0.0,0,hole,48,1.93678
223,6491,0.0,0,hole,27,1.941965
224,6539,0.0,0,hole,48,1.951029
225,6656,0.0,0,hole,117,1.974958
226,6697,0.0,0,hole,41,1.983101
227,6707,0.0,0,hole,10,1.984733
228,6740,0.0,0,hole,33,1.990723
229,6885,0.0,0,hole,145,2.019175
230,6935,0.0,0,hole,50,2.027919
231,6970,0.0,0,hole,35,2.034274
232,7010,0.0,0,hole,40,2.041391
233,7033,0.0,0,hole,23,2.045784
234,7102,0.0,0,hole,69,2.059357
235,7115,0.0,0,hole,13,2.061379
236,7125,0.0,0,hole,10,2.063433
237,7133,0.0,0,hole,8,2.065177
238,7151,0.0,0,hole,18,2.068672
239,7170,0.0,0,hole,19,2.072523
240,7175,0.0,0,hole,5,2.073307
241,7192,0.0,0,hole,17,2.076349
242,7228,0.0,0,hole,36,2.08303
243,7260,0.0,0,hole,32,2.089258
244,7298,0.0,0,hole,38,2.096536
245,7358,0.0,0,hole,60,2.108776
246,7377,0.0,0,hole,19,2.112403
247,7381,0.0,0,hole,4,2.113149
248,7436,0.0,0,hole,55,2.123238
249,7456,0.0,0,hole,20,2.127243
250,7510,0.0,0,hole,54,2.138242
251,7546,0.0,0,hole,36,2.145015
252,7597,0.0,0,hole,51,2.15502
253,7615,0.0,0,hole,18,2.209511
254,7645,0.0,0,hole,30,2.221629
255,7670,0.0,0,hole,25,2.239888
256,7802,0.0,0,hole,132,2.265902
257,7827,0.0,0,hole,25,2.270993
258,7903,0.0,0,hole,76,2.286221
259,7928,0.0,0,hole,25,2.291102
260,7953,0.0,0,hole,25,2.2974
261,7958,0.0,0,hole,5,2.298505
262,7992,0.0,0,hole,34,2.304883
263,8016,0.0,0,hole,24,2.309708
264,8042,0.0,0,hole,26,2.315031
265,8066,0.0,0,hole,24,2.320318
266,8098,0.0,0,hole,32,2.326584
267,8149,0.0,0,hole,51,2.336549
268,8155,0.0,0,hole,6,2.337374
269,8190,0.0,0,hole,35,2.344103
270,8217,0.0,0,hole,27,2.34941
271,8248,0.0,0,hole,31,2.360948
272,8279,0.0,0,hole,31,2.368059
273,8301,0.0,0,hole,22,2.374229
274,8321,0.0,0,hole,20,2.378625
275,8345,0.0,0,hole,24,2.383866
276,8394,0.0,0,hole,49,2.397422
277,8474,0.0,0,hole,80,2.425299
278,8528,0.0,0,hole,54,2.43989
279,8555,0.0,0,hole,27,2.452992
280,8569,0.0,0,hole,14,2.457489
281,8577,0.0,0,hole,8,2.459785
282,8625,0.0,0,hole,48,2.472631
283,8637,0.0,0,hole,12,2.475691
284,8653,0.0,0,hole,16,2.479791
285,8721,0.0,0,hole,68,2.493843
286,8754,0.0,0,hole,33,2.500465
287,8761,0.0,0,hole,7,2.502192
288,8779,0.0,0,hole,18,2.505771
289,8802,0.0,0,hole,23,2.510726
290,8866,0.0,0,hole,64,2.523983
291,8881,0.0,0,hole,15,2.526706
292,8885,0.0,0,hole,4,2.527372
293,8902,0.0,0,hole,17,2.530612
294,8919,0.0,0,hole,17,2.533784
295,8952,0.0,0,hole,33,2.54053
296,8958,0.0,0,hole,6,2.542036
297,8977,0.0,0,hole,19,2.545854
298,9012,0.0,0,hole,35,2.552983
299,9038,0.0,0,hole,26,2.559279
300,9051,0.0,0,hole,13,2.561711
301,9076,0.0,0,hole,25,2.566458
302,9099,0.0,0,hole,23,2.571824
303,9128,0.0,0,hole,29,2.577311
304,9143,0.0,0,hole,15,2.580373
305,9191,0.0,0,hole,48,2.59055
306,9208,0.0,0,hole,17,2.593943
307,9242,0.0,0,hole,34,2.600882
308,9304,0.0,0,hole,62,2.613059
309,9372,0.0,0,hole,68,2.62657
310,9385,0.0,0,hole,13,2.629583
311,9391,0.0,0,hole,6,2.630572
312,9410,0.0,0,hole,19,2.634609
313,9416,0.0,0,hole,6,2.635928
314,9432,0.0,0,hole,16,2.638933
315,9446,0.0,0,hole,14,2.641944
316,9504,0.0,0,hole,58,2.653567
