episode,timesteps,reward,success,outcome,steps,wall_time_s
1,24,0.0,0,hole,24,0.002414
2,48,0.0,0,hole,24,0.00305
3,55,0.0,0,hole,7,0.003374
4,105,0.0,0,hole,50,0.00621
5,127,0.0,0,hole,22,0.010662
6,181,0.0,0,hole,54,0.021338
7,237,0.0,0,hole,56,0.032831
8,304,0.0,0,hole,67,0.04527
9,357,0.0,0,hole,53,0.056149
10,392,0.0,0,hole,35,0.062237
11,403,0.0,0,hole,11,0.064414
12,416,0.0,0,hole,13,0.067188
13,422,0.0,0,hole,6,0.06879
14,455,0.0,0,hole,33,0.075225
15,481,0.0,0,hole,26,0.08031
16,520,0.0,0,hole,39,0.087217
17,529,0.0,0,hole,9,0.090134
18,534,0.0,0,hole,5,0.091128
19,559,0.0,0,hole,25,0.095959
20,600,0.0,0,hole,41,0.103213
21,623,0.0,0,hole,23,0.108399
22,631,0.0,0,hole,8,0.109999
23,658,0.0,0,hole,27,0.115188
24,715,0.0,0,hole,57,0.127454
25,740,0.0,0,hole,25,0.132661
26,774,0.0,0,hole,34,0.140237
27,835,0.0,0,hole,61,0.152494
28,854,0.0,0,hole,19,0.156683
29,897,0.0,0,hole,43,0.165391
30,942,0.0,0,hole,45,0.174099
31,951,0.0,0,hole,9,0.175653
32,967,0.0,0,hole,16,0.178737
33,1013,0.0,0,hole,46,0.1885
34,1042,0.0,0,hole,29,0.194736
35,1058,0.0,0,hole,16,0.198025
36,1065,0.0,0,hole,7,0.199391
37,1106,0.0,0,hole,41,0.207925
38,1156,0.0,0,hole,50,0.217093
39,1205,0.0,0,hole,49,0.227236
40,1247,0.0,0,hole,42,0.235291
41,1251,0.0,0,hole,4,0.23616
42,1383,0.0,0,hole,132,0.262638
43,1417,0.0,0,hole,34,0.269754
44,1468,0.0,0,hole,51,0.279817
45,1510,0.0,0,hole,42,0.288732
46,1535,0.0,0,hole,25,0.293753
47,1554,0.0,0,hole,19,0.297417
48,1613,0.0,0,hole,59,0.308492
49,1637,0.0,0,hole,24,0.313227
50,1662,0.0,0,hole,25,0.317766
51,1688,0.0,0,hole,26,0.323196
52,1703,0.0,0,hole,15,0.326483
53,1778,0.0,0,hole,75,0.342506
54,1797,0.0,0,hole,19,0.346551
55,1805,0.0,0,hole,8,0.348036
56,1818,0.0,0,hole,13,0.350538
57,1849,0.0,0,hole,31,0.357184
58,1862,0.0,0,hole,13,0.35949
59,1897,0.0,0,hole,35,0.366376
60,1902,0.0,0,hole,5,0.367141
61,1940,0.0,0,hole,38,0.374895
62,1983,0.0,0,hole,43,0.383758
63,2016,0.0,0,hole,33,0.39104
64,2061,0.0,0,hole,45,0.400018
65,2112,0.0,0,hole,51,0.410358
66,2135,0.0,0,hole,23,0.415054
67,2149,0.0,0,hole,14,0.417835
68,2169,0.0,0,hole,20,0.421509
69,2237,0.0,0,hole,68,0.435061
70,2260,0.0,0,hole,23,0.439647
71,2332,0.0,0,hole,72,0.45391
72,2361,0.0,0,hole,29,0.460374
73,2424,0.0,0,hole,63,0.474175
74,2534,0.0,0,hole,110,0.496249
75,2558,0.0,0,hole,24,0.501217
76,2631,0.0,0,hole,73,0.515172
77,2650,0.0,0,hole,19,0.519456
78,2707,0.0,0,hole,57,0.531173
79,2781,0.0,0,hole,74,0.546352
80,2851,0.0,0,hole,70,0.559622
81,2859,0.0,0,hole,8,0.561295
82,2876,0.0,0,hole,17,0.564156
83,2932,0.0,0,hole,56,0.575843
84,2952,0.0,0,hole,20,0.57962
85,2984,0.0,0,hole,32,0.58607
86,3013,0.0,0,hole,29,0.593294
87,3024,0.0,0,hole,11,0.595186
88,3053,0.0,0,hole,29,0.601352
89,3112,1.0,1,success,59,0.613106
90,3139,0.0,0,hole,27,0.618395
91,3161,0.0,0,hole,22,0.62344
92,3208,0.0,0,hole,47,0.633556
93,3238,0.0,0,hole,30,0.640345
94,3304,0.0,0,hole,66,0.652986
95,3336,0.0,0,hole,32,0.659353
96,3358,0.0,0,hole,22,0.664131
97,3399,0.0,0,hole,41,0.67307
98,3467,0.0,0,hole,68,0.686366
99,3542,0.0,0,hole,75,0.702218
100,3565,0.0,0,hole,23,0.706987
101,3591,0.0,0,hole,26,0.711884
102,3610,0.0,0,hole,19,0.716221
103,3754,0.0,0,hole,144,0.746633
104,3804,0.0,0,hole,50,0.756301
105,3875,0.0,0,hole,71,0.77059
106,3919,0.0,0,hole,44,0.780025
107,3948,0.0,0,hole,29,0.785473
108,3985,0.0,0,hole,37,0.793
109,4042,0.0,0,hole,57,0.804797
110,4087,0.0,0,hole,45,0.813813
111,4131,0.0,0,hole,44,0.822645
112,4147,0.0,0,hole,16,0.825748
113,4198,0.0,0,hole,51,0.836274
114,4214,0.0,0,hole,16,0.839953
115,4243,0.0,0,hole,29,0.84578
116,4281,0.0,0,hole,38,0.853494
117,4314,0.0,0,hole,33,0.860481
118,4337,0.0,0,hole,23,0.865122
119,4374,0.0,0,hole,37,0.872906
120,4442,0.0,0,hole,68,0.886812
121,4556,0.0,0,hole,114,0.909899
122,4632,0.0,0,hole,76,0.924779
123,4675,0.0,0,hole,43,0.933548
124,4737,0.0,0,hole,62,0.94698
125,4815,0.0,0,hole,78,0.963431
126,4860,0.0,0,hole,45,0.972705
127,4893,0.0,0,hole,33,0.979794
128,4903,0.0,0,hole,10,0.981428
129,4926,0.0,0,hole,23,0.986362
130,4952,0.0,0,hole,26,0.9915
131,5011,0.0,0,hole,59,1.004319
132,5040,0.0,0,hole,29,1.010413
133,5075,0.0,0,hole,35,1.017957
134,5084,0.0,0,hole,9,1.019638
135,5115,0.0,0,hole,31,1.026547
136,5235,0.0,0,hole,120,1.050468
137,5279,0.0,0,hole,44,1.059602
138,5353,0.0,0,hole,74,1.075911
139,5375,0.0,0,hole,22,1.080134
140,5401,0.0,0,hole,26,1.085635
141,5446,0.0,0,hole,45,1.09452
142,5565,0.0,0,hole,119,1.11869
143,5605,0.0,0,hole,40,1.127701
144,5630,0.0,0,hole,25,1.132611
145,5644,0.0,0,hole,14,1.135475
146,5659,0.0,0,hole,15,1.138643
147,5734,1.0,1,success,75,1.155157
148,5879,0.0,0,hole,145,1.189532
149,5907,0.0,0,hole,28,1.195753
150,5982,0.0,0,hole,75,1.212098
151,6012,0.0,0,hole,30,1.218422
152,6063,0.0,0,hole,51,1.229107
153,6113,0.0,0,hole,50,1.240028
154,6117,0.0,0,hole,4,1.240889
155,6173,0.0,0,hole,56,1.252142
156,6202,0.0,0,hole,29,1.258173
157,6232,0.0,0,hole,30,1.264125
158,6321,0.0,0,hole,89,1.28375
159,6383,0.0,0,hole,62,1.297123
160,6390,0.0,0,hole,7,1.298574
161,6409,0.0,0,hole,19,1.302814
162,6453,0.0,0,hole,44,1.31231
163,6472,0.0,0,hole,19,1.315757
164,6509,0.0,0,hole,37,1.324873
