episode,timesteps,reward,success,outcome,steps,wall_time_s
1,21,0.0,0,hole,21,0.005199
2,41,0.0,0,hole,20,0.006087
3,54,0.0,0,hole,13,0.006451
4,60,0.0,0,hole,6,0.006615
5,75,0.0,0,hole,15,0.007134
6,116,0.0,0,hole,41,0.011425
7,122,0.0,0,hole,6,0.013113
8,137,0.0,0,hole,15,0.016088
9,164,0.0,0,hole,27,0.022087
10,238,0.0,0,hole,74,0.037066
11,271,0.0,0,hole,33,0.044072
12,307,0.0,0,hole,36,0.051762
13,332,0.0,0,hole,25,0.057308
14,443,0.0,0,hole,111,0.080075
15,471,0.0,0,hole,28,0.085735
16,478,0.0,0,hole,7,0.087478
17,567,0.0,0,hole,89,0.106343
18,628,0.0,0,hole,61,0.119037
19,659,0.0,0,hole,31,0.125871
20,683,0.0,0,hole,24,0.130538
21,705,0.0,0,hole,22,0.135266
22,759,0.0,0,hole,54,0.146975
23,803,0.0,0,hole,44,0.157026
24,807,0.0,0,hole,4,0.157909
25,878,0.0,0,hole,71,0.172996
26,910,0.0,0,hole,32,0.179813
27,919,0.0,0,hole,9,0.181358
28,971,0.0,0,hole,52,0.191645
29,978,0.0,0,hole,7,0.193393
30,1073,0.0,0,hole,95,0.213805
31,1094,0.0,0,hole,21,0.217825
32,1108,0.0,0,hole,14,0.220947
33,1132,0.0,0,hole,24,0.226042
34,1139,0.0,0,hole,7,0.2277
35,1191,0.0,0,hole,52,0.23854
36,1214,0.0,0,hole,23,0.243626
37,1252,0.0,0,hole,38,0.250882
38,1312,0.0,0,hole,60,0.26359
39,1352,0.0,0,hole,40,0.271912
40,1453,0.0,0,hole,101,0.29199
41,1462,0.0,0,hole,9,0.293783
42,1530,0.0,0,hole,68,0.308517
43,1558,0.0,0,hole,28,0.314091
44,1624,0.0,0,hole,66,0.327288
45,1641,0.0,0,hole,17,0.331271
46,1680,0.0,0,hole,39,0.339165
47,1687,0.0,0,hole,7,0.340624
48,1715,0.0,0,hole,28,0.346403
49,1734,0.0,0,hole,19,0.350221
50,1771,0.0,0,hole,37,0.358607
51,1800,0.0,0,hole,29,0.36448
52,1927,0.0,0,hole,127,0.39167
53,1977,0.0,0,hole,50,0.402322
54,2010,0.0,0,hole,33,0.409573
55,2032,0.0,0,hole,22,0.413514
56,2059,0.0,0,hole,27,0.418897
57,2160,0.0,0,hole,101,0.440148
58,2208,0.0,0,hole,48,0.450208
59,2242,0.0,0,hole,34,0.457226
60,2297,0.0,0,hole,55,0.46857
61,2340,0.0,0,hole,43,0.476989
62,2356,0.0,0,hole,16,0.4803
