episode,timesteps,reward,success,outcome,steps,wall_time_s
1,34,0.0,0,hole,34,0.007839
2,44,0.0,0,hole,10,0.009132
3,57,0.0,0,hole,13,0.010558
4,99,0.0,0,hole,42,0.012461
5,146,0.0,0,hole,47,0.024842
6,160,0.0,0,hole,14,0.027452
7,169,0.0,0,hole,9,0.029496
8,224,0.0,0,hole,55,0.040113
9,241,0.0,0,hole,17,0.04391
10,260,0.0,0,hole,19,0.047342
11,268,0.0,0,hole,8,0.049238
12,285,0.0,0,hole,17,0.052905
13,303,0.0,0,hole,18,0.056423
14,329,0.0,0,hole,26,0.061772
15,337,0.0,0,hole,8,0.063408
16,348,0.0,0,hole,11,0.065628
17,352,0.0,0,hole,4,0.066539
18,358,0.0,0,hole,6,0.068084
19,375,0.0,0,hole,17,0.071625
20,420,0.0,0,hole,45,0.081346
21,472,0.0,0,hole,52,0.091638
22,483,0.0,0,hole,11,0.093916
23,516,0.0,0,hole,33,0.101416
24,536,0.0,0,hole,20,0.105339
25,564,0.0,0,hole,28,0.110644
26,604,0.0,0,hole,40,0.119168
27,630,0.0,0,hole,26,0.124058
28,641,0.0,0,hole,11,0.126312
29,660,0.0,0,hole,19,0.129724
30,723,0.0,0,hole,63,0.164204
31,739,0.0,0,hole,16,0.167417
32,752,0.0,0,hole,13,0.169682
33,779,0.0,0,hole,27,0.174844
34,807,0.0,0,hole,28,0.180784
35,850,0.0,0,hole,43,0.189423
36,889,0.0,0,hole,39,0.19821
37,898,0.0,0,hole,9,0.200215
38,996,0.0,0,hole,98,0.222446
39,1004,0.0,0,hole,8,0.22455
40,1039,0.0,0,hole,35,0.232227
41,1064,0.0,0,hole,25,0.237377
42,1129,0.0,0,hole,65,0.251415
43,1150,0.0,0,hole,21,0.255421
44,1162,0.0,0,hole,12,0.25783
45,1171,0.0,0,hole,9,0.259569
46,1193,0.0,0,hole,22,0.264369
47,1210,0.0,0,hole,17,0.267891
48,1228,0.0,0,hole,18,0.271446
49,1289,0.0,0,hole,61,0.284597
50,1316,0.0,0,hole,27,0.289811
51,1373,0.0,0,hole,57,0.301902
52,1392,0.0,0,hole,19,0.305164
53,1416,0.0,0,hole,24,0.310257
54,1420,0.0,0,hole,4,0.311074
55,1435,0.0,0,hole,15,0.314655
56,1445,0.0,0,hole,10,0.316867
57,1495,1.0,1,success,50,0.326037
58,1518,0.0,0,hole,23,0.331907
59,1560,0.0,0,hole,42,0.340479
60,1564,0.0,0,hole,4,0.341569
61,1604,0.0,0,hole,40,0.351352
62,1627,0.0,0,hole,23,0.356022
63,1645,0.0,0,hole,18,0.359975
64,1672,0.0,0,hole,27,0.365122
65,1724,0.0,0,hole,52,0.375565
66,1738,0.0,0,hole,14,0.378526
67,1751,0.0,0,hole,13,0.381571
68,1777,0.0,0,hole,26,0.386916
69,1794,0.0,0,hole,17,0.390509
70,1864,0.0,0,hole,70,0.404782
71,1918,0.0,0,hole,54,0.416648
72,1973,0.0,0,hole,55,0.428228
73,2067,0.0,0,hole,94,0.447584
74,2108,0.0,0,hole,41,0.455776
75,2120,0.0,0,hole,12,0.458112
76,2184,0.0,0,hole,64,0.470684
77,2217,0.0,0,hole,33,0.478944
78,2272,0.0,0,hole,55,0.489463
79,2304,0.0,0,hole,32,0.496568
80,2330,0.0,0,hole,26,0.502562
81,2368,0.0,0,hole,38,0.509753
82,2406,0.0,0,hole,38,0.518487
83,2432,0.0,0,hole,26,0.523261
84,2447,0.0,0,hole,15,0.526408
85,2477,0.0,0,hole,30,0.53293
86,2518,0.0,0,hole,41,0.541742
87,2570,1.0,1,success,52,0.552552
88,2584,0.0,0,hole,14,0.554984
89,2597,0.0,0,hole,13,0.557938
90,2620,0.0,0,hole,23,0.562357
91,2641,0.0,0,hole,21,0.567209
92,2740,0.0,0,hole,99,0.586563
93,2776,0.0,0,hole,36,0.593872
94,2792,0.0,0,hole,16,0.597657
95,2805,0.0,0,hole,13,0.601328
96,2831,0.0,0,hole,26,0.606016
97,2907,0.0,0,hole,76,0.622045
98,2924,0.0,0,hole,17,0.625042
99,2932,0.0,0,hole,8,0.626631
100,2964,0.0,0,hole,32,0.6341
101,2995,0.0,0,hole,31,0.64072
102,3016,0.0,0,hole,21,0.645479
103,3071,0.0,0,hole,55,0.657221
104,3144,0.0,0,hole,73,0.672031
105,3228,1.0,1,success,84,0.690169
106,3269,0.0,0,hole,41,0.69914
107,3305,0.0,0,hole,36,0.706666
108,3313,0.0,0,hole,8,0.708139
109,3319,0.0,0,hole,6,0.709371
110,3337,0.0,0,hole,18,0.71329
111,3367,0.0,0,hole,30,0.718815
112,3406,0.0,0,hole,39,0.726951
113,3438,0.0,0,hole,32,0.73375
114,3446,0.0,0,hole,8,0.735325
115,3475,0.0,0,hole,29,0.740642
116,3486,0.0,0,hole,11,0.743079
117,3560,0.0,0,hole,74,0.759267
118,3623,0.0,0,hole,63,0.772546
119,3634,0.0,0,hole,11,0.774872
120,3643,0.0,0,hole,9,0.776632
121,3692,0.0,0,hole,49,0.78691
122,3715,0.0,0,hole,23,0.792107
123,3735,0.0,0,hole,20,0.796019
124,3753,0.0,0,hole,18,0.800147
125,3776,0.0,0,hole,23,0.804248
126,3784,0.0,0,hole,8,0.805828
127,3828,0.0,0,hole,44,0.816018
128,3844,0.0,0,hole,16,0.819275
129,3851,0.0,0,hole,7,0.82098
130,3867,0.0,0,hole,16,0.824068
131,3882,0.0,0,hole,15,0.827402
132,3896,0.0,0,hole,14,0.830439
133,3922,0.0,0,hole,26,0.836964
134,3989,0.0,0,hole,67,0.851213
135,4026,0.0,0,hole,37,0.858729
136,4118,0.0,0,hole,92,0.877936
137,4187,1.0,1,success,69,0.892414
138,4225,0.0,0,hole,38,0.901444
139,4257,0.0,0,hole,32,0.907897
140,4304,0.0,0,hole,47,0.917712
141,4334,0.0,0,hole,30,0.923808
142,4351,0.0,0,hole,17,0.927417
143,4360,0.0,0,hole,9,0.929185
144,4398,0.0,0,hole,38,0.937388
145,4429,0.0,0,hole,31,0.94415
146,4446,0.0,0,hole,17,0.948157
147,4464,0.0,0,hole,18,0.951652
148,4538,0.0,0,hole,74,0.967591
149,4548,0.0,0,hole,10,0.969526
150,4615,0.0,0,hole,67,0.983925
151,4639,0.0,0,hole,24,0.988818
152,4667,0.0,0,hole,28,0.994615
153,4685,0.0,0,hole,18,0.998943
154,4695,0.0,0,hole,10,1.000917
155,4741,0.0,0,hole,46,1.010891
156,4756,0.0,0,hole,15,1.013589
157,4804,0.0,0,hole,48,1.024941
158,4825,0.0,0,hole,21,1.029679
159,4913,0.0,0,hole,88,1.048302
160,4957,0.0,0,hole,44,1.057001
161,5047,0.0,0,hole,90,1.075701
162,5079,0.0,0,hole,32,1.083201
163,5119,0.0,0,hole,40,1.091818
164,5124,0.0,0,hole,5,1.092613
165,5164,0.0,0,hole,40,1.101009
166,5190,0.0,0,hole,26,1.10642
167,5213,0.0,0,hole,23,1.111373
168,5270,0.0,0,hole,57,1.12328
169,5311,0.0,0,hole,41,1.132487
170,5388,0.0,0,hole,77,1.14986
