episode,timesteps,reward,success,outcome,steps,wall_time_s
1,13,0.0,0,hole,13,0.002753
2,52,0.0,0,hole,39,0.003736
3,74,0.0,0,hole,22,0.004293
4,92,0.0,0,hole,18,0.00473
5,181,0.0,0,hole,89,0.023008
6,225,0.0,0,hole,44,0.032383
7,347,0.0,0,hole,122,0.058811
8,366,0.0,0,hole,19,0.062867
9,379,0.0,0,hole,13,0.065436
10,441,0.0,0,hole,62,0.079479
11,451,0.0,0,hole,10,0.081297
12,478,0.0,0,hole,27,0.086943
13,505,0.0,0,hole,27,0.093488
14,536,0.0,0,hole,31,0.100209
15,557,0.0,0,hole,21,0.105002
16,573,0.0,0,hole,16,0.108001
17,600,0.0,0,hole,27,0.112905
18,630,0.0,0,hole,30,0.120636
19,654,0.0,0,hole,24,0.125311
20,668,0.0,0,hole,14,0.12795
21,722,0.0,0,hole,54,0.140726
22,732,0.0,0,hole,10,0.142477
23,759,0.0,0,hole,27,0.148705
24,789,0.0,0,hole,30,0.155776
25,887,0.0,0,hole,98,0.177481
26,976,0.0,0,hole,89,0.196088
27,1012,0.0,0,hole,36,0.204041
28,1047,0.0,0,hole,35,0.210601
29,1082,0.0,0,hole,35,0.217968
30,1116,0.0,0,hole,34,0.224951
31,1136,0.0,0,hole,20,0.229214
32,1201,0.0,0,hole,65,0.242591
33,1221,0.0,0,hole,20,0.2471
34,1276,0.0,0,hole,55,0.257918
35,1305,0.0,0,hole,29,0.264996
36,1369,0.0,0,hole,64,0.278052
37,1380,0.0,0,hole,11,0.280202
38,1417,0.0,0,hole,37,0.288481
39,1541,0.0,0,hole,124,0.314607
40,1562,0.0,0,hole,21,0.318498
41,1586,0.0,0,hole,24,0.323511
42,1633,0.0,0,hole,47,0.334276
43,1676,0.0,0,hole,43,0.342439
44,1732,0.0,0,hole,56,0.354892
45,1763,0.0,0,hole,31,0.361668
46,1802,0.0,0,hole,39,0.370097
47,1849,0.0,0,hole,47,0.379822
48,1855,0.0,0,hole,6,0.38113
49,1882,0.0,0,hole,27,0.386946
50,1929,0.0,0,hole,47,0.396762
51,1941,0.0,0,hole,12,0.399755
52,2048,0.0,0,hole,107,0.422058
53,2170,0.0,0,hole,122,0.448614
54,2223,0.0,0,hole,53,0.460012
55,2256,0.0,0,hole,33,0.467136
56,2295,0.0,0,hole,39,0.475328
57,2319,0.0,0,hole,24,0.4809
58,2374,0.0,0,hole,55,0.493801
59,2403,0.0,0,hole,29,0.500555
60,2450,0.0,0,hole,47,0.510612
61,2518,0.0,0,hole,68,0.575405
62,2616,0.0,0,hole,98,0.607853
63,2715,0.0,0,hole,99,0.628592
64,2728,0.0,0,hole,13,0.631476
65,2770,0.0,0,hole,42,0.640557
66,2775,0.0,0,hole,5,0.641294
67,2895,0.0,0,hole,120,0.666191
68,2952,0.0,0,hole,57,0.677866
69,3101,0.0,0,hole,149,0.710028
70,3128,0.0,0,hole,27,0.715352
71,3186,0.0,0,hole,58,0.727091
72,3205,0.0,0,hole,19,0.73139
73,3271,0.0,0,hole,66,0.744706
74,3284,0.0,0,hole,13,0.747102
75,3315,0.0,0,hole,31,0.755181
76,3319,0.0,0,hole,4,0.756105
77,3330,0.0,0,hole,11,0.758639
78,3408,0.0,0,hole,78,0.774906
79,3482,0.0,0,hole,74,0.7906
80,3508,0.0,0,hole,26,0.796482
81,3549,0.0,0,hole,41,0.805561
82,3590,0.0,0,hole,41,0.813717
83,3652,0.0,0,hole,62,0.826493
84,3695,0.0,0,hole,43,0.835829
85,3767,0.0,0,hole,72,0.851639
86,3794,0.0,0,hole,27,0.857489
