episode,timesteps,reward,success,outcome,steps,wall_time_s
1,22,0.0,0,hole,22,0.003305
2,31,0.0,0,hole,9,0.003838
3,35,0.0,0,hole,4,0.00399
4,93,0.0,0,hole,58,0.005542
5,100,0.0,0,hole,7,0.005843
6,110,0.0,0,hole,10,0.008214
7,121,0.0,0,hole,11,0.010236
8,140,0.0,0,hole,19,0.013004
9,158,0.0,0,hole,18,0.016669
10,189,0.0,0,hole,31,0.023126
11,225,0.0,0,hole,36,0.029421
12,244,0.0,0,hole,19,0.032259
13,290,0.0,0,hole,46,0.040527
14,380,1.0,1,success,90,0.057377
15,394,0.0,0,hole,14,0.059951
16,405,0.0,0,hole,11,0.062239
17,472,0.0,0,hole,67,0.073932
18,500,0.0,0,hole,28,0.078547
19,504,0.0,0,hole,4,0.079729
20,576,0.0,0,hole,72,0.092063
21,594,0.0,0,hole,18,0.095439
22,604,0.0,0,hole,10,0.09716
23,613,0.0,0,hole,9,0.099038
24,647,0.0,0,hole,34,0.105051
25,661,0.0,0,hole,14,0.107909
26,667,0.0,0,hole,6,0.108652
27,709,0.0,0,hole,42,0.116474
28,736,0.0,0,hole,27,0.121406
29,752,0.0,0,hole,16,0.124227
30,774,0.0,0,hole,22,0.128175
31,786,0.0,0,hole,12,0.130265
32,830,0.0,0,hole,44,0.138843
33,835,0.0,0,hole,5,0.139712
34,852,0.0,0,hole,17,0.142443
35,890,0.0,0,hole,38,0.149247
36,904,0.0,0,hole,14,0.15192
37,949,0.0,0,hole,45,0.16059
38,1016,0.0,0,hole,67,0.172456
39,1030,0.0,0,hole,14,0.175062
40,1071,0.0,0,hole,41,0.181579
41,1079,0.0,0,hole,8,0.183144
42,1122,0.0,0,hole,43,0.191223
43,1140,0.0,0,hole,18,0.194097
44,1165,0.0,0,hole,25,0.198606
45,1213,0.0,0,hole,48,0.208723
46,1225,0.0,0,hole,12,0.210796
47,1265,0.0,0,hole,40,0.217551
48,1295,0.0,0,hole,30,0.222739
49,1327,0.0,0,hole,32,0.228558
50,1362,0.0,0,hole,35,0.234671
51,1395,1.0,1,success,33,0.24049
52,1413,0.0,0,hole,18,0.244235
53,1428,0.0,0,hole,15,0.247098
54,1440,0.0,0,hole,12,0.249146
55,1447,0.0,0,hole,7,0.250477
56,1470,1.0,1,success,23,0.255162
57,1497,0.0,0,hole,27,0.25996
58,1538,0.0,0,hole,41,0.267125
59,1545,0.0,0,hole,7,0.269029
60,1553,0.0,0,hole,8,0.270575
61,1564,0.0,0,hole,11,0.272125
62,1581,0.0,0,hole,17,0.275293
63,1626,0.0,0,hole,45,0.283321
64,1644,0.0,0,hole,18,0.286644
65,1687,0.0,0,hole,43,0.294418
66,1733,0.0,0,hole,46,0.30383
67,1739,0.0,0,hole,6,0.304606
68,1760,0.0,0,hole,21,0.308332
69,1792,0.0,0,hole,32,0.313721
70,1801,0.0,0,hole,9,0.316118
71,1815,0.0,0,hole,14,0.318841
72,1827,0.0,0,hole,12,0.321024
73,1843,0.0,0,hole,16,0.323811
74,1856,0.0,0,hole,13,0.32594
75,1904,0.0,0,hole,48,0.334484
76,1920,0.0,0,hole,16,0.33772
77,1934,0.0,0,hole,14,0.340567
78,1959,1.0,1,success,25,0.344811
79,1997,0.0,0,hole,38,0.352058
80,2087,0.0,0,hole,90,0.367609
81,2199,0.0,0,hole,112,0.388176
82,2232,0.0,0,hole,33,0.393945
83,2307,0.0,0,hole,75,0.408289
84,2331,0.0,0,hole,24,0.412489
85,2355,0.0,0,hole,24,0.416961
86,2416,0.0,0,hole,61,0.42795
87,2459,0.0,0,hole,43,0.435799
88,2494,0.0,0,hole,35,0.441685
89,2521,0.0,0,hole,27,0.447011
90,2549,0.0,0,hole,28,0.452901
91,2565,0.0,0,hole,16,0.455811
92,2583,0.0,0,hole,18,0.458746
93,2614,0.0,0,hole,31,0.464902
94,2671,0.0,0,hole,57,0.47546
95,2716,0.0,0,hole,45,0.483528
96,2731,0.0,0,hole,15,0.486466
97,2761,0.0,0,hole,30,0.492112
98,2767,0.0,0,hole,6,0.492855
99,2807,0.0,0,hole,40,0.500356
100,2820,0.0,0,hole,13,0.502866
101,2838,0.0,0,hole,18,0.506533
102,2879,0.0,0,hole,41,0.513907
103,2956,0.0,0,hole,77,0.528585
104,2966,0.0,0,hole,10,0.530566
105,2974,0.0,0,hole,8,0.532111
106,2990,0.0,0,hole,16,0.535036
107,3013,0.0,0,hole,23,0.539943
108,3041,0.0,0,hole,28,0.54466
109,3067,0.0,0,hole,26,0.549135
110,3089,0.0,0,hole,22,0.553993
111,3096,0.0,0,hole,7,0.554783
112,3106,0.0,0,hole,10,0.557368
113,3124,0.0,0,hole,18,0.560377
114,3131,0.0,0,hole,7,0.561835
115,3162,0.0,0,hole,31,0.567706
116,3191,0.0,0,hole,29,0.572918
117,3199,0.0,0,hole,8,0.574472
118,3218,0.0,0,hole,19,0.578391
119,3275,0.0,0,hole,57,0.588807
120,3292,0.0,0,hole,17,0.591559
121,3354,0.0,0,hole,62,0.605575
122,3375,0.0,0,hole,21,0.609247
123,3389,0.0,0,hole,14,0.612011
124,3396,0.0,0,hole,7,0.612907
125,3428,0.0,0,hole,32,0.619407
126,3434,0.0,0,hole,6,0.620857
127,3449,0.0,0,hole,15,0.623833
128,3487,0.0,0,hole,38,0.630251
129,3507,0.0,0,hole,20,0.634266
130,3520,0.0,0,hole,13,0.636611
131,3530,0.0,0,hole,10,0.638713
132,3596,0.0,0,hole,66,0.650763
133,3603,0.0,0,hole,7,0.653206
134,3632,0.0,0,hole,29,0.658348
135,3645,0.0,0,hole,13,0.66124
136,3673,0.0,0,hole,28,0.66624
137,3725,0.0,0,hole,52,0.676467
138,3756,0.0,0,hole,31,0.681705
139,3763,0.0,0,hole,7,0.682992
140,3790,0.0,0,hole,27,0.68829
141,3797,0.0,0,hole,7,0.689804
142,3801,0.0,0,hole,4,0.690903
143,3861,0.0,0,hole,60,0.702515
144,3896,0.0,0,hole,35,0.708374
