episode,timesteps,reward,success,outcome,steps,wall_time_s
1,17,-0.97,0,hole,17,0.001854
2,39,-1.02,0,hole,22,0.002797
3,55,-0.96,0,hole,16,0.003264
4,89,-1.14,0,hole,34,0.004185
5,115,-1.06,0,hole,26,0.008125
6,119,-0.84,0,hole,4,0.009702
7,137,-0.98,0,hole,18,0.014228
8,146,-0.89,0,hole,9,0.01605
9,166,-0.85,0,hole,20,0.020163
10,201,-1.15,0,hole,35,0.028576
11,231,-0.95,0,hole,30,0.034176
12,274,-1.03,0,hole,43,0.042718
13,297,-1.03,0,hole,23,0.047562
14,353,-1.36,0,hole,56,0.060828
15,381,-1.08,0,hole,28,0.066364
16,486,-1.85,0,hole,105,0.088117
17,492,-0.86,0,hole,6,0.089174
18,514,-0.87,0,hole,22,0.094882
19,534,-0.8,0,hole,20,0.099127
20,562,-0.93,0,hole,28,0.104904
21,568,-0.86,0,hole,6,0.106104
22,580,-0.92,0,hole,12,0.110207
23,614,-1.14,0,hole,34,0.118075
24,630,-0.96,0,hole,16,0.121354
25,705,-1.55,0,hole,75,0.138871
26,715,-0.9,0,hole,10,0.140628
27,747,-0.97,0,hole,32,0.147335
28,769,-0.87,0,hole,22,0.152161
29,783,-0.94,0,hole,14,0.155013
30,811,-0.88,0,hole,28,0.161701
31,853,1.28,1,success,42,0.171714
32,879,-1.06,0,hole,26,0.17757
33,892,-0.78,0,hole,13,0.180425
34,993,-1.66,0,hole,101,0.202785
35,1011,-0.98,0,hole,18,0.206546
36,1026,-0.95,0,hole,15,0.210165
37,1047,-1.01,0,hole,21,0.214273
38,1073,-0.81,0,hole,26,0.219577
39,1093,-0.85,0,hole,20,0.223324
40,1104,-0.91,0,hole,11,0.2261
41,1151,-1.02,0,hole,47,0.236703
42,1165,-0.79,0,hole,14,0.239897
43,1199,-0.99,0,hole,34,0.247679
44,1217,-0.83,0,hole,18,0.252042
45,1239,-0.87,0,hole,22,0.256481
46,1261,-0.77,0,hole,22,0.261953
47,1292,-0.96,0,hole,31,0.267886
48,1315,-0.78,0,hole,23,0.273096
49,1352,-1.17,0,hole,37,0.28232
50,1361,-0.89,0,hole,9,0.284682
51,1388,-0.92,0,hole,27,0.289621
52,1471,0.87,1,success,83,0.30969
53,1557,-1.51,0,hole,86,0.329839
54,1573,-0.81,0,hole,16,0.333234
55,1679,-1.66,0,hole,106,0.355173
56,1718,-0.94,0,hole,39,0.364506
57,1753,-1.0,0,hole,35,0.373094
58,1833,-1.45,0,hole,80,0.391248
59,1929,-1.61,0,hole,96,0.4119
60,1989,-1.25,0,hole,60,0.423981
61,2038,-1.14,0,hole,49,0.4352
62,2113,-1.4,0,hole,75,0.451494
63,2164,-1.31,0,hole,51,0.46214
64,2200,-1.16,0,hole,36,0.469549
65,2390,-2.5,0,hole,190,0.512676
66,2451,-1.26,0,hole,61,0.525481
67,2485,-1.14,0,hole,34,0.53344
68,2536,-1.31,0,hole,51,0.544718
69,2574,-1.03,0,hole,38,0.553467
70,2625,-1.16,0,hole,51,0.565868
71,2673,1.22,1,success,48,0.576961
72,2719,-1.06,0,hole,46,0.58661
73,2739,-0.85,0,hole,20,0.59116
