episode,timesteps,reward,success,outcome,steps,wall_time_s
1,44,-1.09,0,hole,44,0.002975
2,101,-1.37,0,hole,57,0.004627
3,114,-0.78,0,hole,13,0.007825
4,152,-0.98,0,hole,38,0.014926
5,169,-0.82,0,hole,17,0.019728
6,175,-0.86,0,hole,6,0.020845
7,184,-0.89,0,hole,9,0.022858
8,194,-0.9,0,hole,10,0.025093
9,224,-0.95,0,hole,30,0.030813
10,266,-1.07,0,hole,42,0.041097
11,281,-0.7,0,hole,15,0.044159
12,297,-0.96,0,hole,16,0.047198
13,373,-1.56,0,hole,76,0.062555
14,384,-0.71,0,hole,11,0.064245
15,413,-0.94,0,hole,29,0.070898
16,517,-1.64,0,hole,104,0.092238
17,546,-0.84,0,hole,29,0.097732
18,557,-0.91,0,hole,11,0.100561
19,570,-0.93,0,hole,13,0.102969
20,596,-0.86,0,hole,26,0.107809
21,603,-0.87,0,hole,7,0.10934
22,620,-0.97,0,hole,17,0.112866
23,642,-1.02,0,hole,22,0.118181
24,661,-0.84,0,hole,19,0.122245
25,665,-0.84,0,hole,4,0.123244
26,679,-0.74,0,hole,14,0.12565
27,694,-0.8,0,hole,15,0.128769
28,724,-0.9,0,hole,30,0.135718
29,757,-1.13,0,hole,33,0.143035
30,767,-0.75,0,hole,10,0.144859
31,798,-0.91,0,hole,31,0.151951
32,807,-0.74,0,hole,9,0.153876
33,850,-1.23,0,hole,43,0.162836
34,856,-0.86,0,hole,6,0.163883
35,899,-1.08,0,hole,43,0.173141
36,928,-1.09,0,hole,29,0.178564
37,950,-0.87,0,hole,22,0.183739
38,958,-0.88,0,hole,8,0.185672
39,979,-0.86,0,hole,21,0.190146
40,991,-0.77,0,hole,12,0.192916
41,1055,-1.44,0,hole,64,0.206856
42,1060,-0.85,0,hole,5,0.207816
43,1066,-0.86,0,hole,6,0.209391
44,1079,-0.93,0,hole,13,0.211882
45,1111,-1.12,0,hole,32,0.219489
46,1115,-0.84,0,hole,4,0.220279
47,1125,-0.75,0,hole,10,0.222807
48,1130,-0.85,0,hole,5,0.223689
49,1158,-1.08,0,hole,28,0.229353
50,1191,-0.88,0,hole,33,0.237903
51,1198,-0.87,0,hole,7,0.239429
52,1229,-0.96,0,hole,31,0.245405
53,1239,-0.9,0,hole,10,0.247271
54,1308,-1.34,0,hole,69,0.261726
55,1313,-0.85,0,hole,5,0.263179
56,1326,-0.93,0,hole,13,0.265869
57,1343,-0.82,0,hole,17,0.269505
58,1350,-0.87,0,hole,7,0.271087
59,1383,-0.98,0,hole,33,0.277938
60,1428,-1.25,0,hole,45,0.287815
61,1432,-0.84,0,hole,4,0.288841
62,1469,-1.02,0,hole,37,0.296908
63,1477,-0.88,0,hole,8,0.298656
64,1524,-1.07,0,hole,47,0.309151
65,1645,-1.86,0,hole,121,0.336003
66,1682,-0.97,0,hole,37,0.342888
67,1698,-0.96,0,hole,16,0.346191
68,1725,-0.82,0,hole,27,0.351593
