episode,timesteps,reward,success,outcome,steps,wall_time_s
1,41,-1.06,0,hole,41,0.002851
2,67,-1.06,0,hole,26,0.003747
3,95,-0.93,0,hole,28,0.004524
4,122,-0.92,0,hole,27,0.009439
5,137,-0.95,0,hole,15,0.012415
6,177,-1.05,0,hole,40,0.019317
7,191,-0.94,0,hole,14,0.021394
8,313,-1.77,0,hole,122,0.042541
9,351,-1.18,0,hole,38,0.048608
10,363,-0.92,0,hole,12,0.050717
11,385,-1.02,0,hole,22,0.054516
12,408,-1.03,0,hole,23,0.05865
13,420,-0.92,0,hole,12,0.060772
14,437,-0.82,0,hole,17,0.063952
15,448,-0.91,0,hole,11,0.065445
16,466,-0.98,0,hole,18,0.069603
17,486,-0.85,0,hole,20,0.07404
18,516,-0.85,0,hole,30,0.079182
19,563,-1.27,0,hole,47,0.086779
20,588,-1.05,0,hole,25,0.092024
21,610,-0.87,0,hole,22,0.096174
22,637,-0.92,0,hole,27,0.100994
23,650,-0.93,0,hole,13,0.103064
24,752,-1.67,0,hole,102,0.120408
25,782,-0.9,0,hole,30,0.12699
26,799,-0.77,0,hole,17,0.130195
27,847,-1.28,0,hole,48,0.138521
28,879,-0.97,0,hole,32,0.145177
29,908,-1.09,0,hole,29,0.150091
30,922,-0.94,0,hole,14,0.152731
31,1012,-1.5,0,hole,90,0.168653
32,1024,-0.92,0,hole,12,0.170632
33,1075,-1.16,0,hole,51,0.180046
34,1087,-0.92,0,hole,12,0.18203
35,1106,-0.99,0,hole,19,0.185391
36,1125,-0.99,0,hole,19,0.18871
37,1155,-1.1,0,hole,30,0.194279
38,1186,-0.96,0,hole,31,0.20003
39,1209,-1.03,0,hole,23,0.203886
40,1221,-0.92,0,hole,12,0.206181
41,1236,-0.95,0,hole,15,0.20878
42,1252,-0.96,0,hole,16,0.211618
43,1310,-1.18,0,hole,58,0.221883
44,1348,-0.98,0,hole,38,0.228906
45,1368,-1.0,0,hole,20,0.232276
46,1397,-0.89,0,hole,29,0.237726
47,1406,-0.89,0,hole,9,0.23955
48,1419,-0.93,0,hole,13,0.242202
49,1435,-0.81,0,hole,16,0.245201
50,1471,-1.16,0,hole,36,0.251168
51,1502,-0.96,0,hole,31,0.257462
52,1537,-1.15,0,hole,35,0.263817
53,1546,-0.89,0,hole,9,0.26538
54,1574,-1.08,0,hole,28,0.269957
55,1582,-0.88,0,hole,8,0.272204
56,1665,-1.48,0,hole,83,0.287754
57,1698,-0.98,0,hole,33,0.293611
58,1720,-0.87,0,hole,22,0.297354
59,1750,-1.1,0,hole,30,0.302543
60,1764,-0.79,0,hole,14,0.3047
61,1792,-1.08,0,hole,28,0.310575
62,1820,-0.93,0,hole,28,0.315467
63,1832,-0.92,0,hole,12,0.317561
64,1882,-1.3,0,hole,50,0.327115
65,1927,-1.0,0,hole,45,0.335524
66,1944,-0.97,0,hole,17,0.338163
67,1969,-0.85,0,hole,25,0.344035
68,1992,-1.03,0,hole,23,0.347434
69,2000,-0.88,0,hole,8,0.348967
70,2014,-0.94,0,hole,14,0.351637
71,2026,-0.92,0,hole,12,0.353872
72,2067,-1.06,0,hole,41,0.361599
73,2090,-1.03,0,hole,23,0.365748
74,2115,-1.05,0,hole,25,0.370337
75,2141,-1.06,0,hole,26,0.376272
76,2217,-1.41,0,hole,76,0.388695
77,2221,-0.84,0,hole,4,0.389806
78,2232,-0.91,0,hole,11,0.391678
79,2240,-0.68,0,hole,8,0.393208
80,2254,-0.79,0,hole,14,0.396281
81,2260,-0.86,0,hole,6,0.397345
82,2289,-0.94,0,hole,29,0.402594
83,2340,-1.16,0,hole,51,0.412179
84,2359,-0.84,0,hole,19,0.415488
85,2369,-0.9,0,hole,10,0.41769
86,2395,-0.91,0,hole,26,0.422201
87,2416,-1.01,0,hole,21,0.426494
88,2428,-0.92,0,hole,12,0.428494
89,2458,-0.95,0,hole,30,0.434046
90,2505,-1.27,0,hole,47,0.443554
91,2530,-0.9,0,hole,25,0.447882
92,2550,-0.75,0,hole,20,0.451147
93,2562,-0.92,0,hole,12,0.453397
94,2624,-1.27,0,hole,62,0.464271
95,2630,-0.86,0,hole,6,0.465601
96,2665,-1.15,0,hole,35,0.471717
97,2688,-1.03,0,hole,23,0.476796
98,2704,-0.96,0,hole,16,0.479956
99,2714,-0.9,0,hole,10,0.482011
100,2752,-0.98,0,hole,38,0.488516
101,2767,-0.95,0,hole,15,0.492071
102,2785,-0.83,0,hole,18,0.495642
