episode,timesteps,reward,success,outcome,steps,wall_time_s
1,64,-1.44,0,hole,64,0.002958
2,137,-1.53,0,hole,73,0.012972
3,156,-0.99,0,hole,19,0.016789
4,160,-0.84,0,hole,4,0.01775
5,173,-0.78,0,hole,13,0.020897
6,194,-0.76,0,hole,21,0.02518
7,210,-0.81,0,hole,16,0.029443
8,222,-0.72,0,hole,12,0.031916
9,267,-1.1,0,hole,45,0.041239
10,287,-1.0,0,hole,20,0.046825
11,303,-0.96,0,hole,16,0.050271
12,320,-0.97,0,hole,17,0.053736
13,333,-0.93,0,hole,13,0.056783
14,346,-0.78,0,hole,13,0.059158
15,359,-0.78,0,hole,13,0.062669
16,396,-1.02,0,hole,37,0.070069
17,417,-0.86,0,hole,21,0.075225
18,439,-0.87,0,hole,22,0.080624
19,446,-0.87,0,hole,7,0.082372
20,460,-0.79,0,hole,14,0.084799
21,494,-0.99,0,hole,34,0.091974
22,502,-0.88,0,hole,8,0.095036
23,520,-0.73,0,hole,18,0.098502
24,587,-1.47,0,hole,67,0.112613
25,610,-0.88,0,hole,23,0.118036
26,629,-0.99,0,hole,19,0.121957
27,647,-0.98,0,hole,18,0.125191
28,687,-1.2,0,hole,40,0.133582
29,705,-0.98,0,hole,18,0.137862
30,723,-0.98,0,hole,18,0.141139
31,796,-1.38,0,hole,73,0.156926
32,819,-0.88,0,hole,23,0.162715
33,836,-0.82,0,hole,17,0.166331
34,863,-1.07,0,hole,27,0.172256
35,984,-1.86,0,hole,121,0.198691
36,1004,-1.0,0,hole,20,0.203187
37,1172,-2.33,0,hole,168,0.238076
38,1202,-0.95,0,hole,30,0.24567
39,1249,-1.27,0,hole,47,0.255287
40,1335,-1.66,0,hole,86,0.273139
41,1535,-1.9,0,timeout,200,0.315233
42,1633,-1.78,0,hole,98,0.336394
43,1648,-0.8,0,hole,15,0.339007
44,1665,-0.82,0,hole,17,0.343087
45,1713,-1.13,0,hole,48,0.353485
46,1769,-1.36,0,hole,56,0.364971
47,1810,-1.21,0,hole,41,0.373277
48,1867,-1.37,0,hole,57,0.385414
49,1984,-1.82,0,hole,117,0.412727
50,2023,-1.19,0,hole,39,0.42174
51,2038,-0.95,0,hole,15,0.425044
52,2053,-0.95,0,hole,15,0.428276
53,2170,-1.82,0,hole,117,0.4549
54,2193,-0.88,0,hole,23,0.45981
55,2247,-1.34,0,hole,54,0.470892
56,2297,-1.3,0,hole,50,0.481789
57,2337,1.3,1,success,40,0.490849
58,2351,-0.69,0,hole,14,0.494125
59,2361,-0.9,0,hole,10,0.496949
60,2408,-1.12,0,hole,47,0.50658
61,2416,-0.88,0,hole,8,0.508344
62,2502,-1.46,0,hole,86,0.528506
63,2604,-1.82,0,hole,102,0.550029
64,2673,-1.34,0,hole,69,0.564717
65,2719,-1.11,0,hole,46,0.575147
66,2736,-0.97,0,hole,17,0.578951
67,2803,-1.32,0,hole,67,0.594385
68,2809,-0.86,0,hole,6,0.595948
69,2845,-1.01,0,hole,36,0.60321
70,2869,-1.04,0,hole,24,0.60837
