episode,timesteps,reward,success,outcome,steps,wall_time_s
1,13,-0.93,0,hole,13,0.002342
2,38,-0.9,0,hole,25,0.003044
3,48,-0.9,0,hole,10,0.00332
4,72,-0.79,0,hole,24,0.00398
5,88,-0.96,0,hole,16,0.004518
6,144,-1.16,0,hole,56,0.015065
7,160,-0.96,0,hole,16,0.018109
8,195,1.35,1,success,35,0.027078
9,227,-0.97,0,hole,32,0.03391
10,262,-0.9,0,hole,35,0.041894
11,296,-1.14,0,hole,34,0.048191
12,309,-0.78,0,hole,13,0.051703
13,313,-0.84,0,hole,4,0.052756
14,346,-0.88,0,hole,33,0.060072
15,387,-1.21,0,hole,41,0.067413
16,394,-0.87,0,hole,7,0.068839
17,416,-1.02,0,hole,22,0.075019
18,451,-1.0,0,hole,35,0.082114
19,471,-1.0,0,hole,20,0.08613
20,484,-0.78,0,hole,13,0.088668
21,503,-0.84,0,hole,19,0.093778
22,509,-0.86,0,hole,6,0.095296
23,539,-0.95,0,hole,30,0.101601
24,566,-0.87,0,hole,27,0.107811
25,579,-0.78,0,hole,13,0.110179
26,606,-1.07,0,hole,27,0.115945
27,649,-1.03,0,hole,43,0.125484
28,677,-0.93,0,hole,28,0.130922
29,734,-1.37,0,hole,57,0.142854
30,751,-0.97,0,hole,17,0.146129
31,790,-1.04,0,hole,39,0.154007
32,801,-0.91,0,hole,11,0.157263
33,861,-1.4,0,hole,60,0.169831
34,917,-1.36,0,hole,56,0.18208
35,1016,-1.79,0,hole,99,0.201699
36,1049,-1.13,0,hole,33,0.208482
37,1077,-0.88,0,hole,28,0.214032
38,1203,-2.06,0,hole,126,0.241301
39,1225,-0.82,0,hole,22,0.246008
40,1251,-1.06,0,hole,26,0.250846
41,1310,-1.39,0,hole,59,0.263113
42,1402,-1.52,0,hole,92,0.33676
43,1408,-0.86,0,hole,6,0.337958
44,1423,-0.95,0,hole,15,0.354045
45,1459,-1.16,0,hole,36,0.363006
46,1475,-0.81,0,hole,16,0.36608
47,1550,-1.4,0,hole,75,0.383615
48,1566,-0.81,0,hole,16,0.386813
49,1577,-0.76,0,hole,11,0.389394
50,1614,-1.17,0,hole,37,0.397725
51,1751,-2.02,0,hole,137,0.426062
52,1835,-1.64,0,hole,84,0.443323
53,1856,-0.86,0,hole,21,0.447992
54,1921,-1.3,0,hole,65,0.46248
55,1959,-1.18,0,hole,38,0.469375
56,2022,-1.28,0,hole,63,0.484182
57,2067,-1.0,0,hole,45,0.493907
58,2082,-0.95,0,hole,15,0.49689
59,2127,-1.1,0,hole,45,0.506159
60,2141,-0.79,0,hole,14,0.510069
61,2172,-0.96,0,hole,31,0.516304
62,2213,-1.01,0,hole,41,0.526344
63,2280,-1.32,0,hole,67,0.539205
64,2350,-1.25,0,hole,70,0.554008
65,2362,-0.92,0,hole,12,0.556819
66,2392,-0.85,0,hole,30,0.562182
67,2417,-0.9,0,hole,25,0.567827
68,2472,-1.2,0,hole,55,0.579265
69,2487,-0.7,0,hole,15,0.582411
70,2524,-1.17,0,hole,37,0.591069
71,2550,-1.06,0,hole,26,0.596518
72,2604,-1.09,0,hole,54,0.607738
73,2672,-1.33,0,hole,68,0.621915
74,2763,-1.71,0,hole,91,0.64209
75,2883,-1.8,0,hole,120,0.665698
76,2924,-1.06,0,hole,41,0.675151
77,2972,-1.13,0,hole,48,0.685584
