episode,timesteps,reward,success,outcome,steps,wall_time_s
1,59,-1.39,0,hole,59,0.002768
2,63,-0.84,0,hole,4,0.002914
3,106,-1.23,0,hole,43,0.005466
4,139,-0.98,0,hole,33,0.010629
5,163,-1.04,0,hole,24,0.014464
6,177,-0.94,0,hole,14,0.017539
7,225,-1.28,0,hole,48,0.025226
8,259,-1.14,0,hole,34,0.030139
9,305,-1.26,0,hole,46,0.038829
10,320,-0.95,0,hole,15,0.040899
11,337,-0.72,0,hole,17,0.044051
12,362,-1.05,0,hole,25,0.048267
13,404,-1.22,0,hole,42,0.056488
14,467,-1.28,0,hole,63,0.066555
15,480,-0.78,0,hole,13,0.068961
16,535,-1.35,0,hole,55,0.078343
17,546,-0.76,0,hole,11,0.080308
18,562,-0.96,0,hole,16,0.082968
19,582,-1.0,0,hole,20,0.086616
20,600,-0.98,0,hole,18,0.08919
21,632,-1.12,0,hole,32,0.094628
22,665,-1.13,0,hole,33,0.101363
23,685,-1.0,0,hole,20,0.104775
24,704,-0.84,0,hole,19,0.1079
25,721,-0.97,0,hole,17,0.111242
26,761,-1.2,0,hole,40,0.118353
27,782,-0.86,0,hole,21,0.121679
28,792,-0.75,0,hole,10,0.122992
29,815,-1.03,0,hole,23,0.12714
30,832,-0.97,0,hole,17,0.129807
31,892,-1.4,0,hole,60,0.139842
32,898,-0.86,0,hole,6,0.141059
33,916,-0.98,0,hole,18,0.144387
34,937,-1.01,0,hole,21,0.148253
35,953,-0.71,0,hole,16,0.15112
36,971,-0.83,0,hole,18,0.15372
37,982,-0.91,0,hole,11,0.155683
38,1018,-1.01,0,hole,36,0.161913
39,1058,-1.2,0,hole,40,0.168842
40,1105,-1.12,0,hole,47,0.176771
41,1209,-1.69,0,hole,104,0.19404
42,1230,-1.01,0,hole,21,0.197208
43,1247,-0.82,0,hole,17,0.199916
44,1323,-1.41,0,hole,76,0.212185
45,1360,-1.02,0,hole,37,0.218404
46,1418,-1.38,0,hole,58,0.228326
47,1457,-1.19,0,hole,39,0.234885
48,1469,-0.77,0,hole,12,0.236838
49,1498,-1.09,0,hole,29,0.24152
50,1528,-0.9,0,hole,30,0.24686
51,1544,-0.96,0,hole,16,0.250008
52,1589,-1.25,0,hole,45,0.258631
53,1607,-0.83,0,hole,18,0.261655
54,1612,-0.85,0,hole,5,0.262332
55,1643,-1.11,0,hole,31,0.268078
56,1660,-0.97,0,hole,17,0.270574
57,1700,-1.2,0,hole,40,0.276912
58,1717,-0.97,0,hole,17,0.280401
59,1774,-1.37,0,hole,57,0.290194
60,1804,-0.95,0,hole,30,0.29497
61,1838,-0.89,0,hole,34,0.301367
62,1861,-0.88,0,hole,23,0.306177
63,1876,-0.95,0,hole,15,0.308423
64,1920,-0.99,0,hole,44,0.315804
65,1933,-0.93,0,hole,13,0.318705
66,1953,-1.0,0,hole,20,0.322065
67,1991,-1.03,0,hole,38,0.327977
68,2012,-1.01,0,hole,21,0.331741
69,2025,-0.93,0,hole,13,0.334907
70,2049,-1.04,0,hole,24,0.338846
71,2067,-0.78,0,hole,18,0.341774
72,2071,-0.84,0,hole,4,0.342416
73,2097,-1.06,0,hole,26,0.346954
74,2123,-0.91,0,hole,26,0.351773
75,2135,-0.77,0,hole,12,0.353836
76,2168,-0.98,0,hole,33,0.35903
77,2204,-0.96,0,hole,36,0.365477
78,2239,-1.0,0,hole,35,0.372382
79,2275,-1.01,0,hole,36,0.37841
80,2282,-0.87,0,hole,7,0.379705
81,2330,-1.28,0,hole,48,0.388207
82,2348,-0.98,0,hole,18,0.390891
83,2437,-1.69,0,hole,89,0.40623
84,2447,-0.9,0,hole,10,0.407633
85,2478,-0.86,0,hole,31,0.41285
86,2499,-0.86,0,hole,21,0.416279
87,2528,-1.09,0,hole,29,0.421702
88,2548,-0.85,0,hole,20,0.424989
89,2588,-1.2,0,hole,40,0.431549
90,2625,-1.02,0,hole,37,0.438855
91,2645,-0.85,0,hole,20,0.442373
92,2691,-1.11,0,hole,46,0.450461
93,2701,-0.9,0,hole,10,0.452806
94,2742,-1.06,0,hole,41,0.459947
95,2754,-0.92,0,hole,12,0.461911
96,2816,-1.27,0,hole,62,0.472902
97,2829,-0.78,0,hole,13,0.475601
98,2862,-1.13,0,hole,33,0.480934
99,2868,-0.86,0,hole,6,0.481714
100,2916,-1.13,0,hole,48,0.490347
101,2986,-1.5,0,hole,70,0.502739
102,3055,-1.34,0,hole,69,0.514765
103,3116,-1.41,0,hole,61,0.525379
104,3177,1.09,1,success,61,0.535537
105,3192,-0.95,0,hole,15,0.537698
106,3214,-1.02,0,hole,22,0.541917
107,3221,-0.87,0,hole,7,0.543242
108,3243,-1.02,0,hole,22,0.546708
109,3262,-0.84,0,hole,19,0.550465
110,3313,-1.16,0,hole,51,0.559456
111,3321,-0.88,0,hole,8,0.560787
